Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,pornhub.com,Adult,=,00:07:31,7.63,26.61%
2,xvideos.com,Adult,=,00:10:07,9.53,23.95%
3,xhamster.com,Adult,=,00:08:34,7.35,27.89%
4,xnxx.com,Adult,1,00:09:53,10.53,17.88%
5,xhamster43.desi,Adult,1,00:10:57,8.37,23.25%
6,stripchat.com,Adult,=,00:05:08,6.21,38.02%
7,chaturbate.com,Adult,1,00:08:45,9.11,38.48%
8,eporner.com,Adult,1,00:06:37,8.56,34.53%
9,faphouse.com,Adult,=,00:02:49,2.97,61.9%
10,spankbang.com,Adult,=,00:07:34,7.91,32.08%
11,xhamster.desi,Adult,=,00:07:22,5.06,32.28%
12,optvz.com,Adult,=,00:02:30,1.76,59.61%
13,onlyfans.com,Adult,=,00:04:29,5.52,43.22%
14,argrowlitheor.com,Adult,332,00:02:25,2.26,29.33%
15,missav.ws,Adult,1,00:13:29,22.86,17.24%
16,xhamsterlive.com,Adult,=,00:06:18,6.66,29.44%
17,dmm.co.jp,Adult,2,00:08:01,9.97,32.53%
18,livejasmin.com,Adult,1,00:02:06,2.17,73.46%
19,erome.com,Adult,6,00:05:14,14.74,28.86%
20,xvv1deos.com,Adult,1,00:08:12,10.75,27.34%
21,xham.live,Adult,1,00:05:02,4.51,57.72%
22,stripchatgirls.com,Adult,=,00:03:37,3.14,53.63%
23,youporn.com,Adult,5,00:06:53,5.35,35.03%
24,noodlemagazine.com,Adult,2,00:07:26,8.53,30.17%
25,xnxx.es,Adult,2,00:06:59,9.76,27.8%
26,holahupa.com,Adult,3,00:04:43,3.69,25.67%
27,xvideos.es,Adult,5,00:07:31,9.44,30.89%
28,diagramjawlineunhappy.com,Adult,6,00:04:51,4.06,12.53%
29,ixxx.com,Adult,1,00:08:06,6.78,20.61%
30,stikroltiltoowi.net,Adult,30,00:04:36,4.10,29.12%
31,xnxx.health,Adult,12,00:05:16,7.71,31.86%
32,cityheaven.net,Adult,3,00:07:58,12.13,30.52%
33,pornhub.org,Adult,2,00:03:51,8.57,9.75%
34,tnaflix.com,Adult,4,00:03:59,3.86,40.69%
35,getallmylinks.com,Adult,4,00:01:29,1.60,69.74%
36,xgroovy.com,Adult,=,00:04:47,4.24,38.28%
37,dmsik.com,Adult,3,00:00:28,1.10,93%
38,rule34.xxx,Adult,5,00:09:27,30.68,21.33%
39,clickadu.net,Adult,=,00:02:16,3.44,35.01%
40,txnhh.com,Adult,10,00:07:06,9.57,28.71%
41,qorno.com,Adult,=,00:03:45,5.41,14.46%
42,xhamster2.com,Adult,11,00:08:11,7.33,26.89%
43,redtube.com,Adult,4,00:05:51,6.27,35.97%
44,pornzog.com,Adult,2,00:02:49,3.52,37.37%
45,bankingbloatedcaptive.com,Adult,3,00:04:18,3.89,23.6%
46,sxyprn.com,Adult,5,00:10:03,11.48,16.63%
47,love4porn.com,Adult,2,00:02:57,3.63,25.29%
48,bunkr.cr,Adult,208,00:10:00,11.96,23.76%
49,manatoki468.net,Adult,=,00:13:44,10.08,24.22%
50,nhentai.net,Adult,4,00:11:08,41.34,15.76%
