Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bilibili.com,Arts & Entertainment > Animation and Comics,=,00:21:55,13.54,14.84%
2,zonatmo.com,Arts & Entertainment > Animation and Comics,=,00:16:48,12.87,27.75%
3,aniwatchtv.to,Arts & Entertainment > Animation and Comics,=,00:16:38,6.51,28.92%
4,cmoa.jp,Arts & Entertainment > Animation and Comics,=,00:13:12,13.47,32.27%
5,demonicscans.org,Arts & Entertainment > Animation and Comics,2,00:16:21,5.98,26.56%
6,spoilerplus.tv,Arts & Entertainment > Animation and Comics,=,00:18:26,10.25,19.37%
7,animeflv.net,Arts & Entertainment > Animation and Comics,1,00:11:16,4.62,40.1%
8,mgeko.cc,Arts & Entertainment > Animation and Comics,2,00:16:47,8.11,28.73%
9,mechacomic.jp,Arts & Entertainment > Animation and Comics,=,00:15:08,13.69,24.49%
10,xbato.com,Arts & Entertainment > Animation and Comics,33,00:21:31,8.39,34.82%
11,mangajikan.com,Arts & Entertainment > Animation and Comics,15,00:18:58,10.58,27.31%
12,mangadex.org,Arts & Entertainment > Animation and Comics,6,00:08:03,27.66,29.05%
13,9animetv.to,Arts & Entertainment > Animation and Comics,4,00:14:42,5.41,31.91%
14,jut.su,Arts & Entertainment > Animation and Comics,5,00:19:42,3.98,36.19%
15,mangaraw.best,Arts & Entertainment > Animation and Comics,5,00:24:04,12.95,20.74%
16,mangakoma01.com,Arts & Entertainment > Animation and Comics,=,00:23:48,8.50,25.53%
17,chapmanganato.to,Arts & Entertainment > Animation and Comics,3,00:18:26,8.27,30.1%
18,weebcentral.com,Arts & Entertainment > Animation and Comics,43,00:17:37,7.80,30.41%
19,kingofshojo.com,Arts & Entertainment > Animation and Comics,3,00:17:32,7.08,36.05%
20,miruro.tv,Arts & Entertainment > Animation and Comics,17,00:14:05,5.10,34.21%
21,syosetu.is,Arts & Entertainment > Animation and Comics,=,00:07:11,4.88,33.37%
22,mangaraw.plus,Arts & Entertainment > Animation and Comics,11,00:04:00,2.87,72.49%
23,mangago.me,Arts & Entertainment > Animation and Comics,4,00:14:09,20.94,23.39%
24,manhuatop.org,Arts & Entertainment > Animation and Comics,1,00:17:47,8.37,36.95%
25,zonamiau.com,Arts & Entertainment > Animation and Comics,5,00:16:23,5.89,35.21%
26,mangalib.me,Arts & Entertainment > Animation and Comics,2,00:13:29,20.46,33%
27,mangaraw.ma,Arts & Entertainment > Animation and Comics,6,00:22:08,13.22,13.93%
28,manhwaclan.com,Arts & Entertainment > Animation and Comics,3,00:15:32,7.58,33.65%
29,templetoons.com,Arts & Entertainment > Animation and Comics,=,00:06:30,4.17,52.12%
30,lekmanga.net,Arts & Entertainment > Animation and Comics,4,00:16:33,7.22,33.68%
31,eternalmangas.com,Arts & Entertainment > Animation and Comics,11,00:16:09,5.33,40.59%
32,otakudesu.cloud,Arts & Entertainment > Animation and Comics,4,00:13:26,6.68,41.3%
33,lightnovelworld.co,Arts & Entertainment > Animation and Comics,7,00:28:52,7.70,33.11%
34,manhwaweb.com,Arts & Entertainment > Animation and Comics,33,00:19:35,8.43,33.19%
35,piccoma.com,Arts & Entertainment > Animation and Comics,3,00:13:30,13.71,27.53%
36,vymanga.com,Arts & Entertainment > Animation and Comics,=,00:13:02,8.58,38.76%
37,kakuyomu.jp,Arts & Entertainment > Animation and Comics,1,00:19:18,9.98,33.82%
38,foodib.net,Arts & Entertainment > Animation and Comics,"1,452",00:17:09,6.91,25.69%
39,motoratrium.com,Arts & Entertainment > Animation and Comics,26,00:08:12,5.81,9.3%
40,mangabuddy.com,Arts & Entertainment > Animation and Comics,1,00:16:47,9.40,32.31%
41,tresdaos.com,Arts & Entertainment > Animation and Comics,18,00:12:54,5.90,42.76%
42,mangarawjp.me,Arts & Entertainment > Animation and Comics,32,00:23:40,13.51,18.5%
43,rinconcitoverde.xyz,Arts & Entertainment > Animation and Comics,12,00:21:02,6.25,33.15%
44,webtoons.com,Arts & Entertainment > Animation and Comics,13,00:11:21,6.73,34.7%
45,manganato.com,Arts & Entertainment > Animation and Comics,6,00:05:41,3.63,39.99%
46,manhuaus.com,Arts & Entertainment > Animation and Comics,2,00:09:07,5.81,30.78%
47,usagi.one,Arts & Entertainment > Animation and Comics,1,00:32:04,10.75,27.93%
48,mangafire.to,Arts & Entertainment > Animation and Comics,23,00:13:13,7.41,42.44%
49,anime-sama.fr,Arts & Entertainment > Animation and Comics,10,00:08:26,4.97,37.21%
50,manhuagui.com,Arts & Entertainment > Animation and Comics,1,00:11:53,25.27,29.58%
