Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,fandom.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:04:47,4.37,49.62%
2,dcinside.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:12:36,15.09,21.78%
3,nate.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:19,11.65,22.91%
4,syosetu.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:20:16,9.87,26.25%
5,123av.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:08:11,11.60,25.33%
6,freepik.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:07:41,9.43,31.69%
7,2345.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:01:53,1.76,72.65%
8,go.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:02:42,2.44,58.84%
9,twimg.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:04:03,4.17,58.44%
10,douban.com,Arts & Entertainment > Arts and Entertainment - Other,1,00:04:52,8.91,34.86%
11,bilibili.tv,Arts & Entertainment > Arts and Entertainment - Other,1,00:06:04,3.60,50.47%
12,bookmyshow.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:48,4.03,49.77%
13,pudelek.pl,Arts & Entertainment > Arts and Entertainment - Other,1,00:03:24,2.28,45.57%
14,oricon.co.jp,Arts & Entertainment > Arts and Entertainment - Other,1,00:00:58,2.28,61.56%
15,tmz.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:02:16,2.38,56.87%
16,unext.jp,Arts & Entertainment > Arts and Entertainment - Other,1,00:08:19,4.93,35.03%
17,suki-kira.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:09:39,11.36,25.81%
18,gofundme.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:01:51,2.58,54.84%
19,super.cz,Arts & Entertainment > Arts and Entertainment - Other,=,00:03:18,2.54,34.36%
20,mydramalist.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:02,5.30,46.2%
21,pagesix.com,Arts & Entertainment > Arts and Entertainment - Other,14,00:01:18,1.95,63%
22,boredpanda.com,Arts & Entertainment > Arts and Entertainment - Other,2,00:03:39,2.58,39.02%
23,youku.com,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:51,4.05,39.42%
24,pozdravok.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:02:18,2.21,63.63%
25,myanimelist.net,Arts & Entertainment > Arts and Entertainment - Other,5,00:04:09,5.16,40.08%
26,deadline.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:01:35,2.09,57.37%
27,tsite.jp,Arts & Entertainment > Arts and Entertainment - Other,2,00:04:29,6.10,29.71%
28,hollywoodreporter.com,Arts & Entertainment > Arts and Entertainment - Other,9,00:01:10,1.88,62.58%
29,goguynet.jp,Arts & Entertainment > Arts and Entertainment - Other,2,00:01:01,1.69,75.71%
30,ew.com,Arts & Entertainment > Arts and Entertainment - Other,6,00:01:08,1.60,63.12%
31,purepeople.com,Arts & Entertainment > Arts and Entertainment - Other,10,00:01:54,2.09,61.24%
32,viki.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:06:11,3.69,45.79%
33,syosetu.org,Arts & Entertainment > Arts and Entertainment - Other,7,00:18:28,10.33,23.76%
34,sps-system.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:02:16,4.04,15.3%
35,lipstickalley.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:13:25,8.44,29.73%
36,voici.fr,Arts & Entertainment > Arts and Entertainment - Other,7,00:01:33,2.25,60.18%
37,hola.com,Arts & Entertainment > Arts and Entertainment - Other,5,00:01:44,2.13,54.24%
38,natalie.mu,Arts & Entertainment > Arts and Entertainment - Other,5,00:01:00,2.05,60.55%
39,jastrzabpost.pl,Arts & Entertainment > Arts and Entertainment - Other,1,00:01:21,1.81,53.53%
40,pomponik.pl,Arts & Entertainment > Arts and Entertainment - Other,6,00:00:50,1.95,36.03%
41,lecturas.com,Arts & Entertainment > Arts and Entertainment - Other,4,00:01:26,2.06,47.12%
42,ngl.link,Arts & Entertainment > Arts and Entertainment - Other,4,00:02:58,2.57,39.88%
43,timeout.com,Arts & Entertainment > Arts and Entertainment - Other,1,00:01:23,1.85,50.14%
44,disney.go.com,Arts & Entertainment > Arts and Entertainment - Other,5,00:03:50,4.63,43.04%
45,b92.net,Arts & Entertainment > Arts and Entertainment - Other,3,00:05:33,3.86,29.23%
46,redbubble.com,Arts & Entertainment > Arts and Entertainment - Other,6,00:02:56,4.21,54.23%
47,tokyodisneyresort.jp,Arts & Entertainment > Arts and Entertainment - Other,=,00:06:44,5.95,40.1%
48,kapanlagi.com,Arts & Entertainment > Arts and Entertainment - Other,3,00:01:50,4.23,2.25%
49,wcostream.tv,Arts & Entertainment > Arts and Entertainment - Other,7,00:11:52,4.52,34.95%
50,familyclub.jp,Arts & Entertainment > Arts and Entertainment - Other,=,00:05:26,5.96,28.39%
