Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,archiveofourown.org,Arts & Entertainment > Books and Literature,=,00:15:22,8.29,29.26%
2,novelbin.com,Arts & Entertainment > Books and Literature,=,00:34:01,10.16,29.42%
3,wattpad.com,Arts & Entertainment > Books and Literature,=,00:18:29,12.61,34.64%
4,qidian.com,Arts & Entertainment > Books and Literature,2,00:15:01,15.51,28.04%
5,author.today,Arts & Entertainment > Books and Literature,2,00:12:11,4.79,35.84%
6,afrsportsbetting.com,Arts & Entertainment > Books and Literature,72,00:00:26,1.24,90.19%
7,fictionzone.net,Arts & Entertainment > Books and Literature,11,00:11:05,6.23,44.61%
8,litnet.com,Arts & Entertainment > Books and Literature,1,00:14:18,8.26,32.21%
9,69yuedu.net,Arts & Entertainment > Books and Literature,4,00:29:27,11.76,27.59%
10,knigavuhe.org,Arts & Entertainment > Books and Literature,4,00:03:20,2.65,60.99%
11,issuu.com,Arts & Entertainment > Books and Literature,2,00:01:54,1.99,64.05%
12,ficbook.net,Arts & Entertainment > Books and Literature,=,00:13:47,6.93,35.3%
13,mangabuff.ru,Arts & Entertainment > Books and Literature,6,00:22:10,11.00,26.57%
14,pensador.com,Arts & Entertainment > Books and Literature,2,00:01:28,1.59,61.31%
15,mtlnovels.com,Arts & Entertainment > Books and Literature,4,00:45:32,15.27,24.96%
16,wuxiabox.com,Arts & Entertainment > Books and Literature,6,00:41:44,18.18,21.24%
17,tvtropes.org,Arts & Entertainment > Books and Literature,=,00:10:24,7.86,33.24%
18,69shuba.cx,Arts & Entertainment > Books and Literature,3,00:23:45,11.58,27.29%
19,webnovel.com,Arts & Entertainment > Books and Literature,1,00:22:46,10.53,26.05%
20,69shuba.com,Arts & Entertainment > Books and Literature,131,00:35:55,12.97,25.52%
21,jjwxc.net,Arts & Entertainment > Books and Literature,2,00:15:06,9.08,38.7%
22,vitalsource.com,Arts & Entertainment > Books and Literature,4,00:16:53,20.57,22.02%
23,twkan.com,Arts & Entertainment > Books and Literature,19,00:32:10,12.12,23.58%
24,ranobes.top,Arts & Entertainment > Books and Literature,2,00:18:29,7.33,41.52%
25,spaggiari.eu,Arts & Entertainment > Books and Literature,1,00:07:44,8.90,18.24%
26,xbanxia.com,Arts & Entertainment > Books and Literature,7,00:26:15,7.70,34.47%
27,thriftbooks.com,Arts & Entertainment > Books and Literature,2,00:02:46,5.64,41%
28,stihi.ru,Arts & Entertainment > Books and Literature,3,00:04:07,5.94,40.31%
29,royalroad.com,Arts & Entertainment > Books and Literature,=,00:12:40,6.23,34.78%
30,overdrive.com,Arts & Entertainment > Books and Literature,3,00:03:33,5.14,36.4%
31,doramatv.one,Arts & Entertainment > Books and Literature,10,00:06:41,5.56,40.28%
32,epub.pub,Arts & Entertainment > Books and Literature,=,00:04:28,5.65,38.47%
33,noveldrama.org,Arts & Entertainment > Books and Literature,2,00:38:12,13.00,27.05%
34,bqg9527.cc,Arts & Entertainment > Books and Literature,6,00:19:54,9.00,27.99%
35,wtr-lab.com,Arts & Entertainment > Books and Literature,9,00:07:50,3.98,59.84%
36,hiconeg.com,Arts & Entertainment > Books and Literature,46,00:04:10,2.64,27%
37,52shuku.vip,Arts & Entertainment > Books and Literature,7,00:38:18,14.05,25.38%
38,fizzo.org,Arts & Entertainment > Books and Literature,18,00:09:57,2.28,57.24%
39,pawmanga.com,Arts & Entertainment > Books and Literature,2,00:13:02,8.05,35.1%
40,jaomix.ru,Arts & Entertainment > Books and Literature,4,00:33:24,7.70,29.25%
41,akniga.org,Arts & Entertainment > Books and Literature,1,00:02:48,2.56,57.66%
42,freewebnovel.com,Arts & Entertainment > Books and Literature,8,00:29:19,9.54,28.57%
43,loveread.ec,Arts & Entertainment > Books and Literature,2,00:24:25,8.52,27.93%
44,litgorod.ru,Arts & Entertainment > Books and Literature,10,00:10:07,4.63,37.26%
45,zinchangmanga.com,Arts & Entertainment > Books and Literature,6,00:08:29,5.31,31.1%
46,lubimyczytac.pl,Arts & Entertainment > Books and Literature,4,00:02:10,3.25,31.23%
47,litmarket.ru,Arts & Entertainment > Books and Literature,2,00:07:17,4.13,33.53%
48,ridibooks.com,Arts & Entertainment > Books and Literature,5,00:10:51,10.04,25.88%
49,wa01.com,Arts & Entertainment > Books and Literature,41,00:29:14,7.51,29.78%
50,proza.ru,Arts & Entertainment > Books and Literature,1,00:02:06,2.82,51.89%
