Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,pikabu.ru,Arts & Entertainment > Humor,=,00:05:10,3.50,38.04%
2,9gag.com,Arts & Entertainment > Humor,=,00:05:50,3.97,34.61%
3,pinimg.com,Arts & Entertainment > Humor,=,00:03:42,2.36,64.86%
4,fanfiction.net,Arts & Entertainment > Humor,=,00:15:07,7.96,30.85%
5,cheezburger.com,Arts & Entertainment > Humor,=,00:02:31,2.42,36.96%
6,insta-stories-viewer.com,Arts & Entertainment > Humor,=,00:03:13,3.10,31.11%
7,tenor.com,Arts & Entertainment > Humor,=,00:01:48,2.73,54.76%
8,change.org,Arts & Entertainment > Humor,=,00:01:38,2.62,47.05%
9,yaplakal.com,Arts & Entertainment > Humor,=,00:13:43,8.32,28.03%
10,fishki.net,Arts & Entertainment > Humor,=,00:11:05,8.09,31.49%
11,pleated-jeans.com,Arts & Entertainment > Humor,1,00:03:39,2.67,34.24%
12,demotywatory.pl,Arts & Entertainment > Humor,2,00:06:18,4.63,26.12%
13,knowyourmeme.com,Arts & Entertainment > Humor,2,00:01:16,2.56,53.37%
14,geediting.com,Arts & Entertainment > Humor,3,00:01:03,1.51,50.89%
15,thechive.com,Arts & Entertainment > Humor,1,00:06:16,4.94,30.43%
16,cracked.com,Arts & Entertainment > Humor,1,00:03:51,2.47,47.28%
17,joemonster.org,Arts & Entertainment > Humor,1,00:06:24,6.19,18.44%
18,anekdot.ru,Arts & Entertainment > Humor,3,00:04:25,3.17,43.13%
19,kwejk.pl,Arts & Entertainment > Humor,=,00:03:42,3.88,23.73%
20,fraviral.com,Arts & Entertainment > Humor,7,00:02:56,3.36,52.95%
21,kiwifarms.st,Arts & Entertainment > Humor,1,00:15:14,9.84,21.49%
22,xkcd.com,Arts & Entertainment > Humor,1,00:01:46,3.74,49.34%
23,joyreactor.cc,Arts & Entertainment > Humor,1,00:07:19,5.71,37.65%
24,notalwaysright.com,Arts & Entertainment > Humor,1,00:10:44,6.01,35.02%
25,mediatakeout.com,Arts & Entertainment > Humor,1,00:01:22,2.76,69.02%
26,finofilipino.org,Arts & Entertainment > Humor,2,00:06:29,3.01,43.29%
27,funnyjunk.com,Arts & Entertainment > Humor,3,00:12:41,26.18,25.23%
28,theonion.com,Arts & Entertainment > Humor,4,00:01:33,2.47,49.38%
29,thewrap.com,Arts & Entertainment > Humor,2,00:00:42,1.45,63.49%
30,fontmeme.com,Arts & Entertainment > Humor,1,00:02:32,4.16,55.86%
31,news.hometalk.com,Arts & Entertainment > Humor,3,00:02:37,1.72,58.43%
32,kakoysegodnyaprazdnik.ru,Arts & Entertainment > Humor,7,00:00:44,1.73,36.28%
33,idrlabs.com,Arts & Entertainment > Humor,2,00:04:24,3.57,48.75%
34,ebaumsworld.com,Arts & Entertainment > Humor,4,00:03:21,3.02,41.92%
35,watchpeopledie.tv,Arts & Entertainment > Humor,4,00:11:22,9.72,23.11%
36,mistrzowie.org,Arts & Entertainment > Humor,3,00:03:40,3.35,19.14%
37,anekdotov.net,Arts & Entertainment > Humor,4,00:07:09,3.41,43.63%
38,demotivateur.fr,Arts & Entertainment > Humor,1,00:01:46,1.51,59.01%
39,todayhumor.co.kr,Arts & Entertainment > Humor,3,00:04:09,8.03,47.72%
40,noblemtl.com,Arts & Entertainment > Humor,7,00:16:42,6.26,40.36%
41,dmate6.online,Arts & Entertainment > Humor,=,00:01:02,1.15,90.11%
42,vistoenlasredes.com,Arts & Entertainment > Humor,4,00:03:53,3.55,32.3%
43,animeone.cc,Arts & Entertainment > Humor,=,00:03:35,3.29,60.55%
44,sadistic.pl,Arts & Entertainment > Humor,2,00:06:36,4.28,23.39%
45,cuantarazon.com,Arts & Entertainment > Humor,5,00:04:51,3.69,29.18%
46,chamsko.pl,Arts & Entertainment > Humor,3,00:02:27,3.21,26.32%
47,memedroid.com,Arts & Entertainment > Humor,2,00:03:37,4.30,55.9%
48,refresher.sk,Arts & Entertainment > Humor,4,00:00:20,1.70,17.19%
49,atom.com,Arts & Entertainment > Humor,1,00:03:05,2.69,57.38%
50,webfail.com,Arts & Entertainment > Humor,6,00:03:02,2.12,55.83%
