Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,spotify.com,Arts & Entertainment > Music,=,00:06:30,6.32,39.47%
2,genius.com,Arts & Entertainment > Music,=,00:02:15,2.87,51.54%
3,soundcloud.com,Arts & Entertainment > Music,=,00:06:17,5.72,44.6%
4,npr.org,Arts & Entertainment > Music,=,00:02:01,1.76,68.73%
5,music.yandex.ru,Arts & Entertainment > Music,=,00:03:56,2.62,51.19%
6,y2mate.nu,Arts & Entertainment > Music,=,00:04:10,3.36,58.2%
7,hitmotop.com,Arts & Entertainment > Music,=,00:04:46,2.68,59.8%
8,ultimate-guitar.com,Arts & Entertainment > Music,=,00:05:21,3.67,51.33%
9,letras.mus.br,Arts & Entertainment > Music,=,00:02:37,2.02,64.21%
10,letras.com,Arts & Entertainment > Music,=,00:01:55,1.98,66.53%
11,discogs.com,Arts & Entertainment > Music,=,00:09:11,13.15,30.18%
12,ilbe.com,Arts & Entertainment > Music,=,00:14:24,18.51,18.5%
13,mnuu.nu,Arts & Entertainment > Music,1,00:04:07,2.36,59.56%
14,radio-canada.ca,Arts & Entertainment > Music,2,00:03:22,2.34,52.72%
15,last.fm,Arts & Entertainment > Music,2,00:04:39,5.71,43.51%
16,bandcamp.com,Arts & Entertainment > Music,1,00:04:22,4.88,42.7%
17,radiko.jp,Arts & Entertainment > Music,1,00:06:08,3.17,38.1%
18,cadenaser.com,Arts & Entertainment > Music,3,00:02:37,1.90,52.03%
19,iheart.com,Arts & Entertainment > Music,1,00:02:24,2.88,54.11%
20,uta-net.com,Arts & Entertainment > Music,1,00:03:05,2.77,63.85%
21,radiofrance.fr,Arts & Entertainment > Music,1,00:01:43,1.91,50.23%
22,billboard.com,Arts & Entertainment > Music,20,00:01:29,2.71,60.97%
23,gaana.com,Arts & Entertainment > Music,=,00:01:13,2.06,47.86%
24,bandsintown.com,Arts & Entertainment > Music,11,00:01:06,2.30,52.68%
25,pagalfree.com,Arts & Entertainment > Music,4,00:04:42,5.97,34%
26,deezer.com,Arts & Entertainment > Music,1,00:03:53,4.07,48.06%
27,jiosaavn.com,Arts & Entertainment > Music,1,00:01:02,1.86,51.36%
28,rollingstone.com,Arts & Entertainment > Music,1,00:01:13,4.11,56.22%
29,music.163.com,Arts & Entertainment > Music,5,00:02:32,3.27,37.95%
30,siriusxm.com,Arts & Entertainment > Music,2,00:02:38,3.88,32.92%
31,worldstarhiphop.com,Arts & Entertainment > Music,2,00:05:34,3.70,40.27%
32,radiozet.pl,Arts & Entertainment > Music,4,00:01:22,1.74,42.99%
33,y2mate.lol,Arts & Entertainment > Music,17,00:03:53,5.71,28.26%
34,pandora.com,Arts & Entertainment > Music,4,00:03:15,3.41,38.33%
35,cifraclub.com.br,Arts & Entertainment > Music,1,00:05:47,4.44,45.16%
36,muzofond.fm,Arts & Entertainment > Music,8,00:02:41,2.54,47.52%
37,ummn.nu,Arts & Entertainment > Music,2,00:03:43,2.37,59.7%
38,thomann.de,Arts & Entertainment > Music,7,00:05:19,8.00,33.06%
39,lnk.to,Arts & Entertainment > Music,7,00:00:42,1.39,76.99%
40,reverb.com,Arts & Entertainment > Music,3,00:05:08,5.61,37.12%
41,rateyourmusic.com,Arts & Entertainment > Music,1,00:08:33,13.04,25.39%
42,smule.com,Arts & Entertainment > Music,3,00:02:55,2.30,58.15%
43,musescore.com,Arts & Entertainment > Music,1,00:03:52,4.22,48.2%
44,sefon.pro,Arts & Entertainment > Music,3,00:03:48,3.82,51.96%
45,rtl.fr,Arts & Entertainment > Music,4,00:01:06,1.65,48.1%
46,fantasanremo.com,Arts & Entertainment > Music,285,00:04:03,5.12,54.18%
47,faroutmagazine.co.uk,Arts & Entertainment > Music,5,00:01:10,1.87,50.31%
48,chordtela.com,Arts & Entertainment > Music,11,00:07:05,5.21,47.41%
49,shazam.com,Arts & Entertainment > Music,6,00:01:22,1.82,70.28%
50,cope.es,Arts & Entertainment > Music,3,00:01:13,1.73,52.36%
