Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,alphatron.tv,Arts & Entertainment > Performing Arts,=,00:11:34,6.06,30.71%
2,lk21online.mom,Arts & Entertainment > Performing Arts,=,00:06:37,3.82,38.29%
3,frontgatetickets.com,Arts & Entertainment > Performing Arts,2,00:02:10,3.36,39.74%
4,framed.wtf,Arts & Entertainment > Performing Arts,=,00:02:13,3.11,53.66%
5,backstage.com,Arts & Entertainment > Performing Arts,2,00:03:52,5.73,47.11%
6,intickets.ru,Arts & Entertainment > Performing Arts,=,00:02:25,3.32,48.33%
7,quicktickets.ru,Arts & Entertainment > Performing Arts,3,00:03:43,4.12,34.94%
8,shiki.jp,Arts & Entertainment > Performing Arts,7,00:05:14,5.67,41.11%
9,playbill.com,Arts & Entertainment > Performing Arts,=,00:02:07,2.25,59.6%
10,broadway.com,Arts & Entertainment > Performing Arts,2,00:02:19,4.21,48.71%
11,ticketon.kz,Arts & Entertainment > Performing Arts,2,00:02:27,2.24,53.09%
12,kassy.ru,Arts & Entertainment > Performing Arts,4,00:02:59,3.40,38.91%
13,cirquedusoleil.com,Arts & Entertainment > Performing Arts,1,00:02:12,3.45,46.36%
14,actorsaccess.com,Arts & Entertainment > Performing Arts,3,00:06:36,9.26,23.05%
15,ticketsource.co.uk,Arts & Entertainment > Performing Arts,10,00:02:46,3.99,46.51%
16,broadwayworld.com,Arts & Entertainment > Performing Arts,2,00:01:38,2.18,59.56%
17,kennedy-center.org,Arts & Entertainment > Performing Arts,15,00:01:37,2.55,52.22%
18,ovationtix.com,Arts & Entertainment > Performing Arts,5,00:02:21,3.52,42.17%
19,broadwaydirect.com,Arts & Entertainment > Performing Arts,5,00:03:14,6.32,32.37%
20,ticketsolve.com,Arts & Entertainment > Performing Arts,7,00:04:49,7.02,32.69%
21,picturehouses.com,Arts & Entertainment > Performing Arts,1,00:03:11,3.44,41.73%
22,londontheatre.co.uk,Arts & Entertainment > Performing Arts,6,00:02:43,3.81,45.22%
23,whatsonstage.com,Arts & Entertainment > Performing Arts,3,00:02:22,2.05,49.79%
24,vdnh.ru,Arts & Entertainment > Performing Arts,17,00:01:34,2.21,38.26%
25,telecharge.com,Arts & Entertainment > Performing Arts,3,00:03:21,4.15,34.85%
26,news.autoguide.com,Arts & Entertainment > Performing Arts,9,00:01:30,1.62,50.3%
27,safronovy.ru,Arts & Entertainment > Performing Arts,10,00:01:12,1.53,50.1%
28,domorestuff.com,Arts & Entertainment > Performing Arts,14,00:02:12,3.59,17.35%
29,eventim-inhouse.de,Arts & Entertainment > Performing Arts,=,00:03:42,3.95,40.33%
30,kvitki.by,Arts & Entertainment > Performing Arts,21,00:02:11,4.56,36.42%
31,operadeparis.fr,Arts & Entertainment > Performing Arts,2,00:05:47,4.92,36.13%
32,barbican.org.uk,Arts & Entertainment > Performing Arts,9,00:02:06,3.42,46.66%
33,gorbilet.com,Arts & Entertainment > Performing Arts,12,00:01:04,1.99,50.51%
34,royalalberthall.com,Arts & Entertainment > Performing Arts,6,00:02:58,4.83,35%
35,medievaltimes.com,Arts & Entertainment > Performing Arts,15,00:03:07,2.88,45.13%
36,mirvish.com,Arts & Entertainment > Performing Arts,3,00:02:39,3.73,42.5%
37,mariinsky.ru,Arts & Entertainment > Performing Arts,13,00:02:23,3.82,32.2%
38,teatro.it,Arts & Entertainment > Performing Arts,2,00:01:26,2.05,44.94%
39,ludus.com,Arts & Entertainment > Performing Arts,=,00:04:13,3.97,42.85%
40,okepi.net,Arts & Entertainment > Performing Arts,9,00:06:51,4.72,30.28%
41,m-1gp.com,Arts & Entertainment > Performing Arts,22,00:01:37,2.15,49.02%
42,stuki-druki.com,Arts & Entertainment > Performing Arts,12,00:01:22,1.73,54.1%
43,xreal.com,Arts & Entertainment > Performing Arts,5,00:02:10,2.45,45.2%
44,stage-entertainment.de,Arts & Entertainment > Performing Arts,2,00:02:41,3.08,46.42%
45,ticketservices.gr,Arts & Entertainment > Performing Arts,1,00:01:25,2.50,45.23%
46,e-get.jp,Arts & Entertainment > Performing Arts,10,00:05:15,11.46,33.34%
47,sxsw.com,Arts & Entertainment > Performing Arts,15,00:03:50,5.25,48.27%
48,rodeohouston.com,Arts & Entertainment > Performing Arts,5,00:03:12,3.32,54.5%
49,bolshoi.ru,Arts & Entertainment > Performing Arts,28,00:02:14,3.89,31.47%
50,cinemamedley.ru,Arts & Entertainment > Performing Arts,16,00:01:20,1.46,74.12%
