Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,youtube.com,Arts & Entertainment > Streaming & Online TV,=,00:20:47,13.55,20.57%
2,netflix.com,Arts & Entertainment > Streaming & Online TV,=,00:07:07,4.22,40.3%
3,imdb.com,Arts & Entertainment > Streaming & Online TV,=,00:02:47,4.74,39.27%
4,rutube.ru,Arts & Entertainment > Streaming & Online TV,=,00:06:45,3.78,49.99%
5,hianime.to,Arts & Entertainment > Streaming & Online TV,=,00:16:23,6.28,25.36%
6,disneyplus.com,Arts & Entertainment > Streaming & Online TV,=,00:08:50,4.76,37.04%
7,primevideo.com,Arts & Entertainment > Streaming & Online TV,=,00:02:31,2.91,42.19%
8,max.com,Arts & Entertainment > Streaming & Online TV,=,00:07:24,4.05,40.4%
9,dailymotion.com,Arts & Entertainment > Streaming & Online TV,=,00:04:52,2.88,55.56%
10,hulu.com,Arts & Entertainment > Streaming & Online TV,1,00:10:37,4.20,34.68%
11,kinopoisk.ru,Arts & Entertainment > Streaming & Online TV,1,00:05:17,3.87,37.98%
12,crunchyroll.com,Arts & Entertainment > Streaming & Online TV,=,00:14:19,4.66,35.21%
13,nicovideo.jp,Arts & Entertainment > Streaming & Online TV,1,00:09:48,6.49,35.9%
14,tenki.jp,Arts & Entertainment > Streaming & Online TV,5,00:02:10,2.40,50.81%
15,hotstar.com,Arts & Entertainment > Streaming & Online TV,20,00:07:22,5.35,20.31%
16,xfinity.com,Arts & Entertainment > Streaming & Online TV,=,00:06:15,6.69,26.61%
17,loobygameshub.com,Arts & Entertainment > Streaming & Online TV,2,00:13:50,4.19,26.51%
18,screenrant.com,Arts & Entertainment > Streaming & Online TV,1,00:01:21,1.73,63.4%
19,amedia.lol,Arts & Entertainment > Streaming & Online TV,=,00:17:50,5.06,30.81%
20,nhk.or.jp,Arts & Entertainment > Streaming & Online TV,2,00:02:09,2.27,62.92%
21,hydrahd.me,Arts & Entertainment > Streaming & Online TV,=,00:07:28,4.10,40.66%
22,kinogo.ec,Arts & Entertainment > Streaming & Online TV,9,00:02:22,2.07,67.14%
23,zdf.de,Arts & Entertainment > Streaming & Online TV,9,00:02:50,2.38,48.26%
24,peacocktv.com,Arts & Entertainment > Streaming & Online TV,4,00:12:10,5.83,29.89%
25,nos.nl,Arts & Entertainment > Streaming & Online TV,3,00:04:11,3.49,33.3%
26,nkryu17dc.com,Arts & Entertainment > Streaming & Online TV,=,00:14:41,4.72,33.98%
27,sky.com,Arts & Entertainment > Streaming & Online TV,3,00:02:22,2.50,50.16%
28,rottentomatoes.com,Arts & Entertainment > Streaming & Online TV,5,00:01:42,2.43,48.27%
29,mediaset.it,Arts & Entertainment > Streaming & Online TV,4,00:04:19,2.66,45.16%
30,programme-tv.net,Arts & Entertainment > Streaming & Online TV,=,00:01:12,2.28,36.33%
31,tver.jp,Arts & Entertainment > Streaming & Online TV,10,00:06:14,4.55,29.11%
32,paramountplus.com,Arts & Entertainment > Streaming & Online TV,4,00:05:27,3.42,47.13%
33,kisskh.co,Arts & Entertainment > Streaming & Online TV,4,00:11:17,4.85,38.63%
34,abema.tv,Arts & Entertainment > Streaming & Online TV,3,00:05:41,3.58,48.67%
35,weathernews.jp,Arts & Entertainment > Streaming & Online TV,6,00:02:11,2.26,49.69%
36,justwatch.com,Arts & Entertainment > Streaming & Online TV,7,00:01:08,2.07,54.02%
37,tbs.co.jp,Arts & Entertainment > Streaming & Online TV,4,00:01:51,2.91,57.48%
38,sky.it,Arts & Entertainment > Streaming & Online TV,1,00:01:53,2.63,44.96%
39,bfmtv.com,Arts & Entertainment > Streaming & Online TV,5,00:02:24,1.94,51.19%
40,orf.at,Arts & Entertainment > Streaming & Online TV,2,00:05:15,4.95,36.07%
41,cineby.app,Arts & Entertainment > Streaming & Online TV,=,00:05:24,3.75,38.42%
42,tubitv.com,Arts & Entertainment > Streaming & Online TV,12,00:05:31,3.50,48.46%
43,nrk.no,Arts & Entertainment > Streaming & Online TV,3,00:04:25,3.37,40.75%
44,ndr.de,Arts & Entertainment > Streaming & Online TV,11,00:01:51,1.86,67.06%
45,ardmediathek.de,Arts & Entertainment > Streaming & Online TV,=,00:04:02,3.20,46.94%
46,vimeo.com,Arts & Entertainment > Streaming & Online TV,2,00:03:43,3.59,54.24%
47,bubbiesxylaria.top,Arts & Entertainment > Streaming & Online TV,21,00:03:37,2.33,61.32%
48,uakino.me,Arts & Entertainment > Streaming & Online TV,2,00:04:53,3.25,50.68%
49,anime-bit.online,Arts & Entertainment > Streaming & Online TV,=,00:08:43,2.82,39.54%
50,filmoflix.ad,Arts & Entertainment > Streaming & Online TV,23,00:05:23,4.05,45.74%
