Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,pixiv.net,Arts & Entertainment > Visual Arts and Design,=,00:11:25,7.98,36.36%
2,deviantart.com,Arts & Entertainment > Visual Arts and Design,=,00:08:18,13.30,32.01%
3,behance.net,Arts & Entertainment > Visual Arts and Design,=,00:05:29,6.31,35.75%
4,vecteezy.com,Arts & Entertainment > Visual Arts and Design,=,00:03:27,4.24,43.46%
5,vsco.co,Arts & Entertainment > Visual Arts and Design,=,00:02:09,7.62,28.46%
6,pngtree.com,Arts & Entertainment > Visual Arts and Design,=,00:02:42,3.81,41.66%
7,artstation.com,Arts & Entertainment > Visual Arts and Design,=,00:05:24,8.32,33.79%
8,static1.squarespace.com,Arts & Entertainment > Visual Arts and Design,=,00:01:16,1.71,70.35%
9,kaliham.com,Arts & Entertainment > Visual Arts and Design,=,00:02:51,2.14,30.81%
10,emojicombos.com,Arts & Entertainment > Visual Arts and Design,1,00:02:13,2.14,61.01%
11,3d-galleru.ru,Arts & Entertainment > Visual Arts and Design,1,00:03:13,5.11,36.38%
12,ezgif.com,Arts & Entertainment > Visual Arts and Design,1,00:05:26,5.46,21.98%
13,philo.com,Arts & Entertainment > Visual Arts and Design,4,00:03:15,3.30,44.97%
14,moviesda.page,Arts & Entertainment > Visual Arts and Design,4,00:02:43,2.11,38.8%
15,aryion.com,Arts & Entertainment > Visual Arts and Design,6,00:06:35,29.30,23.12%
16,aydogs.com,Arts & Entertainment > Visual Arts and Design,=,00:06:12,2.00,63.99%
17,novafork.com,Arts & Entertainment > Visual Arts and Design,3,00:02:34,2.38,56.89%
18,fineartamerica.com,Arts & Entertainment > Visual Arts and Design,2,00:03:18,4.30,52.13%
19,newtoki.biz,Arts & Entertainment > Visual Arts and Design,1,00:12:19,6.85,37.04%
20,vectorstock.com,Arts & Entertainment > Visual Arts and Design,4,00:02:12,2.88,55.38%
21,creativemarket.com,Arts & Entertainment > Visual Arts and Design,4,00:03:06,4.47,49.19%
22,imgix.net,Arts & Entertainment > Visual Arts and Design,7,00:01:21,2.55,66.25%
23,pximg.net,Arts & Entertainment > Visual Arts and Design,5,00:05:00,7.84,47.33%
24,dickblick.com,Arts & Entertainment > Visual Arts and Design,6,00:04:18,6.02,42.33%
25,artsy.net,Arts & Entertainment > Visual Arts and Design,6,00:03:05,4.11,50.59%
26,wallhaven.cc,Arts & Entertainment > Visual Arts and Design,6,00:04:31,18.71,27.45%
27,repelisplus.lat,Arts & Entertainment > Visual Arts and Design,8,00:03:59,8.39,26.99%
28,are.na,Arts & Entertainment > Visual Arts and Design,5,00:05:07,8.04,40.91%
29,characterhub.com,Arts & Entertainment > Visual Arts and Design,16,00:12:30,4.94,39.09%
30,heightcomparison.com,Arts & Entertainment > Visual Arts and Design,5,00:01:45,1.93,64.22%
31,savetwitter.net,Arts & Entertainment > Visual Arts and Design,3,00:02:58,2.97,55.36%
32,news.artnet.com,Arts & Entertainment > Visual Arts and Design,4,00:01:03,1.66,62.29%
33,artribune.com,Arts & Entertainment > Visual Arts and Design,4,00:01:05,1.60,69.1%
34,saatchiart.com,Arts & Entertainment > Visual Arts and Design,4,00:02:39,4.33,48.2%
35,line-of-action.com,Arts & Entertainment > Visual Arts and Design,4,00:02:44,3.75,37.22%
36,society6.com,Arts & Entertainment > Visual Arts and Design,4,00:02:07,5.51,42.61%
37,airbrush.com,Arts & Entertainment > Visual Arts and Design,14,00:01:45,2.46,37.75%
38,knatchcoxier.com,Arts & Entertainment > Visual Arts and Design,5,00:01:58,2.41,54.66%
39,spinspin.net,Arts & Entertainment > Visual Arts and Design,3,00:04:07,3.02,57.74%
40,iduba.com,Arts & Entertainment > Visual Arts and Design,1,00:07:01,1.87,59.87%
41,artmajeur.com,Arts & Entertainment > Visual Arts and Design,3,00:02:26,3.74,45.15%
42,ibispaint.com,Arts & Entertainment > Visual Arts and Design,5,00:01:37,2.43,57.21%
43,inprnt.com,Arts & Entertainment > Visual Arts and Design,12,00:01:44,4.49,41.92%
44,artnews.com,Arts & Entertainment > Visual Arts and Design,8,00:00:54,2.16,58.03%
45,moviesda.dad,Arts & Entertainment > Visual Arts and Design,30,00:00:50,1.74,55.42%
46,shotdeck.com,Arts & Entertainment > Visual Arts and Design,14,00:07:23,9.42,31.22%
47,fontsinuse.com,Arts & Entertainment > Visual Arts and Design,11,00:02:48,3.61,49.41%
48,fakeyou.com,Arts & Entertainment > Visual Arts and Design,2,00:04:45,6.59,38.88%
49,manhwax.org,Arts & Entertainment > Visual Arts and Design,1,00:10:02,11.31,27.6%
50,thisiscolossal.com,Arts & Entertainment > Visual Arts and Design,9,00:01:07,2.15,54.14%
