Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,shopify.com,Business and Consumer Services > Business Services,=,00:14:10,13.11,32.39%
2,cybozu.com,Business and Consumer Services > Business Services,=,00:23:58,20.03,12.4%
3,shop.app,Business and Consumer Services > Business Services,=,00:02:09,2.44,49.95%
4,qualtrics.com,Business and Consumer Services > Business Services,2,00:02:02,2.05,66.14%
5,narvar.com,Business and Consumer Services > Business Services,1,00:01:12,1.94,67.67%
6,mynavi.jp,Business and Consumer Services > Business Services,1,00:03:06,3.51,62.2%
7,search.app,Business and Consumer Services > Business Services,=,00:01:10,1.43,76.06%
8,service-now.com,Business and Consumer Services > Business Services,=,00:13:02,10.57,15.88%
9,chatwork.com,Business and Consumer Services > Business Services,=,00:25:32,17.70,23.82%
10,docusign.net,Business and Consumer Services > Business Services,=,00:03:54,3.47,23.41%
11,squareup.com,Business and Consumer Services > Business Services,2,00:04:35,5.19,41.24%
12,klclick.com,Business and Consumer Services > Business Services,1,00:00:28,1.36,72.52%
13,myshopify.com,Business and Consumer Services > Business Services,1,00:03:36,3.87,55.05%
14,reclameaqui.com.br,Business and Consumer Services > Business Services,2,00:02:15,2.60,51.86%
15,medallia.com,Business and Consumer Services > Business Services,1,00:02:02,3.12,40.08%
16,hubspotlinks.com,Business and Consumer Services > Business Services,1,00:01:03,1.61,65.84%
17,sbis.ru,Business and Consumer Services > Business Services,1,00:09:16,6.52,36.49%
18,statista.com,Business and Consumer Services > Business Services,1,00:01:43,2.46,67.19%
19,canadapost-postescanada.ca,Business and Consumer Services > Business Services,2,00:02:19,3.09,52.65%
20,canva.site,Business and Consumer Services > Business Services,1,00:02:10,1.87,66.06%
21,ycombinator.com,Business and Consumer Services > Business Services,1,00:03:01,3.56,43.77%
22,wp.com,Business and Consumer Services > Business Services,2,00:01:30,1.80,74.54%
23,rusprofile.ru,Business and Consumer Services > Business Services,1,00:02:47,2.57,57.53%
24,decipherinc.com,Business and Consumer Services > Business Services,3,00:05:20,16.12,21.73%
25,niconsul.com,Business and Consumer Services > Business Services,=,00:21:37,14.59,15.41%
26,sapsf.com,Business and Consumer Services > Business Services,3,00:06:14,5.93,23.97%
27,ahrefs.com,Business and Consumer Services > Business Services,1,00:06:31,6.11,33.99%
28,kingoftime.jp,Business and Consumer Services > Business Services,2,00:05:43,5.35,27.63%
29,spokeo.com,Business and Consumer Services > Business Services,3,00:02:48,3.84,46.67%
30,accenture.com,Business and Consumer Services > Business Services,1,00:08:46,7.79,29%
31,tremendous.com,Business and Consumer Services > Business Services,=,00:01:10,2.26,29.62%
32,saby.ru,Business and Consumer Services > Business Services,10,00:06:18,4.10,38.6%
33,basecamp.com,Business and Consumer Services > Business Services,1,00:14:13,9.00,25.82%
34,booksy.com,Business and Consumer Services > Business Services,1,00:04:03,3.60,43.62%
35,obc.jp,Business and Consumer Services > Business Services,1,00:04:46,5.24,11.76%
36,dataannotation.tech,Business and Consumer Services > Business Services,2,00:07:22,5.33,35.45%
37,checko.ru,Business and Consumer Services > Business Services,6,00:02:36,2.45,54.77%
38,pm.by,Business and Consumer Services > Business Services,1,00:10:02,6.33,54.37%
39,ariba.com,Business and Consumer Services > Business Services,1,00:09:25,21.61,18%
40,rocketreach.co,Business and Consumer Services > Business Services,2,00:02:29,3.57,52.69%
41,pappers.fr,Business and Consumer Services > Business Services,=,00:03:22,3.37,54.66%
42,tableau.com,Business and Consumer Services > Business Services,2,00:06:35,7.82,30.24%
43,pm-srv.co,Business and Consumer Services > Business Services,8,00:00:26,1.19,82.52%
44,newsmemory.com,Business and Consumer Services > Business Services,5,00:01:35,1.56,66.6%
45,rs6.net,Business and Consumer Services > Business Services,1,00:01:00,1.48,70.69%
46,inc.com,Business and Consumer Services > Business Services,4,00:00:48,1.52,54.74%
47,navitime.biz,Business and Consumer Services > Business Services,2,00:04:50,3.65,44.01%
48,chouseisan.com,Business and Consumer Services > Business Services,=,00:02:59,2.27,63.46%
49,spectrumsurveys.com,Business and Consumer Services > Business Services,2,00:03:42,3.97,24.27%
50,acuityscheduling.com,Business and Consumer Services > Business Services,3,00:05:10,3.85,42.95%
