Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,springer.com,Business and Consumer Services > Printing & Self Publishing,=,00:03:13,2.32,59.74%
2,editorialmanager.com,Business and Consumer Services > Printing & Self Publishing,=,00:04:38,4.31,34.59%
3,calameo.com,Business and Consumer Services > Printing & Self Publishing,=,00:01:57,2.12,55.51%
4,frns.in,Business and Consumer Services > Printing & Self Publishing,=,00:01:27,2.44,35.39%
5,ebsco.com,Business and Consumer Services > Printing & Self Publishing,1,00:05:07,6.27,28.56%
6,shueisha.online,Business and Consumer Services > Printing & Self Publishing,1,00:02:28,3.69,43.55%
7,povo.jp,Business and Consumer Services > Printing & Self Publishing,1,00:03:17,2.07,62.19%
8,vistaprint.com,Business and Consumer Services > Printing & Self Publishing,1,00:06:36,9.22,39.13%
9,kadokawa.co.jp,Business and Consumer Services > Printing & Self Publishing,=,00:01:32,2.43,59.2%
10,unobravo.com,Business and Consumer Services > Printing & Self Publishing,3,00:03:08,2.92,56.32%
11,emerald.com,Business and Consumer Services > Printing & Self Publishing,1,00:02:45,2.31,55.17%
12,hubscuola.it,Business and Consumer Services > Printing & Self Publishing,2,00:10:47,14.57,22.75%
13,lerobert.com,Business and Consumer Services > Printing & Self Publishing,2,00:02:02,2.22,47.44%
14,condenast.com,Business and Consumer Services > Printing & Self Publishing,2,00:00:44,2.01,53.87%
15,tospo-keiba.jp,Business and Consumer Services > Printing & Self Publishing,=,00:03:05,2.76,61.91%
16,printfriendly.com,Business and Consumer Services > Printing & Self Publishing,1,00:01:38,2.87,43.12%
17,kosho.or.jp,Business and Consumer Services > Printing & Self Publishing,1,00:04:20,4.62,47.35%
18,smart-theater.com,Business and Consumer Services > Printing & Self Publishing,4,00:04:00,2.64,50.07%
19,nowaera.pl,Business and Consumer Services > Printing & Self Publishing,1,00:04:18,6.72,27.58%
20,sanoma.fi,Business and Consumer Services > Printing & Self Publishing,3,00:01:23,2.57,56.23%
21,printpac.co.jp,Business and Consumer Services > Printing & Self Publishing,3,00:09:07,9.50,22.76%
22,querie.me,Business and Consumer Services > Printing & Self Publishing,3,00:02:00,1.61,66.98%
23,stickermule.com,Business and Consumer Services > Printing & Self Publishing,2,00:02:15,4.18,41.67%
24,agniban.com,Business and Consumer Services > Printing & Self Publishing,2,00:01:48,4.70,55.05%
25,abeka.com,Business and Consumer Services > Printing & Self Publishing,1,00:06:07,5.30,25.64%
26,wolterskluwer.pl,Business and Consumer Services > Printing & Self Publishing,1,00:02:14,2.72,43.55%
27,maruzenjunkudo.co.jp,Business and Consumer Services > Printing & Self Publishing,2,00:02:07,2.91,55.35%
28,devoto-oli-junior.it,Business and Consumer Services > Printing & Self Publishing,6,00:00:30,1.10,93.33%
29,lulu.com,Business and Consumer Services > Printing & Self Publishing,=,00:04:05,5.47,40.89%
30,vistaprint.com.au,Business and Consumer Services > Printing & Self Publishing,10,00:04:26,5.41,44.12%
31,deluxe.com,Business and Consumer Services > Printing & Self Publishing,=,00:04:42,6.31,25.94%
32,acx.com,Business and Consumer Services > Printing & Self Publishing,2,00:03:26,4.80,40.78%
33,tkj.jp,Business and Consumer Services > Printing & Self Publishing,5,00:02:14,3.14,58.06%
34,printing.ne.jp,Business and Consumer Services > Printing & Self Publishing,1,00:03:19,3.65,41.89%
35,gelato.com,Business and Consumer Services > Printing & Self Publishing,3,00:05:33,9.81,39.63%
36,ehonnavi.net,Business and Consumer Services > Printing & Self Publishing,1,00:02:51,2.68,60.74%
37,liebertpub.com,Business and Consumer Services > Printing & Self Publishing,5,00:01:25,1.88,57.18%
38,flyeralarm.com,Business and Consumer Services > Printing & Self Publishing,5,00:05:25,11.52,27.75%
39,otava.fi,Business and Consumer Services > Printing & Self Publishing,1,00:14:20,13.77,17.43%
40,vistaprint.co.uk,Business and Consumer Services > Printing & Self Publishing,3,00:06:47,8.49,38.58%
41,php.co.jp,Business and Consumer Services > Printing & Self Publishing,=,00:02:12,2.00,68.72%
42,edelweiss.plus,Business and Consumer Services > Printing & Self Publishing,10,00:11:56,5.36,34.56%
43,mediasphera.ru,Business and Consumer Services > Printing & Self Publishing,7,00:00:41,1.36,54.38%
44,printavo.com,Business and Consumer Services > Printing & Self Publishing,1,00:16:29,13.50,29.51%
45,moo.com,Business and Consumer Services > Printing & Self Publishing,3,00:04:35,7.60,39.97%
46,portalebambini.it,Business and Consumer Services > Printing & Self Publishing,7,00:01:49,2.79,63.52%
47,igi-global.com,Business and Consumer Services > Printing & Self Publishing,1,00:01:30,2.12,59.58%
48,secutix.com,Business and Consumer Services > Printing & Self Publishing,1,00:04:46,3.00,53.68%
49,pianetabambini.it,Business and Consumer Services > Printing & Self Publishing,14,00:03:37,4.38,41.67%
50,hachettebookgroup.com,Business and Consumer Services > Printing & Self Publishing,3,00:00:43,1.75,62.49%
