Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,zillow.com,Business and Consumer Services > Real Estate,=,00:05:58,15.32,42.44%
2,realtor.com,Business and Consumer Services > Real Estate,=,00:05:16,5.41,48.52%
3,redfin.com,Business and Consumer Services > Real Estate,=,00:04:21,5.30,49.81%
4,rightmove.co.uk,Business and Consumer Services > Real Estate,=,00:08:18,17.00,28.08%
5,suumo.jp,Business and Consumer Services > Real Estate,=,00:07:09,7.25,42.05%
6,idealista.com,Business and Consumer Services > Real Estate,=,00:07:22,15.00,33%
7,homes.com,Business and Consumer Services > Real Estate,1,00:04:12,8.00,52.03%
8,realestate.com.au,Business and Consumer Services > Real Estate,1,00:06:16,7.04,36.98%
9,apartments.com,Business and Consumer Services > Real Estate,=,00:05:13,8.35,42.75%
10,immobilienscout24.de,Business and Consumer Services > Real Estate,=,00:06:30,8.44,28.66%
11,homes.co.jp,Business and Consumer Services > Real Estate,1,00:05:18,4.52,50.08%
12,immobiliare.it,Business and Consumer Services > Real Estate,1,00:06:29,17.11,33.41%
13,idealista.it,Business and Consumer Services > Real Estate,=,00:06:10,11.20,39.09%
14,cian.ru,Business and Consumer Services > Real Estate,2,00:06:37,10.80,34.46%
15,realtor.ca,Business and Consumer Services > Real Estate,1,00:06:23,20.49,32.53%
16,trulia.com,Business and Consumer Services > Real Estate,1,00:04:58,10.73,45.07%
17,funda.nl,Business and Consumer Services > Real Estate,1,00:05:41,37.43,30.32%
18,zoopla.co.uk,Business and Consumer Services > Real Estate,1,00:06:31,6.17,35.58%
19,domclick.ru,Business and Consumer Services > Real Estate,=,00:03:40,7.78,27.93%
20,athome.co.jp,Business and Consumer Services > Real Estate,=,00:08:14,7.98,37.11%
21,seloger.com,Business and Consumer Services > Real Estate,1,00:05:07,4.84,34.27%
22,otodom.pl,Business and Consumer Services > Real Estate,3,00:05:16,6.51,26.54%
23,zapimoveis.com.br,Business and Consumer Services > Real Estate,2,00:05:42,3.98,39.33%
24,appfolio.com,Business and Consumer Services > Real Estate,1,00:07:56,8.07,27.55%
25,99acres.com,Business and Consumer Services > Real Estate,1,00:03:43,4.12,34.58%
26,domain.com.au,Business and Consumer Services > Real Estate,2,00:05:04,5.46,47.21%
27,quintoandar.com.br,Business and Consumer Services > Real Estate,=,00:04:10,3.78,36.46%
28,onthemarket.com,Business and Consumer Services > Real Estate,1,00:05:01,10.69,42.88%
29,vivareal.com.br,Business and Consumer Services > Real Estate,5,00:05:32,5.34,36.27%
30,onehome.com,Business and Consumer Services > Real Estate,3,00:04:44,4.73,35.87%
31,property24.com,Business and Consumer Services > Real Estate,1,00:05:43,11.36,25.55%
32,housing.com,Business and Consumer Services > Real Estate,1,00:03:19,3.06,49.94%
33,immowelt.de,Business and Consumer Services > Real Estate,3,00:05:06,5.29,39.43%
34,hemnet.se,Business and Consumer Services > Real Estate,=,00:05:18,6.26,26.59%
35,matterport.com,Business and Consumer Services > Real Estate,5,00:02:15,2.21,64.53%
36,chavesnamao.com.br,Business and Consumer Services > Real Estate,1,00:10:00,23.08,23.86%
37,realestate.yahoo.co.jp,Business and Consumer Services > Real Estate,5,00:01:35,2.55,65.42%
38,fotocasa.es,Business and Consumer Services > Real Estate,3,00:04:28,4.65,32.36%
39,centris.ca,Business and Consumer Services > Real Estate,2,00:07:35,9.10,28.71%
40,nobroker.in,Business and Consumer Services > Real Estate,3,00:03:49,3.95,45.85%
41,loopnet.com,Business and Consumer Services > Real Estate,2,00:04:41,6.10,48.45%
42,magicbricks.com,Business and Consumer Services > Real Estate,4,00:03:22,3.24,47.73%
43,hepsiemlak.com,Business and Consumer Services > Real Estate,5,00:05:21,4.47,50.19%
44,zonaprop.com.ar,Business and Consumer Services > Real Estate,2,00:05:49,6.39,39.6%
45,casa.it,Business and Consumer Services > Real Estate,1,00:04:24,8.19,38.39%
46,idealista.pt,Business and Consumer Services > Real Estate,1,00:07:52,21.81,31.35%
47,bienici.com,Business and Consumer Services > Real Estate,1,00:04:12,6.54,28.48%
48,emlakjet.com,Business and Consumer Services > Real Estate,4,00:04:19,5.67,28.33%
49,clareityiam.net,Business and Consumer Services > Real Estate,=,00:02:54,2.51,31.54%
50,batdongsan.com.vn,Business and Consumer Services > Real Estate,15,00:06:24,8.22,35.41%
