Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,usps.com,Business and Consumer Services > Shipping and Logistics,=,00:02:44,2.76,49.79%
2,ups.com,Business and Consumer Services > Shipping and Logistics,=,00:03:06,3.38,30.9%
3,fedex.com,Business and Consumer Services > Shipping and Logistics,=,00:03:17,4.30,30.14%
4,kuronekoyamato.co.jp,Business and Consumer Services > Shipping and Logistics,=,00:03:29,4.47,42.8%
5,dhl.de,Business and Consumer Services > Shipping and Logistics,=,00:02:39,2.59,48.01%
6,dhl.com,Business and Consumer Services > Shipping and Logistics,=,00:04:45,4.09,37.79%
7,evri.com,Business and Consumer Services > Shipping and Logistics,=,00:03:28,3.10,36.44%
8,jorudan.co.jp,Business and Consumer Services > Shipping and Logistics,2,00:04:08,3.97,41.63%
9,sagawa-exp.co.jp,Business and Consumer Services > Shipping and Logistics,2,00:03:48,4.51,37.71%
10,myhermes.de,Business and Consumer Services > Shipping and Logistics,1,00:01:49,2.03,47.62%
11,17track.net,Business and Consumer Services > Shipping and Logistics,3,00:02:06,3.13,32.63%
12,pochta.ru,Business and Consumer Services > Shipping and Logistics,2,00:03:32,4.24,35.51%
13,jreast.co.jp,Business and Consumer Services > Shipping and Logistics,3,00:02:53,2.51,49.96%
14,auspost.com.au,Business and Consumer Services > Shipping and Logistics,2,00:03:01,3.74,37.52%
15,cdek.ru,Business and Consumer Services > Shipping and Logistics,=,00:10:17,12.77,32.29%
16,parcelsapp.com,Business and Consumer Services > Shipping and Logistics,3,00:01:55,2.14,42.14%
17,dpd.de,Business and Consumer Services > Shipping and Logistics,=,00:02:53,3.12,33.09%
18,dpdgroup.com,Business and Consumer Services > Shipping and Logistics,=,00:02:28,3.31,38.13%
19,bluedart.com,Business and Consumer Services > Shipping and Logistics,2,00:02:21,3.03,30.12%
20,correoargentino.com.ar,Business and Consumer Services > Shipping and Logistics,4,00:03:35,3.73,47.11%
21,dhlglobalmail.com,Business and Consumer Services > Shipping and Logistics,2,00:00:54,2.38,45.96%
22,mondialrelay.fr,Business and Consumer Services > Shipping and Logistics,2,00:01:50,1.89,52.92%
23,chronopost.fr,Business and Consumer Services > Shipping and Logistics,1,00:02:11,2.40,39.92%
24,ptt.gov.tr,Business and Consumer Services > Shipping and Logistics,1,00:02:07,3.12,47.26%
25,inpost.pl,Business and Consumer Services > Shipping and Logistics,2,00:02:15,2.18,52.72%
26,aftership.com,Business and Consumer Services > Shipping and Logistics,1,00:01:35,2.01,53.6%
27,dpd.co.uk,Business and Consumer Services > Shipping and Logistics,1,00:03:57,3.44,40.43%
28,aramex.com,Business and Consumer Services > Shipping and Logistics,10,00:02:01,3.53,30.03%
29,shipstation.com,Business and Consumer Services > Shipping and Logistics,1,00:08:17,7.62,38.35%
30,ati.su,Business and Consumer Services > Shipping and Logistics,11,00:15:39,9.92,29.63%
31,express.dhl,Business and Consumer Services > Shipping and Logistics,2,00:07:40,7.22,29.42%
32,correos.es,Business and Consumer Services > Shipping and Logistics,1,00:02:58,3.27,45.73%
33,dpd.com.pl,Business and Consumer Services > Shipping and Logistics,=,00:03:06,4.05,41.35%
34,track24.ru,Business and Consumer Services > Shipping and Logistics,12,00:01:06,1.98,47.34%
35,ontrac.com,Business and Consumer Services > Shipping and Logistics,1,00:02:05,2.00,61.58%
36,vesselfinder.com,Business and Consumer Services > Shipping and Logistics,9,00:03:10,2.81,50.64%
37,dpd.com,Business and Consumer Services > Shipping and Logistics,2,00:01:27,2.23,48.48%
38,novaposhta.ua,Business and Consumer Services > Shipping and Logistics,4,00:06:22,4.33,32.45%
39,mngkargo.com.tr,Business and Consumer Services > Shipping and Logistics,13,00:01:43,2.08,35.05%
40,purolator.com,Business and Consumer Services > Shipping and Logistics,8,00:04:01,3.02,39.7%
41,gls-group.eu,Business and Consumer Services > Shipping and Logistics,7,00:01:49,2.31,53.98%
42,gls-pakete.de,Business and Consumer Services > Shipping and Logistics,12,00:01:48,2.28,54.14%
43,mybrt.it,Business and Consumer Services > Shipping and Logistics,6,00:03:21,3.22,48.49%
44,post.ch,Business and Consumer Services > Shipping and Logistics,1,00:03:18,5.40,30.64%
45,gls-italy.com,Business and Consumer Services > Shipping and Logistics,6,00:03:00,2.71,52.18%
46,mondialrelay.com,Business and Consumer Services > Shipping and Logistics,12,00:01:11,1.47,73.09%
47,samsara.com,Business and Consumer Services > Shipping and Logistics,7,00:16:22,20.14,24.81%
48,yurticikargo.com,Business and Consumer Services > Shipping and Logistics,9,00:04:07,2.77,46.09%
49,sf-express.com,Business and Consumer Services > Shipping and Logistics,1,00:04:01,6.58,39.28%
50,dtdc.in,Business and Consumer Services > Shipping and Logistics,6,00:04:12,3.25,42.72%
