Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,dzen.ru,Community and Society > Community and Society - Other,=,00:08:30,4.49,36.49%
2,lindaikejisblog.com,Community and Society > Community and Society - Other,=,00:04:56,3.39,50.42%
3,pollking.com,Community and Society > Community and Society - Other,=,00:00:50,4.72,13.61%
4,sescrio.org.br,Community and Society > Community and Society - Other,=,00:02:36,6.81,51.28%
5,voltix.ai,Community and Society > Community and Society - Other,=,00:03:29,4.06,36.76%
6,proteste.org.br,Community and Society > Community and Society - Other,1,00:00:43,1.66,48.88%
7,republicanpress.org,Community and Society > Community and Society - Other,2,00:01:18,2.06,46.71%
8,tochato.com,Community and Society > Community and Society - Other,2,00:05:52,7.28,33.86%
9,theoceancleanup.com,Community and Society > Community and Society - Other,2,00:02:05,2.95,43.44%
10,keyguard-websecure.com,Community and Society > Community and Society - Other,=,00:00:39,1.61,65.43%
11,4ocean.com,Community and Society > Community and Society - Other,3,00:00:45,3.03,41.87%
12,coolnessofhindblog.wordpress.com,Community and Society > Community and Society - Other,=,00:13:25,3.38,50.89%
13,huellas.social,Community and Society > Community and Society - Other,15,00:00:35,1.40,65.94%
14,fitflores.com,Community and Society > Community and Society - Other,=,00:01:38,1.22,79.51%
15,facemaskheavenonline.myshopify.com,Community and Society > Community and Society - Other,=,00:12:15,5.52,18.5%
16,gamestoye.com,Community and Society > Community and Society - Other,=,00:02:05,1.38,68.57%
17,raisingsuperstars.com,Community and Society > Community and Society - Other,2,00:01:11,1.28,66.86%
18,personalityforest.com,Community and Society > Community and Society - Other,2,00:00:44,1.68,67.25%
19,jj-ev.de,Community and Society > Community and Society - Other,6,00:02:13,3.53,55.26%
20,8-codes.com,Community and Society > Community and Society - Other,10,00:01:28,1.72,63.92%
21,superricascol-my.sharepoint.com,Community and Society > Community and Society - Other,=,--,4.79,28.66%
22,bigbrothernaija.net,Community and Society > Community and Society - Other,26,00:04:54,1.75,63.9%
23,okwuid.com,Community and Society > Community and Society - Other,6,00:00:28,1.42,62.61%
24,ruachtova.org.il,Community and Society > Community and Society - Other,12,00:01:16,3.35,32.43%
25,projectormovement.com,Community and Society > Community and Society - Other,11,00:02:52,4.00,47.79%
26,mstate.sharepoint.com,Community and Society > Community and Society - Other,6,00:05:37,3.95,15.13%
27,babymigo.com,Community and Society > Community and Society - Other,16,00:00:30,1.67,49.39%
28,spaceprincekai.tumblr.com,Community and Society > Community and Society - Other,=,00:09:26,3.59,--
29,coderaysitpvtltd-my.sharepoint.com,Community and Society > Community and Society - Other,=,00:11:44,6.17,39.64%
30,ridzerdvandijk.wordpress.com,Community and Society > Community and Society - Other,11,00:00:57,1.52,72.65%
31,spadbarnsfonden.se,Community and Society > Community and Society - Other,10,00:00:13,1.22,87.4%
32,top10sonly.com,Community and Society > Community and Society - Other,=,00:00:04,1.07,93.15%
33,canisima.tripod.com,Community and Society > Community and Society - Other,11,00:00:02,1.05,88.76%
34,filmoneng-my.sharepoint.com,Community and Society > Community and Society - Other,1,00:00:01,1.32,69.13%
35,are-you-wet-blog.tumblr.com,Community and Society > Community and Society - Other,11,--,1.97,65.21%
36,seminoletribune.org,Community and Society > Community and Society - Other,10,00:00:10,1.18,84.54%
37,artscroll.wordpress.com,Community and Society > Community and Society - Other,=,00:00:06,1.08,92.53%
38,thesimbaden.com,Community and Society > Community and Society - Other,15,00:00:17,1.52,59.95%
39,christianstronghold1-my.sharepoint.com,Community and Society > Community and Society - Other,=,00:10:41,10.36,3.94%
40,betweendaylightanddarkness.wordpress.com,Community and Society > Community and Society - Other,=,--,1.00,98.93%
41,ebdslide.com.br,Community and Society > Community and Society - Other,=,00:02:57,2.06,48.6%
42,krigercro.wordpress.com,Community and Society > Community and Society - Other,=,--,1.08,96.97%
43,thesecrazytimesblog.wordpress.com,Community and Society > Community and Society - Other,16,--,1.00,92.63%
44,justiceandwriteousness.wordpress.com,Community and Society > Community and Society - Other,3,00:00:06,1.82,41.86%
45,kabaman.weebly.com,Community and Society > Community and Society - Other,=,00:15:57,1.98,5.96%
46,basicapparel2022.myshopify.com,Community and Society > Community and Society - Other,=,--,1.00,98.2%
47,metrohealthhmo.com,Community and Society > Community and Society - Other,29,00:02:42,2.16,45.09%
48,handlezen.wordpress.com,Community and Society > Community and Society - Other,19,--,1.00,99.1%
49,femh365.sharepoint.com,Community and Society > Community and Society - Other,=,00:01:05,3.58,9.58%
50,lightofangels.weebly.com,Community and Society > Community and Society - Other,19,--,1.02,94.97%
