Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,tinder.com,Community and Society > Dating and Relationships,=,00:08:25,8.17,21.51%
2,badoo.com,Community and Society > Dating and Relationships,=,00:09:29,10.21,24.85%
3,550909.com,Community and Society > Dating and Relationships,=,00:11:47,12.70,14.96%
4,boomplay.com,Community and Society > Dating and Relationships,2,00:02:02,2.18,61.51%
5,pcmax.jp,Community and Society > Dating and Relationships,1,00:08:20,12.42,16.78%
6,joyclub.de,Community and Society > Dating and Relationships,1,00:13:05,19.34,19.06%
7,happymail.co.jp,Community and Society > Dating and Relationships,2,00:09:57,11.99,23.63%
8,fotostrana.ru,Community and Society > Dating and Relationships,1,00:11:44,22.03,22.3%
9,yourtango.com,Community and Society > Dating and Relationships,1,00:01:22,1.67,69.31%
10,bumble.com,Community and Society > Dating and Relationships,1,00:05:12,3.19,29.12%
11,match.com,Community and Society > Dating and Relationships,3,00:06:32,9.56,31.44%
12,pof.com,Community and Society > Dating and Relationships,=,00:07:39,10.12,28.03%
13,love.mail.ru,Community and Society > Dating and Relationships,=,00:11:24,14.90,16.14%
14,shaadi.com,Community and Society > Dating and Relationships,1,00:05:03,9.11,39.23%
15,secretbenefits.com,Community and Society > Dating and Relationships,1,00:05:12,6.53,56.34%
16,beboo.ru,Community and Society > Dating and Relationships,7,00:08:17,15.24,19.76%
17,tvrepublika.pl,Community and Society > Dating and Relationships,=,00:03:41,2.51,43.54%
18,kizlarsoruyor.com,Community and Society > Dating and Relationships,3,00:03:54,6.53,52.78%
19,mintj.com,Community and Society > Dating and Relationships,3,00:13:57,16.64,28.56%
20,tabor.ru,Community and Society > Dating and Relationships,=,00:13:16,22.72,18.36%
21,seeking.com,Community and Society > Dating and Relationships,1,00:08:44,13.22,26.41%
22,okcupid.com,Community and Society > Dating and Relationships,3,00:06:35,7.82,17.29%
23,mamba.ru,Community and Society > Dating and Relationships,5,00:07:22,9.52,26.13%
24,livehdcams.com,Community and Society > Dating and Relationships,=,00:07:07,8.65,38.03%
25,astromeridian.ru,Community and Society > Dating and Relationships,=,00:01:29,1.89,54.79%
26,fine10.com,Community and Society > Dating and Relationships,11,00:01:04,1.79,68.98%
27,finya.de,Community and Society > Dating and Relationships,=,00:06:59,7.61,22.54%
28,jecontacte.com,Community and Society > Dating and Relationships,2,00:08:24,13.09,20.56%
29,meetic.fr,Community and Society > Dating and Relationships,1,00:07:13,10.82,28.19%
30,imvu.com,Community and Society > Dating and Relationships,4,00:11:02,12.58,27.85%
31,love.ru,Community and Society > Dating and Relationships,1,00:09:47,13.07,27.43%
32,yabancidizi.io,Community and Society > Dating and Relationships,8,00:04:02,2.64,56.75%
33,ourtime.com,Community and Society > Dating and Relationships,2,00:04:36,6.88,37.28%
34,zoosk.com,Community and Society > Dating and Relationships,1,00:04:59,14.92,32.98%
35,fotka.com,Community and Society > Dating and Relationships,4,00:10:45,18.12,18.28%
36,securepaymentgateway.ru,Community and Society > Dating and Relationships,8,00:01:22,2.34,53.31%
37,loveplanet.ru,Community and Society > Dating and Relationships,9,00:07:02,10.22,30.13%
38,datemyage.com,Community and Society > Dating and Relationships,=,00:03:37,8.42,35.73%
39,ashleymadison.com,Community and Society > Dating and Relationships,13,00:06:55,9.50,35.42%
40,collective.world,Community and Society > Dating and Relationships,10,00:01:28,1.54,64.12%
41,yummyanime.tv,Community and Society > Dating and Relationships,5,00:03:29,2.39,51.3%
42,blossomup.co,Community and Society > Dating and Relationships,13,00:04:04,3.09,46.3%
43,dating.com,Community and Society > Dating and Relationships,2,00:04:17,5.72,46.01%
44,eharmony.com,Community and Society > Dating and Relationships,2,00:04:30,7.72,36.74%
45,bez-kompleksov.com,Community and Society > Dating and Relationships,2,00:02:14,4.30,44.33%
46,fdating.com,Community and Society > Dating and Relationships,2,00:07:28,17.05,23.91%
47,eskimi.com,Community and Society > Dating and Relationships,4,00:08:27,5.59,27.09%
48,lablue.de,Community and Society > Dating and Relationships,1,00:12:18,11.16,17.26%
49,elmaz.com,Community and Society > Dating and Relationships,5,00:11:47,18.20,18.79%
50,localflirt.com,Community and Society > Dating and Relationships,22,00:05:47,6.78,44%
