Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,legacy.com,Community and Society > Decease,=,00:01:56,2.35,53.23%
2,findagrave.com,Community and Society > Decease,=,00:07:45,15.38,38.15%
3,dignitymemorial.com,Community and Society > Decease,=,00:01:57,2.21,63.03%
4,libramemoria.com,Community and Society > Decease,=,00:01:44,3.21,32.48%
5,rip.ie,Community and Society > Decease,=,00:03:01,4.83,34.56%
6,newhavenfuneralcentre.com,Community and Society > Decease,11,00:01:42,1.82,50.03%
7,dansnoscoeurs.fr,Community and Society > Decease,=,00:01:23,2.13,48.75%
8,1hd.to,Community and Society > Decease,2,00:05:53,3.75,44.36%
9,remembering.ca,Community and Society > Decease,=,00:02:20,3.27,44.04%
10,osohshiki.jp,Community and Society > Decease,2,00:01:38,1.61,74.09%
11,funeraltimes.com,Community and Society > Decease,1,00:02:44,3.57,32.89%
12,echovita.com,Community and Society > Decease,1,00:01:12,1.93,64.68%
13,tributearchive.com,Community and Society > Decease,1,00:01:36,1.69,65.36%
14,lenecrologue.com,Community and Society > Decease,1,00:02:25,4.13,43.33%
15,topicanswers.com,Community and Society > Decease,=,00:00:57,1.41,76.03%
16,dailynewsplanet.com,Community and Society > Decease,=,00:02:11,1.89,57.83%
17,storyworth.com,Community and Society > Decease,3,00:08:48,6.05,36.3%
18,trymiamimd.com,Community and Society > Decease,5,00:01:33,1.58,72.82%
19,simplifia.fr,Community and Society > Decease,1,00:01:17,1.97,61.59%
20,westshorehomebaths.com,Community and Society > Decease,1,00:01:25,1.25,84.84%
21,arbormemorial.ca,Community and Society > Decease,1,00:01:45,2.46,52.68%
22,thomasfamilyfuneralhome.com,Community and Society > Decease,2,00:00:16,2.42,42.79%
23,everloved.com,Community and Society > Decease,2,00:01:23,2.26,57.19%
24,neptunesociety.com,Community and Society > Decease,8,00:01:05,1.70,58.16%
25,trauer-anzeigen.de,Community and Society > Decease,3,00:03:27,5.86,48.3%
26,muchloved.com,Community and Society > Decease,4,00:04:04,5.18,38.09%
27,hasegawa.jp,Community and Society > Decease,2,00:01:10,1.95,51.56%
28,tributebook.com,Community and Society > Decease,2,00:00:54,1.65,68.3%
29,aspetos.com,Community and Society > Decease,13,00:01:43,4.50,45.24%
30,deathpenaltyinfo.org,Community and Society > Decease,13,00:01:25,2.13,52%
31,enaos.be,Community and Society > Decease,10,00:01:56,2.07,51.04%
32,voteref.com,Community and Society > Decease,12,00:11:12,5.00,15.77%
33,thompsonlarson.com,Community and Society > Decease,2,00:00:33,2.14,46.61%
34,schoolofwordplay.com,Community and Society > Decease,1,00:01:02,1.92,66.82%
35,waikatotimes.co.nz,Community and Society > Decease,13,00:01:27,1.98,60.92%
36,enaos.net,Community and Society > Decease,5,00:01:29,2.62,46.64%
37,articobits.com,Community and Society > Decease,3,00:01:46,2.13,68.83%
38,avis-de-deces.net,Community and Society > Decease,8,00:04:20,3.03,32.83%
39,fonus.se,Community and Society > Decease,1,00:02:14,3.06,50.89%
40,famille-kazokusou.com,Community and Society > Decease,4,00:00:33,1.31,43.68%
41,november.de,Community and Society > Decease,1,00:02:00,1.73,62.12%
42,koekisha.co.jp,Community and Society > Decease,13,00:02:06,1.66,75.46%
43,e-ohaka.com,Community and Society > Decease,6,00:02:19,2.67,53.92%
44,trauerundgedenken.de,Community and Society > Decease,2,00:02:25,3.75,30.91%
45,trauer.de,Community and Society > Decease,=,00:02:22,4.44,45.26%
46,mycaelis.fr,Community and Society > Decease,23,00:32:42,24.58,9.09%
47,pfg.fr,Community and Society > Decease,7,00:01:32,2.06,64.65%
48,tributestore.com,Community and Society > Decease,1,00:05:53,2.56,55.82%
49,geneastar.org,Community and Society > Decease,1,00:00:49,3.81,55.75%
50,maisonmallet.com,Community and Society > Decease,7,00:00:35,1.62,68.3%
