Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,jw.org,Community and Society > Faith and Beliefs,=,00:07:16,7.39,28.78%
2,biblegateway.com,Community and Society > Faith and Beliefs,=,00:04:24,2.86,53.31%
3,churchofjesuschrist.org,Community and Society > Faith and Beliefs,=,00:04:40,5.11,43.88%
4,bible.com,Community and Society > Faith and Beliefs,=,00:02:12,2.41,58.48%
5,islamweb.net,Community and Society > Faith and Beliefs,=,00:01:12,1.82,34.47%
6,azbyka.ru,Community and Society > Faith and Beliefs,=,00:03:10,3.13,42.29%
7,nu.or.id,Community and Society > Faith and Beliefs,2,00:02:08,2.44,72.81%
8,notthebee.com,Community and Society > Faith and Beliefs,1,00:08:52,3.75,34.83%
9,diyanet.gov.tr,Community and Society > Faith and Beliefs,1,00:01:22,2.18,37.49%
10,binbaz.org.sa,Community and Society > Faith and Beliefs,2,00:00:53,1.51,53.09%
11,quran.com,Community and Society > Faith and Beliefs,=,00:03:00,2.73,50.71%
12,islamqa.info,Community and Society > Faith and Beliefs,2,00:01:24,1.86,56.33%
13,biblehub.com,Community and Society > Faith and Beliefs,=,00:03:46,3.21,52.83%
14,salesforce-sites.com,Community and Society > Faith and Beliefs,1,00:03:18,3.20,51.82%
15,bibliaonline.com.br,Community and Society > Faith and Beliefs,5,00:02:29,2.57,49.4%
16,surahquran.com,Community and Society > Faith and Beliefs,2,00:02:09,2.20,52.36%
17,gotquestions.org,Community and Society > Faith and Beliefs,1,00:01:42,1.86,72.18%
18,bibliaon.com,Community and Society > Faith and Beliefs,1,00:00:53,1.77,64.76%
19,vaticannews.va,Community and Society > Faith and Beliefs,7,00:01:24,1.71,66.51%
20,cancaonova.com,Community and Society > Faith and Beliefs,=,00:02:32,2.04,60.88%
21,drikpanchang.com,Community and Society > Faith and Beliefs,2,00:02:50,2.58,52.98%
22,24smi.press,Community and Society > Faith and Beliefs,2,00:03:04,2.70,32.11%
23,biblestudytools.com,Community and Society > Faith and Beliefs,4,00:02:09,2.17,62.88%
24,churchcenter.com,Community and Society > Faith and Beliefs,2,00:02:38,4.66,35.33%
25,astrosage.com,Community and Society > Faith and Beliefs,2,00:03:40,4.55,37.07%
26,horoscope.com,Community and Society > Faith and Beliefs,1,00:02:41,3.61,38.88%
27,planningcenteronline.com,Community and Society > Faith and Beliefs,1,00:05:59,8.22,23.65%
28,sadhguru.org,Community and Society > Faith and Beliefs,7,00:02:11,3.15,53.88%
29,jwpub.org,Community and Society > Faith and Beliefs,=,00:03:44,5.72,14.91%
30,astro.com,Community and Society > Faith and Beliefs,2,00:06:13,7.84,29.67%
31,astro-seek.com,Community and Society > Faith and Beliefs,=,00:06:07,6.44,34.7%
32,usccb.org,Community and Society > Faith and Beliefs,1,00:02:33,2.56,51.62%
33,portal-islam.id,Community and Society > Faith and Beliefs,4,00:05:11,3.58,27.15%
34,islamicfinder.org,Community and Society > Faith and Beliefs,11,00:01:20,1.55,75.74%
35,myhora.com,Community and Society > Faith and Beliefs,1,00:02:32,2.60,44.27%
36,pravoslavie.ru,Community and Society > Faith and Beliefs,3,00:02:20,3.63,33.92%
37,sfr.gov.ru,Community and Society > Faith and Beliefs,1,00:03:11,3.98,53.06%
38,mawaqit.net,Community and Society > Faith and Beliefs,19,00:02:56,1.56,71.39%
39,chabad.org,Community and Society > Faith and Beliefs,2,00:03:18,3.07,56.74%
40,vatican.va,Community and Society > Faith and Beliefs,7,00:02:41,2.78,57.41%
41,geocult.ru,Community and Society > Faith and Beliefs,1,00:05:46,4.23,36.09%
42,rumaysho.com,Community and Society > Faith and Beliefs,6,00:01:22,1.94,60.47%
43,hsi.id,Community and Society > Faith and Beliefs,9,00:05:17,3.59,37.67%
44,dorar.net,Community and Society > Faith and Beliefs,2,00:01:24,2.25,46.4%
45,ktby.net,Community and Society > Faith and Beliefs,25,00:05:10,3.45,43.67%
46,islamveihsan.com,Community and Society > Faith and Beliefs,7,00:01:20,1.84,44.1%
47,ruwiki.ru,Community and Society > Faith and Beliefs,3,00:03:05,2.71,66.11%
48,hidabroot.org,Community and Society > Faith and Beliefs,4,00:19:18,1.85,42.18%
49,astrology.com,Community and Society > Faith and Beliefs,6,00:03:33,4.56,43.33%
50,first-id.fr,Community and Society > Faith and Beliefs,6,00:00:03,1.05,95.48%
