Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,kaminari.systems,Community and Society > Holidays and Seasonal Events,2,00:01:46,1.52,71.49%
2,famousbirthdays.com,Community and Society > Holidays and Seasonal Events,1,00:01:08,2.74,68.41%
3,bilimclass.kz,Community and Society > Holidays and Seasonal Events,1,00:07:44,7.27,40.26%
4,appcmpn.com,Community and Society > Holidays and Seasonal Events,1,00:02:57,1.92,66.59%
5,kinodraiv.pro,Community and Society > Holidays and Seasonal Events,4,00:04:39,2.13,41.46%
6,okcdn.ru,Community and Society > Holidays and Seasonal Events,=,00:02:58,1.78,68.44%
7,kto-zvonili.com,Community and Society > Holidays and Seasonal Events,7,00:00:49,1.48,80.63%
8,slushkinvsem.ru,Community and Society > Holidays and Seasonal Events,=,00:07:25,2.61,56.28%
9,pornooblako.live,Community and Society > Holidays and Seasonal Events,2,00:04:48,4.24,23.85%
10,animemedia.org,Community and Society > Holidays and Seasonal Events,2,00:14:01,5.17,33.18%
11,calend.ru,Community and Society > Holidays and Seasonal Events,=,00:01:43,2.16,62%
12,nameberry.com,Community and Society > Holidays and Seasonal Events,1,00:02:29,4.30,53.86%
13,oprahdaily.com,Community and Society > Holidays and Seasonal Events,3,00:02:05,1.84,62.27%
14,e2ma.net,Community and Society > Holidays and Seasonal Events,1,00:02:12,2.84,65.53%
15,trybooking.com,Community and Society > Holidays and Seasonal Events,3,00:02:56,4.10,40.72%
16,zrelki.link,Community and Society > Holidays and Seasonal Events,12,00:07:04,5.75,35.03%
17,lordseriall.la,Community and Society > Holidays and Seasonal Events,7,00:00:55,1.04,94.86%
18,knigi-audio.me,Community and Society > Holidays and Seasonal Events,7,00:04:28,1.86,73.11%
19,nationaldaycalendar.com,Community and Society > Holidays and Seasonal Events,=,00:01:27,2.76,54.7%
20,life-moon.pp.ru,Community and Society > Holidays and Seasonal Events,4,00:01:47,2.81,37.01%
21,vecher-s-soloviev.net,Community and Society > Holidays and Seasonal Events,14,00:02:34,1.74,53.2%
22,triviascoop.com,Community and Society > Holidays and Seasonal Events,1,00:04:25,10.46,39.42%
23,journee-mondiale.com,Community and Society > Holidays and Seasonal Events,1,00:00:57,1.89,58.94%
24,print-a-calendar.com,Community and Society > Holidays and Seasonal Events,7,00:01:32,2.92,44.96%
25,grazia.ru,Community and Society > Holidays and Seasonal Events,1,00:01:50,1.07,40.61%
26,calendarlabs.com,Community and Society > Holidays and Seasonal Events,6,00:01:36,2.86,49.05%
27,xn--80abh7bk0c.xn--p1ai,Community and Society > Holidays and Seasonal Events,5,00:06:02,2.36,35%
28,calendarpedia.com,Community and Society > Holidays and Seasonal Events,1,00:00:54,2.81,54.42%
29,eblet.click,Community and Society > Holidays and Seasonal Events,10,00:08:15,5.59,27.93%
30,simpletix.com,Community and Society > Holidays and Seasonal Events,6,00:01:42,2.50,44.43%
31,generalblue.com,Community and Society > Holidays and Seasonal Events,2,00:00:55,2.15,46.64%
32,slushkin.com,Community and Society > Holidays and Seasonal Events,2,00:03:12,2.61,68.09%
33,calendar-12.com,Community and Society > Holidays and Seasonal Events,5,00:00:45,1.83,55.47%
34,babynames.com,Community and Society > Holidays and Seasonal Events,6,00:01:37,3.80,51.93%
35,opasvet.ru,Community and Society > Holidays and Seasonal Events,2,00:02:28,4.73,40.86%
36,wishpics.ru,Community and Society > Holidays and Seasonal Events,1,00:01:13,1.41,68.55%
37,numeria.ru,Community and Society > Holidays and Seasonal Events,6,00:05:42,2.49,37.67%
38,ruturk.online,Community and Society > Holidays and Seasonal Events,20,00:00:39,1.25,84.24%
39,doramalive.tv,Community and Society > Holidays and Seasonal Events,3,00:02:21,4.55,44.46%
40,shipmentfree.com,Community and Society > Holidays and Seasonal Events,1,00:00:24,2.12,12.78%
41,cute-calendar.com,Community and Society > Holidays and Seasonal Events,22,00:01:30,3.21,43.03%
42,orlyatarussia.ru,Community and Society > Holidays and Seasonal Events,6,00:04:44,9.98,31.92%
43,astrorok.ru,Community and Society > Holidays and Seasonal Events,2,00:06:07,2.57,59.75%
44,augusoft.net,Community and Society > Holidays and Seasonal Events,3,00:03:05,4.95,42.45%
45,nobl.ru,Community and Society > Holidays and Seasonal Events,15,00:02:29,5.00,51.6%
46,ponly.com,Community and Society > Holidays and Seasonal Events,7,00:00:36,1.78,39.52%
47,kringe.ru,Community and Society > Holidays and Seasonal Events,15,00:00:24,1.36,80.24%
48,primeirociclo.com,Community and Society > Holidays and Seasonal Events,9,00:00:08,1.11,71.42%
49,destinynums.com,Community and Society > Holidays and Seasonal Events,6,00:01:04,2.04,35.31%
50,secondsale.com,Community and Society > Holidays and Seasonal Events,12,00:00:58,2.25,51.93%
