Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,appnebula.co,Community and Society > LGBTQ,=,00:02:34,5.50,57.04%
2,fabguys.com,Community and Society > LGBTQ,=,00:14:27,22.61,15.98%
3,bullchat.com,Community and Society > LGBTQ,2,00:22:29,36.36,13.74%
4,mensnet.jp,Community and Society > LGBTQ,1,00:10:48,11.43,25.96%
5,thepinknews.com,Community and Society > LGBTQ,1,00:01:41,1.96,61.08%
6,g4guys.com,Community and Society > LGBTQ,1,00:06:00,9.23,10.89%
7,gays-cruising.com,Community and Society > LGBTQ,1,00:07:52,15.46,28.78%
8,advocate.com,Community and Society > LGBTQ,=,00:01:06,2.86,56.8%
9,out.com,Community and Society > LGBTQ,1,00:01:04,4.29,49.65%
10,queerty.com,Community and Society > LGBTQ,2,00:02:11,2.70,49.04%
11,joemygod.com,Community and Society > LGBTQ,4,00:09:01,4.22,35.33%
12,datalounge.com,Community and Society > LGBTQ,1,00:07:13,5.47,33.18%
13,autostraddle.com,Community and Society > LGBTQ,1,00:01:28,2.01,59.13%
14,lgbtqnation.com,Community and Society > LGBTQ,6,00:01:09,1.62,66.36%
15,hrc.org,Community and Society > LGBTQ,3,00:01:01,1.88,61.26%
16,queer.de,Community and Society > LGBTQ,1,00:01:19,2.10,50.9%
17,pride.com,Community and Society > LGBTQ,1,00:01:14,5.42,47.36%
18,gaybodyblog.com,Community and Society > LGBTQ,1,00:01:57,5.53,44.28%
19,gay.it,Community and Society > LGBTQ,6,00:01:07,2.04,33.32%
20,gaysir.no,Community and Society > LGBTQ,3,00:11:57,7.70,28.93%
21,erininthemorning.com,Community and Society > LGBTQ,=,00:02:40,2.42,57.3%
22,milfswipes.com,Community and Society > LGBTQ,7,00:00:28,1.42,69.3%
23,ourtruecolors.org,Community and Society > LGBTQ,12,00:00:45,2.43,35.61%
24,iboys.cz,Community and Society > LGBTQ,2,00:12:39,7.06,14.13%
25,glaad.org,Community and Society > LGBTQ,1,00:00:57,1.55,60.16%
26,xl-gaytube.com,Community and Society > LGBTQ,2,00:05:36,6.05,39.72%
27,yt5s.is,Community and Society > LGBTQ,18,00:02:12,4.49,29.9%
28,qx.se,Community and Society > LGBTQ,10,00:04:17,2.91,41.88%
29,mardigras.org.au,Community and Society > LGBTQ,56,00:01:44,2.93,52.91%
30,cruisinggays.com,Community and Society > LGBTQ,1,00:02:06,3.19,44.69%
31,dgdgdg.com,Community and Society > LGBTQ,3,00:04:38,7.55,34.65%
32,gay.blog.br,Community and Society > LGBTQ,5,00:00:51,2.01,66.06%
33,gaycities.com,Community and Society > LGBTQ,5,00:00:51,2.11,52.31%
34,b-gay.com,Community and Society > LGBTQ,20,00:01:08,1.73,51.52%
35,arthisramblings.wordpress.com,Community and Society > LGBTQ,5,00:02:10,1.54,53.82%
36,xtasis.org,Community and Society > LGBTQ,6,00:03:28,5.67,34.08%
37,tgcomics.com,Community and Society > LGBTQ,4,00:03:11,15.67,35.39%
38,transequality.org,Community and Society > LGBTQ,3,00:00:47,1.66,53.84%
39,xtramagazine.com,Community and Society > LGBTQ,4,00:01:07,1.72,53.37%
40,lesarion.com,Community and Society > LGBTQ,4,00:07:09,14.18,16.83%
41,instinctmagazine.com,Community and Society > LGBTQ,2,00:00:38,1.62,56.56%
42,daleenelarcojuana.com.ar,Community and Society > LGBTQ,11,00:00:29,2.11,5.5%
43,easygaychat.com,Community and Society > LGBTQ,12,00:03:14,7.11,80.92%
44,washingtonblade.com,Community and Society > LGBTQ,3,00:00:36,1.48,58.96%
45,nakluky.cz,Community and Society > LGBTQ,13,00:08:54,12.39,25.86%
46,club21.org,Community and Society > LGBTQ,10,00:02:47,3.23,44.26%
47,kmhesaplama.com,Community and Society > LGBTQ,5,00:00:18,1.37,65.44%
48,gayboy.at,Community and Society > LGBTQ,5,00:11:08,17.51,15.87%
49,bi.org,Community and Society > LGBTQ,1,00:00:45,1.82,50.44%
50,qruiser.com,Community and Society > LGBTQ,13,00:05:02,7.12,29.09%
