Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,finance.mail.ru,Community and Society > Philanthropy,=,00:02:19,3.06,50.85%
2,truist.com,Community and Society > Philanthropy,=,00:05:24,7.65,20.1%
3,ris.promo,Community and Society > Philanthropy,2,00:00:52,1.36,86.19%
4,tatrck.com,Community and Society > Philanthropy,1,00:01:03,1.70,50.58%
5,pinkamuz.pro,Community and Society > Philanthropy,1,00:04:16,2.38,55.01%
6,zagonkomv.gb.net,Community and Society > Philanthropy,2,00:04:04,3.21,48.5%
7,greatergood.com,Community and Society > Philanthropy,=,00:02:43,8.08,21.56%
8,caringbridge.org,Community and Society > Philanthropy,6,00:01:49,2.04,59.85%
9,torontomu.ca,Community and Society > Philanthropy,3,00:07:57,7.75,23.35%
10,care.com,Community and Society > Philanthropy,1,00:04:03,6.74,41.55%
11,justgiving.com,Community and Society > Philanthropy,5,00:03:14,3.74,52.68%
12,stavropol.media,Community and Society > Philanthropy,2,00:00:42,1.25,88.36%
13,unicef.org,Community and Society > Philanthropy,=,00:01:39,2.21,74.12%
14,diario.red,Community and Society > Philanthropy,1,00:01:39,1.51,67.05%
15,denver7.com,Community and Society > Philanthropy,2,00:01:43,1.88,61.15%
16,turkru.love,Community and Society > Philanthropy,6,00:00:46,1.25,78.39%
17,omaze.co.uk,Community and Society > Philanthropy,6,00:03:10,4.55,40.54%
18,zvu4no.org,Community and Society > Philanthropy,2,00:04:05,2.16,62.81%
19,new.mil.ru,Community and Society > Philanthropy,22,00:05:21,6.46,38.91%
20,familytreenow.com,Community and Society > Philanthropy,1,00:02:44,4.10,48.01%
21,audioknigivse.ru,Community and Society > Philanthropy,3,00:02:50,2.50,63.88%
22,amnesty.org,Community and Society > Philanthropy,3,00:00:54,1.81,46.22%
23,idealist.org,Community and Society > Philanthropy,1,00:03:22,4.51,38.05%
24,russki-seriaal.net,Community and Society > Philanthropy,1,00:01:19,2.85,39.63%
25,d2mefast.net,Community and Society > Philanthropy,3,00:09:28,4.45,31.59%
26,dewatermark.ai,Community and Society > Philanthropy,1,00:02:15,2.57,34.55%
27,reliefweb.int,Community and Society > Philanthropy,2,00:01:59,3.07,52.52%
28,realclearpolling.com,Community and Society > Philanthropy,72,00:01:19,1.62,61.58%
29,findhelp.org,Community and Society > Philanthropy,3,00:01:52,4.57,41.18%
30,eroticlab.video,Community and Society > Philanthropy,=,00:05:18,7.71,36.63%
31,unhcr.org,Community and Society > Philanthropy,1,00:01:53,2.70,50.86%
32,oxfam.org.uk,Community and Society > Philanthropy,1,00:03:03,5.28,39.3%
33,magnifypost.com,Community and Society > Philanthropy,13,00:00:23,1.18,93.36%
34,jut-su.ws,Community and Society > Philanthropy,3,00:13:19,3.02,38.05%
35,onlinetv.su,Community and Society > Philanthropy,66,00:04:44,2.92,42.08%
36,metademolab.com,Community and Society > Philanthropy,=,00:01:42,2.26,57.92%
37,rosserialhd.ru,Community and Society > Philanthropy,6,00:00:36,2.82,23.49%
38,seriallrus.net,Community and Society > Philanthropy,7,00:01:06,1.42,77.79%
39,lordfilm-harry-potter.ru,Community and Society > Philanthropy,18,00:04:12,1.49,75.73%
40,kp.media,Community and Society > Philanthropy,=,00:01:58,1.59,60.99%
41,stargate-film.ru,Community and Society > Philanthropy,993,00:01:08,1.59,55.45%
42,croix-rouge.fr,Community and Society > Philanthropy,8,00:04:26,4.80,35.59%
43,ruserialy.org,Community and Society > Philanthropy,80,00:02:51,2.00,56.61%
44,classy.org,Community and Society > Philanthropy,5,00:02:41,4.16,47.59%
45,cats.org.uk,Community and Society > Philanthropy,2,00:01:53,3.50,45.53%
46,onepiecedle.net,Community and Society > Philanthropy,7,00:03:46,3.54,22.99%
47,sendwave.com,Community and Society > Philanthropy,3,00:00:54,1.47,68.77%
48,myheritage.no,Community and Society > Philanthropy,9,00:11:20,17.27,33.7%
49,volunteerhub.com,Community and Society > Philanthropy,7,00:03:05,4.68,41.15%
50,xn--90aqok.xn--p1ai,Community and Society > Philanthropy,1,00:00:32,1.50,63.32%
