Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,samsung.com,Computers Electronics and Technology > Consumer Electronics,=,00:01:40,2.53,37.02%
2,apple.com,Computers Electronics and Technology > Consumer Electronics,=,00:02:30,3.17,51.96%
3,bestbuy.com,Computers Electronics and Technology > Consumer Electronics,=,00:04:16,4.65,40.86%
4,huawei.com,Computers Electronics and Technology > Consumer Electronics,=,00:09:48,8.62,34.85%
5,hp.com,Computers Electronics and Technology > Consumer Electronics,=,00:04:28,4.45,44.1%
6,mi.com,Computers Electronics and Technology > Consumer Electronics,=,00:02:42,4.07,38.97%
7,mediaexpert.pl,Computers Electronics and Technology > Consumer Electronics,=,00:03:26,3.95,37.53%
8,yodobashi.com,Computers Electronics and Technology > Consumer Electronics,=,00:04:43,6.03,39.65%
9,danawa.com,Computers Electronics and Technology > Consumer Electronics,1,00:04:56,5.33,21.96%
10,samsung.com.cn,Computers Electronics and Technology > Consumer Electronics,1,00:00:56,2.08,76.47%
11,thegioididong.com,Computers Electronics and Technology > Consumer Electronics,1,00:03:04,3.55,57.12%
12,sony.com,Computers Electronics and Technology > Consumer Electronics,1,00:01:58,3.67,38.68%
13,mediamarkt.de,Computers Electronics and Technology > Consumer Electronics,1,00:03:20,3.70,35.84%
14,ring.com,Computers Electronics and Technology > Consumer Electronics,1,00:03:49,3.89,41.71%
15,lg.com,Computers Electronics and Technology > Consumer Electronics,1,00:02:11,2.99,52.13%
16,roku.com,Computers Electronics and Technology > Consumer Electronics,3,00:04:37,4.62,38.26%
17,cellphones.com.vn,Computers Electronics and Technology > Consumer Electronics,=,00:02:35,3.24,45.17%
18,samsungconsent.com,Computers Electronics and Technology > Consumer Electronics,8,00:01:29,1.56,70.42%
19,shop.samsung.com.cn,Computers Electronics and Technology > Consumer Electronics,=,00:02:14,2.77,44.64%
20,shop.samsung.com,Computers Electronics and Technology > Consumer Electronics,2,00:02:00,2.93,46.03%
21,jbhifi.com.au,Computers Electronics and Technology > Consumer Electronics,3,00:03:37,4.33,38.77%
22,dienmayxanh.com,Computers Electronics and Technology > Consumer Electronics,5,00:02:39,2.85,54%
23,biccamera.com,Computers Electronics and Technology > Consumer Electronics,3,00:03:16,3.68,56.71%
24,euro.com.pl,Computers Electronics and Technology > Consumer Electronics,1,00:02:30,3.89,28.07%
25,versus.com,Computers Electronics and Technology > Consumer Electronics,1,00:02:09,2.58,58.9%
26,fptshop.com.vn,Computers Electronics and Technology > Consumer Electronics,3,00:03:26,1.88,23.3%
27,bestbuy.ca,Computers Electronics and Technology > Consumer Electronics,6,00:03:22,4.22,41.05%
28,newegg.com,Computers Electronics and Technology > Consumer Electronics,4,00:04:34,5.49,37.44%
29,realme.com,Computers Electronics and Technology > Consumer Electronics,6,00:01:31,2.57,41.41%
30,rfgricoh.sharepoint.com,Computers Electronics and Technology > Consumer Electronics,10,00:12:49,7.72,19.2%
31,bhphotovideo.com,Computers Electronics and Technology > Consumer Electronics,2,00:03:17,4.20,45.31%
32,vivo.com,Computers Electronics and Technology > Consumer Electronics,14,00:01:13,2.19,65.01%
33,misumi-ec.com,Computers Electronics and Technology > Consumer Electronics,9,00:07:19,6.69,30.9%
34,panasonic.com,Computers Electronics and Technology > Consumer Electronics,=,00:04:09,4.24,47.91%
35,oppo.com,Computers Electronics and Technology > Consumer Electronics,8,00:01:36,2.58,56.63%
36,kabum.com.br,Computers Electronics and Technology > Consumer Electronics,1,00:03:58,4.30,38.61%
37,dji.com,Computers Electronics and Technology > Consumer Electronics,7,00:03:06,4.60,35.98%
38,panasonic.jp,Computers Electronics and Technology > Consumer Electronics,1,00:03:10,3.31,44.52%
39,xiaomi.com,Computers Electronics and Technology > Consumer Electronics,2,00:04:21,5.05,34.24%
40,casio.com,Computers Electronics and Technology > Consumer Electronics,4,00:02:07,4.42,36.37%
41,darty.com,Computers Electronics and Technology > Consumer Electronics,13,00:03:05,4.24,33.4%
42,pccomponentes.com,Computers Electronics and Technology > Consumer Electronics,1,00:03:53,5.07,31.58%
43,sony.jp,Computers Electronics and Technology > Consumer Electronics,1,00:03:05,3.74,41%
44,yanhh3d.tv,Computers Electronics and Technology > Consumer Electronics,=,00:13:38,4.46,24.19%
45,casio.jp,Computers Electronics and Technology > Consumer Electronics,7,00:02:50,2.21,61.61%
46,uscellular.com,Computers Electronics and Technology > Consumer Electronics,1,00:04:34,2.41,46.28%
47,webuy.com,Computers Electronics and Technology > Consumer Electronics,2,00:06:00,6.72,20.47%
48,rtings.com,Computers Electronics and Technology > Consumer Electronics,=,00:02:36,2.98,46.02%
49,samsungcareplus.com,Computers Electronics and Technology > Consumer Electronics,88,00:01:47,2.24,67.44%
50,mediamarkt.es,Computers Electronics and Technology > Consumer Electronics,12,00:02:45,3.51,36.92%
