Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,live.com,Computers Electronics and Technology > Email,=,00:07:14,7.59,20.63%
2,mail.ru,Computers Electronics and Technology > Email,=,00:07:48,9.18,32.8%
3,outlook.com,Computers Electronics and Technology > Email,=,00:01:30,1.56,66.77%
4,web.de,Computers Electronics and Technology > Email,=,00:06:16,7.16,20.84%
5,gmail.com,Computers Electronics and Technology > Email,=,00:01:01,1.27,83.35%
6,gmx.net,Computers Electronics and Technology > Email,=,00:05:59,7.04,15.89%
7,list-manage.com,Computers Electronics and Technology > Email,=,00:01:00,1.74,57.41%
8,sendgrid.net,Computers Electronics and Technology > Email,=,00:00:54,1.43,71.32%
9,gxcorner.games,Computers Electronics and Technology > Email,=,00:01:51,1.40,78.15%
10,hotmail.com,Computers Electronics and Technology > Email,=,00:01:30,1.29,77.28%
11,live.net,Computers Electronics and Technology > Email,=,00:02:35,2.10,60.98%
12,evite.com,Computers Electronics and Technology > Email,=,00:02:53,3.15,45.06%
13,szn.cz,Computers Electronics and Technology > Email,=,00:02:43,2.04,52.67%
14,tv-sporten.com,Computers Electronics and Technology > Email,=,00:01:06,2.32,54.94%
15,temp-mail.org,Computers Electronics and Technology > Email,=,00:04:40,3.00,41.54%
16,freemail.hu,Computers Electronics and Technology > Email,=,00:06:53,5.69,16.53%
17,mailchimp.com,Computers Electronics and Technology > Email,=,00:08:44,8.13,30.86%
18,linkedinmobileapp.com,Computers Electronics and Technology > Email,=,00:00:10,1.08,86.26%
19,mailchi.mp,Computers Electronics and Technology > Email,=,00:01:07,1.51,77.92%
20,mail.com,Computers Electronics and Technology > Email,=,00:05:40,6.22,23.08%
21,emailnator.com,Computers Electronics and Technology > Email,41,00:01:41,5.21,16.24%
22,odido.nl,Computers Electronics and Technology > Email,1,00:03:49,4.31,46.89%
23,chatgptchatapp.com,Computers Electronics and Technology > Email,11,00:04:27,1.21,44.27%
24,families.google,Computers Electronics and Technology > Email,2,00:01:04,1.49,73.57%
25,126.com,Computers Electronics and Technology > Email,=,00:05:28,7.07,14.86%
26,mimecast.com,Computers Electronics and Technology > Email,=,00:07:03,4.16,43.97%
27,1drv.ms,Computers Electronics and Technology > Email,3,00:01:42,1.54,71.12%
28,cybermail.jp,Computers Electronics and Technology > Email,1,00:13:52,6.95,21.94%
29,liveinternet.ru,Computers Electronics and Technology > Email,6,00:05:38,4.44,44.94%
30,gmx.ch,Computers Electronics and Technology > Email,3,00:03:45,2.61,45.22%
31,posteo.de,Computers Electronics and Technology > Email,3,00:05:12,6.01,15.23%
32,mlsend.com,Computers Electronics and Technology > Email,2,00:00:53,1.68,67.98%
33,webmail.free.fr,Computers Electronics and Technology > Email,2,00:06:06,6.69,12.56%
34,kpnmail.nl,Computers Electronics and Technology > Email,2,00:05:35,6.39,14.84%
35,fastmail.com,Computers Electronics and Technology > Email,2,00:11:00,11.72,19.57%
36,convertkit-mail2.com,Computers Electronics and Technology > Email,1,00:00:57,1.47,70.65%
37,g-cloud.by,Computers Electronics and Technology > Email,5,00:18:01,7.46,13.91%
38,gmx.com,Computers Electronics and Technology > Email,=,00:05:55,5.92,23.11%
39,mpse.jp,Computers Electronics and Technology > Email,2,00:01:08,1.65,73.67%
40,hao6v.tv,Computers Electronics and Technology > Email,4,00:02:47,3.71,39.77%
41,feijipan.com,Computers Electronics and Technology > Email,4,00:01:55,2.54,56.71%
42,cmail19.com,Computers Electronics and Technology > Email,2,00:00:43,1.46,68.53%
43,ferozo.email,Computers Electronics and Technology > Email,=,00:14:14,11.97,14.81%
44,microsoftpersonalcontent.com,Computers Electronics and Technology > Email,3,00:02:34,2.76,42.18%
45,ok.de,Computers Electronics and Technology > Email,6,00:21:28,10.21,15.76%
46,mail.bg,Computers Electronics and Technology > Email,3,00:05:34,5.12,18.33%
47,cmail20.com,Computers Electronics and Technology > Email,3,00:00:37,1.44,69.61%
48,campaign-archive.com,Computers Electronics and Technology > Email,3,00:01:40,1.76,62.5%
49,yopmail.com,Computers Electronics and Technology > Email,1,00:04:48,5.31,28.31%
50,networksolutionsemail.com,Computers Electronics and Technology > Email,=,00:07:38,9.65,27.95%
