Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,mediafire.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:33,3.29,44.2%
2,dropbox.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:05:23,7.22,24.99%
3,savefrom.net,Computers Electronics and Technology > File Sharing and Hosting,=,00:03:07,3.20,42.4%
4,imgur.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:02:37,4.03,42.45%
5,mega.nz,Computers Electronics and Technology > File Sharing and Hosting,=,00:04:08,5.72,46.57%
6,wetransfer.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:02:31,3.81,55.72%
7,wearychallengeraise.com,Computers Electronics and Technology > File Sharing and Hosting,=,00:01:17,2.20,34.32%
8,box.com,Computers Electronics and Technology > File Sharing and Hosting,1,00:11:24,11.40,20.99%
9,videy.co,Computers Electronics and Technology > File Sharing and Hosting,1,00:07:45,21.65,33.34%
10,landapplics.com,Computers Electronics and Technology > File Sharing and Hosting,1,00:01:19,1.84,61.62%
11,yts.mx,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:13,5.86,34.19%
12,gofile.io,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:29,3.38,48.95%
13,rutracker.org,Computers Electronics and Technology > File Sharing and Hosting,2,00:05:38,7.62,24.31%
14,rainberrytv.com,Computers Electronics and Technology > File Sharing and Hosting,3,00:03:48,4.94,14.6%
15,rapidgator.net,Computers Electronics and Technology > File Sharing and Hosting,3,00:05:14,4.46,26.98%
16,thepiratebay.org,Computers Electronics and Technology > File Sharing and Hosting,5,00:03:54,5.55,21.93%
17,apkmody.com,Computers Electronics and Technology > File Sharing and Hosting,6,00:01:10,3.69,30.74%
18,topcinema.cam,Computers Electronics and Technology > File Sharing and Hosting,2,00:07:21,5.88,40.65%
19,torrentgalaxy.to,Computers Electronics and Technology > File Sharing and Hosting,3,00:04:25,5.23,35.42%
20,gamerxyt.com,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:01,2.48,45.89%
21,yt1d.com,Computers Electronics and Technology > File Sharing and Hosting,5,00:02:33,2.50,59.16%
22,1fichier.com,Computers Electronics and Technology > File Sharing and Hosting,2,00:03:09,2.75,39.58%
23,1024tera.com,Computers Electronics and Technology > File Sharing and Hosting,20,00:03:59,3.52,45.53%
24,mixdrop.ps,Computers Electronics and Technology > File Sharing and Hosting,2,00:04:40,4.36,45.63%
25,getmodsapk.com,Computers Electronics and Technology > File Sharing and Hosting,6,00:02:01,4.67,25.04%
26,katfile.com,Computers Electronics and Technology > File Sharing and Hosting,2,00:03:56,6.19,29.93%
27,nocookie.net,Computers Electronics and Technology > File Sharing and Hosting,2,00:02:20,2.07,66.25%
28,terabox.com,Computers Electronics and Technology > File Sharing and Hosting,3,00:03:22,3.62,42.31%
29,ibb.co,Computers Electronics and Technology > File Sharing and Hosting,1,00:02:35,2.61,56.78%
30,utorrent.com,Computers Electronics and Technology > File Sharing and Hosting,5,00:01:19,2.21,55.62%
31,freeip.me,Computers Electronics and Technology > File Sharing and Hosting,1,00:02:20,1.37,76.39%
32,1377x.to,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:54,9.04,20.49%
33,advertisingcamps.com,Computers Electronics and Technology > File Sharing and Hosting,3,00:05:37,2.45,45.12%
34,yummyadvertiseexploded.com,Computers Electronics and Technology > File Sharing and Hosting,22,00:01:26,2.15,36.58%
35,shrinkme.ink,Computers Electronics and Technology > File Sharing and Hosting,1,00:03:21,2.48,63.94%
36,vcloud.lol,Computers Electronics and Technology > File Sharing and Hosting,9,00:03:59,2.49,42.44%
37,snapinsta.app,Computers Electronics and Technology > File Sharing and Hosting,30,00:01:29,1.59,77.08%
38,rutor.info,Computers Electronics and Technology > File Sharing and Hosting,2,00:04:14,6.63,26.13%
39,gdtot.dad,Computers Electronics and Technology > File Sharing and Hosting,2,00:05:24,5.78,20%
40,linkmake.in,Computers Electronics and Technology > File Sharing and Hosting,4,00:03:37,4.05,40.49%
41,nkiri.com,Computers Electronics and Technology > File Sharing and Hosting,1,00:04:19,6.02,33.29%
42,pixeldra.in,Computers Electronics and Technology > File Sharing and Hosting,24,00:03:20,2.72,54.64%
43,devuploads.com,Computers Electronics and Technology > File Sharing and Hosting,5,00:03:43,3.86,16.65%
44,mrproblogger.com,Computers Electronics and Technology > File Sharing and Hosting,1,00:04:02,2.41,64.21%
45,billaesopus.com,Computers Electronics and Technology > File Sharing and Hosting,6,00:03:23,4.14,15.28%
46,k2s.cc,Computers Electronics and Technology > File Sharing and Hosting,7,00:04:39,4.40,37.27%
47,pahe.ink,Computers Electronics and Technology > File Sharing and Hosting,2,00:03:59,4.58,34.4%
48,readthedocs.io,Computers Electronics and Technology > File Sharing and Hosting,7,00:03:38,3.18,51.6%
49,postimg.cc,Computers Electronics and Technology > File Sharing and Hosting,8,00:02:48,4.04,53.54%
50,hblinks.pro,Computers Electronics and Technology > File Sharing and Hosting,4,00:03:26,1.99,56.74%
