Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,google.com,Computers Electronics and Technology > Search Engines,=,00:10:46,8.69,27.83%
2,yandex.ru,Computers Electronics and Technology > Search Engines,=,00:08:48,8.57,26.95%
3,baidu.com,Computers Electronics and Technology > Search Engines,=,00:05:35,8.55,22.93%
4,bing.com,Computers Electronics and Technology > Search Engines,=,00:06:45,5.51,37.75%
5,duckduckgo.com,Computers Electronics and Technology > Search Engines,=,00:07:52,6.53,12.45%
6,ya.ru,Computers Electronics and Technology > Search Engines,=,00:05:24,4.98,36.67%
7,google.de,Computers Electronics and Technology > Search Engines,=,00:07:29,10.57,25.36%
8,google.co.jp,Computers Electronics and Technology > Search Engines,1,00:08:08,12.17,27.02%
9,daum.net,Computers Electronics and Technology > Search Engines,1,00:15:43,9.65,28.02%
10,google.com.br,Computers Electronics and Technology > Search Engines,=,00:06:45,9.63,24.85%
11,music.youtube.com,Computers Electronics and Technology > Search Engines,=,00:30:33,11.87,26.5%
12,google.co.uk,Computers Electronics and Technology > Search Engines,=,00:06:08,9.59,23.89%
13,google.it,Computers Electronics and Technology > Search Engines,=,00:07:10,9.90,26.82%
14,google.fr,Computers Electronics and Technology > Search Engines,=,00:06:07,10.53,22.27%
15,webpkgcache.com,Computers Electronics and Technology > Search Engines,=,00:01:00,1.18,87.61%
16,seznam.cz,Computers Electronics and Technology > Search Engines,=,00:09:28,6.26,28.88%
17,google.co.in,Computers Electronics and Technology > Search Engines,=,00:05:51,6.66,34.57%
18,ecosia.org,Computers Electronics and Technology > Search Engines,1,00:05:32,3.92,28.34%
19,google.ca,Computers Electronics and Technology > Search Engines,1,00:05:12,8.89,24.48%
20,google.es,Computers Electronics and Technology > Search Engines,=,00:07:14,10.51,29.22%
21,google.pl,Computers Electronics and Technology > Search Engines,1,00:06:58,11.44,19.69%
22,yandex.com,Computers Electronics and Technology > Search Engines,1,00:05:14,6.98,34.8%
23,google.com.mx,Computers Electronics and Technology > Search Engines,1,00:06:19,10.84,26%
24,clarosva.com,Computers Electronics and Technology > Search Engines,1,00:00:56,1.60,60.18%
25,google.ru,Computers Electronics and Technology > Search Engines,1,00:06:25,7.91,30.38%
26,google.com.tr,Computers Electronics and Technology > Search Engines,1,00:06:06,8.14,28.57%
27,office.net,Computers Electronics and Technology > Search Engines,6,00:03:16,2.76,27.56%
28,justdial.com,Computers Electronics and Technology > Search Engines,3,00:01:54,2.57,50.78%
29,google.co.th,Computers Electronics and Technology > Search Engines,=,00:05:05,8.77,18.72%
30,google.nl,Computers Electronics and Technology > Search Engines,1,00:06:47,12.16,22.69%
31,google.co.kr,Computers Electronics and Technology > Search Engines,1,00:06:03,7.85,33.42%
32,hao123.com,Computers Electronics and Technology > Search Engines,=,00:03:04,1.93,57.45%
33,yandex.com.tr,Computers Electronics and Technology > Search Engines,3,00:06:52,8.75,20.41%
34,yandex.by,Computers Electronics and Technology > Search Engines,=,00:09:30,9.82,21.02%
35,google.com.ar,Computers Electronics and Technology > Search Engines,=,00:05:43,10.13,28.85%
36,google.com.hk,Computers Electronics and Technology > Search Engines,2,00:07:35,7.32,33%
37,google.com.tw,Computers Electronics and Technology > Search Engines,2,00:07:33,14.28,29.6%
38,googlevideo.com,Computers Electronics and Technology > Search Engines,1,00:03:18,2.78,35.29%
39,so.com,Computers Electronics and Technology > Search Engines,4,00:02:59,4.08,46.26%
40,google.com.au,Computers Electronics and Technology > Search Engines,=,00:05:27,7.93,27.45%
41,google.cl,Computers Electronics and Technology > Search Engines,=,00:05:24,8.27,21.65%
42,startpage.com,Computers Electronics and Technology > Search Engines,=,00:06:10,3.83,28.16%
43,google.co.id,Computers Electronics and Technology > Search Engines,7,00:03:33,5.51,44.9%
44,google.com.vn,Computers Electronics and Technology > Search Engines,2,00:06:14,5.81,33.23%
45,yahoo.jp,Computers Electronics and Technology > Search Engines,=,00:02:01,1.42,77.15%
46,google.hu,Computers Electronics and Technology > Search Engines,2,00:05:59,7.78,22.55%
47,google.pt,Computers Electronics and Technology > Search Engines,4,00:06:01,11.10,23.63%
48,google.ch,Computers Electronics and Technology > Search Engines,4,00:07:18,11.10,25.31%
49,coinmastergame.com,Computers Electronics and Technology > Search Engines,5,00:00:44,1.49,61.35%
50,ssyoutube.com,Computers Electronics and Technology > Search Engines,5,00:03:20,2.51,58.4%
