Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,docomo.ne.jp,Computers Electronics and Technology > Telecommunications,=,00:05:50,4.86,27.98%
2,orange.fr,Computers Electronics and Technology > Telecommunications,=,00:05:43,6.54,21.45%
3,att.com,Computers Electronics and Technology > Telecommunications,=,00:03:29,3.62,50.34%
4,t-mobile.com,Computers Electronics and Technology > Telecommunications,=,00:03:12,3.38,57.82%
5,mts.ru,Computers Electronics and Technology > Telecommunications,=,00:02:20,3.38,40.79%
6,jio.com,Computers Electronics and Technology > Telecommunications,=,00:02:55,3.17,48.42%
7,spectrum.net,Computers Electronics and Technology > Telecommunications,=,00:05:29,6.01,28.91%
8,verizon.com,Computers Electronics and Technology > Telecommunications,1,00:04:34,6.82,36.58%
9,vivo.com.br,Computers Electronics and Technology > Telecommunications,1,00:02:23,2.50,45.86%
10,uplus.co.kr,Computers Electronics and Technology > Telecommunications,=,00:05:32,3.59,37.94%
11,tim.com.br,Computers Electronics and Technology > Telecommunications,=,00:01:54,2.38,35.37%
12,sfr.fr,Computers Electronics and Technology > Telecommunications,=,00:06:30,6.18,28.98%
13,tim.it,Computers Electronics and Technology > Telecommunications,=,00:04:21,6.75,22.84%
14,vodafone.de,Computers Electronics and Technology > Telecommunications,=,00:03:39,4.34,38.1%
15,airtel.in,Computers Electronics and Technology > Telecommunications,2,00:01:52,2.46,49%
16,claro.com.br,Computers Electronics and Technology > Telecommunications,1,00:03:18,4.33,39.42%
17,skype.com,Computers Electronics and Technology > Telecommunications,1,00:05:25,5.23,33.98%
18,adot.ai,Computers Electronics and Technology > Telecommunications,2,00:01:00,2.06,33.66%
19,10086.cn,Computers Electronics and Technology > Telecommunications,3,00:04:00,4.11,55.09%
20,telekom.de,Computers Electronics and Technology > Telecommunications,2,00:04:11,3.78,47.36%
21,telekom.com,Computers Electronics and Technology > Telecommunications,2,00:02:49,2.81,41.07%
22,samsungmobile.com,Computers Electronics and Technology > Telecommunications,9,00:00:26,1.48,68.82%
23,ioh.co.id,Computers Electronics and Technology > Telecommunications,30,00:01:10,1.66,58.06%
24,softbank.jp,Computers Electronics and Technology > Telecommunications,4,00:03:34,4.68,39.86%
25,bt.com,Computers Electronics and Technology > Telecommunications,2,00:06:36,8.11,23.06%
26,au.com,Computers Electronics and Technology > Telecommunications,4,00:03:20,3.99,48.13%
27,rogers.com,Computers Electronics and Technology > Telecommunications,4,00:04:05,3.67,42.23%
28,cricketwireless.com,Computers Electronics and Technology > Telecommunications,2,00:03:01,2.68,44.78%
29,beeline.ru,Computers Electronics and Technology > Telecommunications,=,00:02:43,3.33,38.97%
30,o2.co.uk,Computers Electronics and Technology > Telecommunications,9,00:04:09,3.35,51.73%
31,telcel.com,Computers Electronics and Technology > Telecommunications,7,00:01:42,3.01,60.18%
32,telkomsel.com,Computers Electronics and Technology > Telecommunications,7,00:02:31,2.54,56.93%
33,turktelekom.com.tr,Computers Electronics and Technology > Telecommunications,1,00:03:42,5.03,31.43%
34,megafon.ru,Computers Electronics and Technology > Telecommunications,2,00:03:36,4.01,39.15%
35,terabox.app,Computers Electronics and Technology > Telecommunications,19,00:03:47,3.72,46.56%
36,bouyguestelecom.fr,Computers Electronics and Technology > Telecommunications,3,00:04:40,5.53,36.48%
37,rt.ru,Computers Electronics and Technology > Telecommunications,2,00:04:18,5.07,33.93%
38,orange.es,Computers Electronics and Technology > Telecommunications,=,00:04:21,3.50,45.07%
39,vodafone.co.uk,Computers Electronics and Technology > Telecommunications,3,00:03:19,3.35,49.33%
40,virginmedia.com,Computers Electronics and Technology > Telecommunications,3,00:05:33,7.49,26.86%
41,viettel.vn,Computers Electronics and Technology > Telecommunications,2,00:04:41,4.09,52.13%
42,entel.cl,Computers Electronics and Technology > Telecommunications,2,00:03:21,3.63,48%
43,iliad.it,Computers Electronics and Technology > Telecommunications,8,00:03:09,3.83,37.23%
44,spectrum.com,Computers Electronics and Technology > Telecommunications,3,00:02:48,3.31,55.09%
45,ee.co.uk,Computers Electronics and Technology > Telecommunications,3,00:04:02,5.26,45.4%
46,ymobile.jp,Computers Electronics and Technology > Telecommunications,1,00:03:13,4.28,37.06%
47,1und1.de,Computers Electronics and Technology > Telecommunications,3,00:04:54,6.30,29.62%
48,telenet.be,Computers Electronics and Technology > Telecommunications,2,00:07:22,7.08,25.52%
49,earthlink.net,Computers Electronics and Technology > Telecommunications,1,00:11:41,10.57,11.4%
50,three.co.uk,Computers Electronics and Technology > Telecommunications,11,00:03:53,3.34,52.51%
