Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,auction.co.kr,Ecommerce & Shopping > Auctions,=,00:02:59,6.10,25.16%
2,ecount.com,Ecommerce & Shopping > Auctions,1,00:12:52,12.87,18.19%
3,mercadolibre.com,Ecommerce & Shopping > Auctions,1,00:02:19,3.60,37.55%
4,trademe.co.nz,Ecommerce & Shopping > Auctions,=,00:07:16,11.85,26.84%
5,hibid.com,Ecommerce & Shopping > Auctions,=,00:10:23,10.40,28.73%
6,ricardo.ch,Ecommerce & Shopping > Auctions,=,00:06:55,8.78,27.62%
7,tradera.com,Ecommerce & Shopping > Auctions,=,00:06:28,9.34,32.78%
8,njuskalo.hr,Ecommerce & Shopping > Auctions,1,00:08:13,8.88,34.5%
9,allegro.cz,Ecommerce & Shopping > Auctions,1,00:02:07,3.62,20.72%
10,shopgoodwill.com,Ecommerce & Shopping > Auctions,=,00:10:23,12.59,26.71%
11,az24.vn,Ecommerce & Shopping > Auctions,=,00:00:54,2.44,12.35%
12,buyee.jp,Ecommerce & Shopping > Auctions,=,00:06:56,15.80,28.39%
13,estatesales.net,Ecommerce & Shopping > Auctions,=,00:06:04,23.55,32.26%
14,1stdibs.com,Ecommerce & Shopping > Auctions,=,00:02:53,3.55,42.27%
15,carousell.com.hk,Ecommerce & Shopping > Auctions,=,00:08:58,8.04,36.36%
16,invaluable.com,Ecommerce & Shopping > Auctions,=,00:02:44,3.85,49.07%
17,liveauctioneers.com,Ecommerce & Shopping > Auctions,1,00:04:44,7.25,43.63%
18,huutokaupat.com,Ecommerce & Shopping > Auctions,1,00:07:37,7.14,31.69%
19,ebay.pl,Ecommerce & Shopping > Auctions,2,00:02:46,5.16,25.14%
20,bidfta.com,Ecommerce & Shopping > Auctions,5,00:11:35,11.93,29.72%
21,auctionet.com,Ecommerce & Shopping > Auctions,1,00:04:05,6.13,40.24%
22,terk.nl,Ecommerce & Shopping > Auctions,=,00:02:51,6.14,32.11%
23,naturabuy.fr,Ecommerce & Shopping > Auctions,=,00:08:40,8.33,29.46%
24,troostwijkauctions.com,Ecommerce & Shopping > Auctions,4,00:08:12,17.26,32.41%
25,proxibid.com,Ecommerce & Shopping > Auctions,4,00:06:47,9.61,29.7%
26,interencheres.com,Ecommerce & Shopping > Auctions,=,00:11:12,15.05,26.95%
27,picclick.co.uk,Ecommerce & Shopping > Auctions,3,00:01:55,4.19,39.96%
28,delcampe.net,Ecommerce & Shopping > Auctions,1,00:09:07,10.29,28.59%
29,ebay.ie,Ecommerce & Shopping > Auctions,=,00:03:23,4.71,38.3%
30,vatera.hu,Ecommerce & Shopping > Auctions,1,00:06:05,6.82,36.87%
31,payngo.co.il,Ecommerce & Shopping > Auctions,4,00:02:30,3.66,45.61%
32,chitadelivery-cx.com,Ecommerce & Shopping > Auctions,10,00:02:49,2.16,56.41%
33,limundo.com,Ecommerce & Shopping > Auctions,3,00:05:50,9.65,20.46%
34,kupindo.com,Ecommerce & Shopping > Auctions,2,00:02:14,5.37,21.5%
35,ebay.be,Ecommerce & Shopping > Auctions,1,00:03:35,5.11,41.97%
36,johnpyeauctions.co.uk,Ecommerce & Shopping > Auctions,7,00:10:37,16.18,19.94%
37,ha.com,Ecommerce & Shopping > Auctions,=,00:04:22,5.98,46.9%
38,huuto.net,Ecommerce & Shopping > Auctions,5,00:05:47,14.09,19.48%
39,sothebys.com,Ecommerce & Shopping > Auctions,2,00:01:54,3.29,54.29%
40,picclick.fr,Ecommerce & Shopping > Auctions,6,00:02:00,3.14,41.02%
41,jumbo.ch,Ecommerce & Shopping > Auctions,2,00:03:47,4.60,42.09%
42,ebay.nl,Ecommerce & Shopping > Auctions,2,00:03:53,5.47,35.84%
43,easyliveauction.com,Ecommerce & Shopping > Auctions,3,00:07:47,13.19,34.21%
44,fromjapan.co.jp,Ecommerce & Shopping > Auctions,6,00:04:16,6.79,42.37%
45,osta.ee,Ecommerce & Shopping > Auctions,4,00:09:54,11.52,25.53%
46,ebay.ch,Ecommerce & Shopping > Auctions,4,00:03:33,4.12,39.02%
47,picclick.it,Ecommerce & Shopping > Auctions,4,00:01:40,2.98,40.54%
48,sodresantoro.com.br,Ecommerce & Shopping > Auctions,3,00:08:43,6.89,25.83%
49,auctionzip.com,Ecommerce & Shopping > Auctions,12,00:05:54,13.01,31.21%
50,mygls.be,Ecommerce & Shopping > Auctions,4,00:03:27,3.14,58.73%
