Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,avito.ru,Ecommerce & Shopping > Classifieds,=,00:11:22,12.80,24.79%
2,craigslist.org,Ecommerce & Shopping > Classifieds,=,00:07:02,29.60,24.34%
3,leboncoin.fr,Ecommerce & Shopping > Classifieds,=,00:09:45,9.63,25.88%
4,sahibinden.com,Ecommerce & Shopping > Classifieds,=,00:10:08,18.82,24.72%
5,subito.it,Ecommerce & Shopping > Classifieds,=,00:07:36,8.26,28.27%
6,olx.ua,Ecommerce & Shopping > Classifieds,=,00:07:32,10.85,22.68%
7,otomoto.pl,Ecommerce & Shopping > Classifieds,=,00:07:24,7.58,27.26%
8,finn.no,Ecommerce & Shopping > Classifieds,=,00:09:11,27.77,21.07%
9,olx.in,Ecommerce & Shopping > Classifieds,=,00:05:39,7.58,34.36%
10,kijiji.ca,Ecommerce & Shopping > Classifieds,=,00:06:38,6.96,28.83%
11,olx.ro,Ecommerce & Shopping > Classifieds,=,00:08:11,9.38,28.37%
12,blocket.se,Ecommerce & Shopping > Classifieds,1,00:06:56,9.68,25.54%
13,gumtree.com,Ecommerce & Shopping > Classifieds,1,00:06:00,5.84,36.96%
14,milanuncios.com,Ecommerce & Shopping > Classifieds,2,00:06:06,5.10,40.36%
15,kufar.by,Ecommerce & Shopping > Classifieds,=,00:09:30,10.84,27.8%
16,megamarket.ru,Ecommerce & Shopping > Classifieds,2,00:02:24,3.02,57.61%
17,tori.fi,Ecommerce & Shopping > Classifieds,=,00:08:56,14.17,21.85%
18,kupujemprodajem.com,Ecommerce & Shopping > Classifieds,2,00:08:09,22.10,13.88%
19,wannonce.com,Ecommerce & Shopping > Classifieds,1,00:15:07,19.23,20.88%
20,opensooq.com,Ecommerce & Shopping > Classifieds,1,00:03:19,6.33,40.75%
21,bazos.sk,Ecommerce & Shopping > Classifieds,1,00:09:27,15.26,23.39%
22,olx.co.id,Ecommerce & Shopping > Classifieds,3,00:05:33,7.55,37.06%
23,gumtree.com.au,Ecommerce & Shopping > Classifieds,2,00:05:04,6.26,27.66%
24,dba.dk,Ecommerce & Shopping > Classifieds,1,00:05:15,12.41,26.17%
25,2dehands.be,Ecommerce & Shopping > Classifieds,1,00:07:32,8.45,29.07%
26,redbrain.shop,Ecommerce & Shopping > Classifieds,2,00:00:45,1.45,59.53%
27,olx.bg,Ecommerce & Shopping > Classifieds,=,00:04:49,6.95,20.54%
28,thribee.com,Ecommerce & Shopping > Classifieds,1,00:01:56,2.63,56.89%
29,publi24.ro,Ecommerce & Shopping > Classifieds,3,00:07:21,18.97,24.77%
30,yad2.co.il,Ecommerce & Shopping > Classifieds,2,00:08:01,8.83,31.46%
31,jofogas.hu,Ecommerce & Shopping > Classifieds,=,00:06:23,6.87,31.21%
32,oikotie.fi,Ecommerce & Shopping > Classifieds,2,00:04:52,8.44,33.46%
33,olx.com.pk,Ecommerce & Shopping > Classifieds,=,00:04:21,7.41,24.56%
34,vivastreet.co.uk,Ecommerce & Shopping > Classifieds,=,00:10:04,20.56,23.92%
35,skelbiu.lt,Ecommerce & Shopping > Classifieds,1,00:08:45,14.85,21.36%
36,etuovi.com,Ecommerce & Shopping > Classifieds,1,00:06:07,6.17,38.43%
37,olx.kz,Ecommerce & Shopping > Classifieds,=,00:04:27,6.90,45.08%
38,ingatlan.com,Ecommerce & Shopping > Classifieds,1,00:08:42,5.95,27.9%
39,autoplius.lt,Ecommerce & Shopping > Classifieds,1,00:09:29,18.21,19.55%
40,chotot.com,Ecommerce & Shopping > Classifieds,2,00:06:41,8.02,34.42%
41,tutti.ch,Ecommerce & Shopping > Classifieds,1,00:07:02,8.79,28.76%
42,olx.ba,Ecommerce & Shopping > Classifieds,1,00:08:33,8.19,29.05%
43,bazar.bg,Ecommerce & Shopping > Classifieds,=,00:06:41,10.29,26.23%
44,dubizzle.com,Ecommerce & Shopping > Classifieds,=,00:06:45,9.27,26.62%
45,arabam.com,Ecommerce & Shopping > Classifieds,4,00:04:15,6.26,39.31%
46,homegate.ch,Ecommerce & Shopping > Classifieds,1,00:05:37,5.44,36.2%
47,ikman.lk,Ecommerce & Shopping > Classifieds,1,00:07:06,9.23,25.68%
48,58.com,Ecommerce & Shopping > Classifieds,21,00:04:10,6.11,44.24%
49,alo.bg,Ecommerce & Shopping > Classifieds,1,00:08:30,11.40,28.45%
50,quoka.de,Ecommerce & Shopping > Classifieds,2,00:06:29,8.33,30.35%
