Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,rakuten.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:18,2.10,53.47%
2,slickdeals.net,Ecommerce & Shopping > Coupons and Rebates,=,00:04:41,4.14,39.3%
3,capitaloneshopping.com,Ecommerce & Shopping > Coupons and Rebates,=,00:01:55,1.87,65.73%
4,provenpixel.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:14,1.56,76.64%
5,ozbargain.com.au,Ecommerce & Shopping > Coupons and Rebates,1,00:05:30,3.68,36.14%
6,ecnavi.jp,Ecommerce & Shopping > Coupons and Rebates,1,00:09:39,13.29,20.25%
7,914trk.com,Ecommerce & Shopping > Coupons and Rebates,6,00:00:12,1.10,92.5%
8,hotukdeals.com,Ecommerce & Shopping > Coupons and Rebates,2,00:04:10,3.86,30.83%
9,temu.to,Ecommerce & Shopping > Coupons and Rebates,1,00:02:00,1.24,81.8%
10,swagbucks.com,Ecommerce & Shopping > Coupons and Rebates,1,00:05:28,6.92,32.24%
11,groupon.com,Ecommerce & Shopping > Coupons and Rebates,1,00:02:36,3.56,46.5%
12,dealabs.com,Ecommerce & Shopping > Coupons and Rebates,3,00:03:25,3.46,37.11%
13,linksprf.com,Ecommerce & Shopping > Coupons and Rebates,1,00:00:46,1.21,86.18%
14,shiprocket.co,Ecommerce & Shopping > Coupons and Rebates,5,00:01:15,1.78,38.41%
15,promodescuentos.com,Ecommerce & Shopping > Coupons and Rebates,=,00:03:07,3.83,53.44%
16,retailmenot.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:21,3.08,34.95%
17,woot.com,Ecommerce & Shopping > Coupons and Rebates,1,00:02:52,5.10,36.67%
18,chollometro.com,Ecommerce & Shopping > Coupons and Rebates,1,00:04:45,3.27,46.38%
19,phonepe.com,Ecommerce & Shopping > Coupons and Rebates,2,00:03:29,3.03,57.56%
20,couponfollow.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:36,4.36,21.59%
21,coupert.com,Ecommerce & Shopping > Coupons and Rebates,2,00:01:47,2.42,43.3%
22,joinhoney.com,Ecommerce & Shopping > Coupons and Rebates,6,00:01:09,2.31,52.62%
23,meliuz.com.br,Ecommerce & Shopping > Coupons and Rebates,3,00:02:09,2.12,34.4%
24,redflagdeals.com,Ecommerce & Shopping > Coupons and Rebates,=,00:05:15,4.49,37.7%
25,discounthero.org,Ecommerce & Shopping > Coupons and Rebates,5,00:00:27,1.11,90.36%
26,pxf.io,Ecommerce & Shopping > Coupons and Rebates,6,00:00:21,1.31,66.26%
27,mypoints.com,Ecommerce & Shopping > Coupons and Rebates,2,00:05:42,5.91,24.3%
28,bradsdeals.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:43,2.76,44.07%
29,promokodi.net,Ecommerce & Shopping > Coupons and Rebates,=,00:00:56,2.78,19.44%
30,brandreward.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:31,1.37,53.02%
31,tataneu.com,Ecommerce & Shopping > Coupons and Rebates,204,00:03:01,3.60,49.52%
32,coupons.com,Ecommerce & Shopping > Coupons and Rebates,=,00:01:49,3.83,39.15%
33,shoptin.de,Ecommerce & Shopping > Coupons and Rebates,=,00:00:01,1.01,99.69%
34,dealnews.com,Ecommerce & Shopping > Coupons and Rebates,3,00:02:01,1.92,59.13%
35,flybuys.com.au,Ecommerce & Shopping > Coupons and Rebates,1,00:01:46,4.45,24.57%
36,euqueronestle.com.br,Ecommerce & Shopping > Coupons and Rebates,85,00:01:39,1.85,56.02%
37,99taxis.mobi,Ecommerce & Shopping > Coupons and Rebates,10,00:00:56,1.48,27.3%
38,wowcher.co.uk,Ecommerce & Shopping > Coupons and Rebates,3,00:03:10,3.59,40.81%
39,worthepenny.com,Ecommerce & Shopping > Coupons and Rebates,=,00:02:06,6.55,23.09%
40,cashkaro.com,Ecommerce & Shopping > Coupons and Rebates,2,00:03:35,2.63,41.09%
41,newprogrammatic.click,Ecommerce & Shopping > Coupons and Rebates,5,00:00:02,1.05,96.58%
42,shadowfax.in,Ecommerce & Shopping > Coupons and Rebates,8,00:08:23,7.90,46.37%
43,bluelightcard.co.uk,Ecommerce & Shopping > Coupons and Rebates,6,00:02:52,3.15,41.91%
44,pepper.com,Ecommerce & Shopping > Coupons and Rebates,3,00:03:53,3.51,39.22%
45,kaufda.de,Ecommerce & Shopping > Coupons and Rebates,1,00:02:51,8.89,48.32%
46,slevomat.cz,Ecommerce & Shopping > Coupons and Rebates,6,00:03:35,5.08,35.15%
47,thekrazycouponlady.com,Ecommerce & Shopping > Coupons and Rebates,5,00:02:33,2.29,54.28%
48,vouchercodes.co.uk,Ecommerce & Shopping > Coupons and Rebates,3,00:01:22,2.65,32.89%
49,dealmoon.com,Ecommerce & Shopping > Coupons and Rebates,1,00:03:29,3.24,45.51%
50,hotdeals.com,Ecommerce & Shopping > Coupons and Rebates,3,00:00:51,3.46,25.13%
