Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,coupang.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:11,6.08,18.91%
2,shopping.yahoo.co.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:44,3.80,42.96%
3,kleinanzeigen.de,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:07:20,9.55,29.22%
4,shopping.naver.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:06:22,6.28,34.01%
5,ssg.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:02:26,3.12,59.49%
6,alibaba-inc.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:07:16,7.40,10.68%
7,my-best.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:01:48,1.68,64.83%
8,poshmark.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:04:39,6.08,42.58%
9,gmarket.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:44,5.77,19.34%
10,meesho.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:05:11,7.06,47.35%
11,11st.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:58,4.62,24.37%
12,valuecommerce.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:01:28,2.19,30.97%
13,markt.de,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:10:27,14.37,19.95%
14,e-himart.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:00:56,1.91,51.42%
15,cjlogistics.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:29,2.26,48.81%
16,lotteon.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:18,2.74,66.14%
17,litres.ru,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:03:57,3.35,42.92%
18,boots.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:03:53,4.10,47.59%
19,michaels.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:15,4.64,45.06%
20,papy.co.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:08:31,6.65,29.68%
21,l-tike.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:04:50,6.67,42.66%
22,amazon.se,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:01:30,5.38,60.64%
23,oliveyoung.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:02:02,4.64,46.72%
24,fnac.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:02:59,3.91,45.25%
25,n11.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:03:17,3.77,33.42%
26,wallapop.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:07:06,8.02,32.71%
27,falabella.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,4,00:04:46,4.72,39.8%
28,ponta.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:03:22,6.78,19.79%
29,kelkoogroup.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:00:32,1.49,60.93%
30,qvc.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:05:10,5.23,47.39%
31,alza.cz,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:44,6.04,30.26%
32,muji.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:01:32,3.80,38.62%
33,kt.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:02:56,3.56,53.03%
34,empik.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:33,3.75,31.46%
35,pepper.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,2,00:05:00,3.91,33.4%
36,shufoo.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,6,00:02:11,2.59,49.39%
37,daraz.pk,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:03:41,5.09,21.03%
38,barnesandnoble.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:02:54,4.23,47.09%
39,wal-mart.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:03:16,4.80,55.07%
40,p-bandai.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,14,00:04:03,5.06,41.62%
41,amazon.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,=,00:02:19,4.81,49.37%
42,kyobobook.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:04:26,6.31,39.78%
43,yes24.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,8,00:03:37,5.58,37.13%
44,adcell.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,5,00:04:24,1.98,58.79%
45,homeplus.co.kr,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:02:21,5.14,28.24%
46,jmty.jp,Ecommerce & Shopping > Ecommerce and Shopping - Other,1,00:06:10,7.17,35.61%
47,meshok.net,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:09:22,11.74,32.87%
48,ohou.se,Ecommerce & Shopping > Ecommerce and Shopping - Other,41,00:04:09,5.23,41.83%
49,therealreal.com,Ecommerce & Shopping > Ecommerce and Shopping - Other,3,00:06:18,10.20,39.05%
50,allegrolokalnie.pl,Ecommerce & Shopping > Ecommerce and Shopping - Other,4,00:08:32,6.77,23.73%
