Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,amazon.com,Ecommerce & Shopping > Marketplace,=,00:05:51,8.94,33.37%
2,temu.com,Ecommerce & Shopping > Marketplace,=,00:04:01,4.90,53.2%
3,aliexpress.com,Ecommerce & Shopping > Marketplace,=,00:04:43,4.66,39.63%
4,ebay.com,Ecommerce & Shopping > Marketplace,=,00:06:25,6.93,38.68%
5,amazon.co.jp,Ecommerce & Shopping > Marketplace,=,00:06:57,7.40,37%
6,rakuten.co.jp,Ecommerce & Shopping > Marketplace,=,00:06:27,7.34,36.83%
7,ozon.ru,Ecommerce & Shopping > Marketplace,2,00:09:17,11.82,25.65%
8,walmart.com,Ecommerce & Shopping > Marketplace,1,00:04:21,4.94,49.33%
9,amazon.in,Ecommerce & Shopping > Marketplace,1,00:04:04,7.07,38.91%
10,amazon.de,Ecommerce & Shopping > Marketplace,1,00:06:13,9.04,31.77%
11,etsy.com,Ecommerce & Shopping > Marketplace,1,00:05:09,6.26,41.14%
12,amazon.co.uk,Ecommerce & Shopping > Marketplace,=,00:05:24,7.63,32.65%
13,wildberries.ru,Ecommerce & Shopping > Marketplace,=,00:10:52,13.08,26.87%
14,mercadolivre.com.br,Ecommerce & Shopping > Marketplace,=,00:07:45,8.35,37.19%
15,ebay.co.uk,Ecommerce & Shopping > Marketplace,1,00:07:55,8.44,30.14%
16,amazon.it,Ecommerce & Shopping > Marketplace,1,00:04:58,8.40,25.49%
17,taobao.com,Ecommerce & Shopping > Marketplace,6,00:07:45,11.73,28.43%
18,amazon.fr,Ecommerce & Shopping > Marketplace,=,00:04:56,8.15,23.72%
19,allegro.pl,Ecommerce & Shopping > Marketplace,2,00:07:10,9.53,24.62%
20,amazon.com.br,Ecommerce & Shopping > Marketplace,=,00:03:32,5.57,40.71%
21,amazon.ca,Ecommerce & Shopping > Marketplace,4,00:05:12,9.71,28.15%
22,flipkart.com,Ecommerce & Shopping > Marketplace,3,00:04:59,6.37,50.67%
23,shopee.vn,Ecommerce & Shopping > Marketplace,1,00:04:44,6.25,28.31%
24,target.com,Ecommerce & Shopping > Marketplace,2,00:03:30,4.88,40.76%
25,market.yandex.ru,Ecommerce & Shopping > Marketplace,1,00:06:06,9.33,22.3%
26,mercari.com,Ecommerce & Shopping > Marketplace,1,00:07:21,8.80,33.47%
27,shopee.com.br,Ecommerce & Shopping > Marketplace,=,00:10:49,7.74,35.45%
28,shopee.co.id,Ecommerce & Shopping > Marketplace,=,00:07:48,8.53,34.84%
29,ebay.de,Ecommerce & Shopping > Marketplace,=,00:07:54,7.80,30.29%
30,amazon.es,Ecommerce & Shopping > Marketplace,=,00:06:11,8.37,31.66%
31,trendyol.com,Ecommerce & Shopping > Marketplace,2,00:08:13,8.16,32.27%
32,dmm.com,Ecommerce & Shopping > Marketplace,1,00:05:29,4.46,41.09%
33,shopee.co.th,Ecommerce & Shopping > Marketplace,1,00:04:23,6.71,18.6%
34,mercadolibre.com.ar,Ecommerce & Shopping > Marketplace,=,00:07:48,11.22,30.29%
35,costco.com,Ecommerce & Shopping > Marketplace,=,00:03:59,5.41,37.17%
36,olx.com.br,Ecommerce & Shopping > Marketplace,2,00:07:23,7.07,33.23%
37,mercadolibre.com.mx,Ecommerce & Shopping > Marketplace,=,00:06:14,8.00,38.9%
38,olx.pl,Ecommerce & Shopping > Marketplace,2,00:09:46,11.34,23.59%
39,wayfair.com,Ecommerce & Shopping > Marketplace,3,00:05:09,5.58,45.99%
40,amazon.com.mx,Ecommerce & Shopping > Marketplace,1,00:04:28,6.63,47.4%
41,jd.com,Ecommerce & Shopping > Marketplace,=,00:07:39,9.78,23.37%
42,alibaba.com,Ecommerce & Shopping > Marketplace,2,00:06:40,6.94,41.76%
43,dns-shop.ru,Ecommerce & Shopping > Marketplace,=,00:05:15,5.60,25.37%
44,bol.com,Ecommerce & Shopping > Marketplace,2,00:05:20,6.28,37.12%
45,aliexpress.ru,Ecommerce & Shopping > Marketplace,2,00:05:38,8.70,30.76%
46,amazon.com.au,Ecommerce & Shopping > Marketplace,1,00:03:41,6.25,35.25%
47,tokopedia.com,Ecommerce & Shopping > Marketplace,1,00:07:11,8.52,34.91%
48,hepsiburada.com,Ecommerce & Shopping > Marketplace,=,00:05:01,6.20,39.53%
49,tmall.com,Ecommerce & Shopping > Marketplace,2,00:08:33,13.60,20.83%
50,shopee.ph,Ecommerce & Shopping > Marketplace,=,00:05:21,7.11,41%
