Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,kakaku.com,Ecommerce & Shopping > Price Comparison,=,00:05:01,4.76,43.08%
2,idealo.de,Ecommerce & Shopping > Price Comparison,=,00:03:03,3.33,43.4%
3,akakce.com,Ecommerce & Shopping > Price Comparison,=,00:02:20,3.89,31.04%
4,ceneo.pl,Ecommerce & Shopping > Price Comparison,=,00:02:05,3.09,28.06%
5,mydealz.de,Ecommerce & Shopping > Price Comparison,=,00:04:41,4.10,41.75%
6,trovaprezzi.it,Ecommerce & Shopping > Price Comparison,=,00:02:29,2.60,43.98%
7,tweakers.net,Ecommerce & Shopping > Price Comparison,=,00:04:10,4.06,39.89%
8,epey.com,Ecommerce & Shopping > Price Comparison,=,00:04:10,4.12,48.07%
9,cimri.com,Ecommerce & Shopping > Price Comparison,2,00:01:34,2.94,38.21%
10,heureka.cz,Ecommerce & Shopping > Price Comparison,1,00:03:25,4.71,24.64%
11,smartprix.com,Ecommerce & Shopping > Price Comparison,1,00:02:14,3.01,47.56%
12,bizrate.com,Ecommerce & Shopping > Price Comparison,=,00:01:15,1.35,74.28%
13,olx.pt,Ecommerce & Shopping > Price Comparison,1,00:07:25,7.51,28.57%
14,arukereso.hu,Ecommerce & Shopping > Price Comparison,1,00:04:12,4.66,38.01%
15,zbozi.cz,Ecommerce & Shopping > Price Comparison,2,00:02:47,3.07,43.6%
16,yadore.com,Ecommerce & Shopping > Price Comparison,3,00:00:05,1.08,92.6%
17,geizhals.de,Ecommerce & Shopping > Price Comparison,=,00:03:57,5.50,37.88%
18,idealo.fr,Ecommerce & Shopping > Price Comparison,2,00:01:55,2.79,35.39%
19,hotline.ua,Ecommerce & Shopping > Price Comparison,3,00:03:59,4.09,36.81%
20,buscape.com.br,Ecommerce & Shopping > Price Comparison,2,00:02:26,2.99,47.37%
21,dealsrazor.com,Ecommerce & Shopping > Price Comparison,38,00:00:05,1.09,93.81%
22,comparis.ch,Ecommerce & Shopping > Price Comparison,3,00:05:00,5.44,41.34%
23,aucfan.com,Ecommerce & Shopping > Price Comparison,3,00:04:55,3.82,49.81%
24,prisjakt.nu,Ecommerce & Shopping > Price Comparison,3,00:02:30,3.54,44.05%
25,bestprice.gr,Ecommerce & Shopping > Price Comparison,2,00:03:44,4.15,35.14%
26,heureka.sk,Ecommerce & Shopping > Price Comparison,=,00:02:50,4.82,23.56%
27,prisjakt.no,Ecommerce & Shopping > Price Comparison,3,00:02:19,3.35,39.82%
28,pricerunner.dk,Ecommerce & Shopping > Price Comparison,1,00:02:49,3.60,39.03%
29,shoppermeet.net,Ecommerce & Shopping > Price Comparison,=,00:00:05,1.07,91.84%
30,conexaomadura.com.br,Ecommerce & Shopping > Price Comparison,=,00:01:27,2.27,49.51%
31,ek.ua,Ecommerce & Shopping > Price Comparison,2,00:05:11,5.91,33.76%
32,priceoye.pk,Ecommerce & Shopping > Price Comparison,=,00:03:26,4.50,35.9%
33,zap.co.il,Ecommerce & Shopping > Price Comparison,2,00:04:02,3.85,45.52%
34,click-ecom.com,Ecommerce & Shopping > Price Comparison,10,00:00:18,1.08,93.63%
35,skapiec.pl,Ecommerce & Shopping > Price Comparison,5,00:00:38,2.41,28.63%
36,compari.ro,Ecommerce & Shopping > Price Comparison,2,00:02:55,2.83,48.96%
37,idealo.es,Ecommerce & Shopping > Price Comparison,9,00:02:36,2.84,46.21%
38,eponuda.com,Ecommerce & Shopping > Price Comparison,1,00:02:17,3.36,28.27%
39,moyo.ua,Ecommerce & Shopping > Price Comparison,3,00:02:25,2.40,45.34%
40,idealo.it,Ecommerce & Shopping > Price Comparison,4,00:01:59,2.63,51.93%
41,pricerunner.se,Ecommerce & Shopping > Price Comparison,6,00:01:46,2.80,47.02%
42,kuantokusta.pt,Ecommerce & Shopping > Price Comparison,4,00:04:06,3.44,41.02%
43,geizhals.at,Ecommerce & Shopping > Price Comparison,4,00:03:43,4.87,43.02%
44,toppreise.ch,Ecommerce & Shopping > Price Comparison,4,00:03:32,4.12,32.11%
45,beslist.nl,Ecommerce & Shopping > Price Comparison,1,00:01:54,2.13,56.1%
46,lemeilleuravis.fr,Ecommerce & Shopping > Price Comparison,1,00:00:38,1.36,50.71%
47,coolblue.de,Ecommerce & Shopping > Price Comparison,=,00:02:18,3.32,39.81%
48,muropaketti.com,Ecommerce & Shopping > Price Comparison,=,00:01:12,1.92,37.51%
49,custojusto.pt,Ecommerce & Shopping > Price Comparison,2,00:06:20,8.85,32.74%
50,maudau.com.ua,Ecommerce & Shopping > Price Comparison,3,00:03:14,3.37,58.48%
