Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ticketmaster.com,Ecommerce & Shopping > Tickets,=,00:03:02,3.58,47.21%
2,eventbrite.com,Ecommerce & Shopping > Tickets,=,00:02:28,2.94,53.53%
3,stubhub.com,Ecommerce & Shopping > Tickets,=,00:02:54,4.95,39.27%
4,pia.jp,Ecommerce & Shopping > Tickets,=,00:04:32,6.40,35.45%
5,ticketmaster.co.uk,Ecommerce & Shopping > Tickets,9,00:03:42,4.36,39.29%
6,livenation.com,Ecommerce & Shopping > Tickets,4,00:02:28,2.57,55.57%
7,axs.com,Ecommerce & Shopping > Tickets,1,00:03:08,4.50,39.21%
8,seatgeek.com,Ecommerce & Shopping > Tickets,1,00:03:11,3.82,42.72%
9,feverup.com,Ecommerce & Shopping > Tickets,4,00:01:51,2.47,46.68%
10,sympla.com.br,Ecommerce & Shopping > Tickets,4,00:01:54,2.09,53.3%
11,eventim.de,Ecommerce & Shopping > Tickets,2,00:02:49,3.64,42.51%
12,eplus.jp,Ecommerce & Shopping > Tickets,1,00:03:28,5.39,41.83%
13,ticketmaster.ca,Ecommerce & Shopping > Tickets,3,00:03:28,3.80,43.65%
14,vividseats.com,Ecommerce & Shopping > Tickets,2,00:03:09,4.08,53.02%
15,ticketone.it,Ecommerce & Shopping > Tickets,3,00:03:19,4.41,29.07%
16,songkick.com,Ecommerce & Shopping > Tickets,1,00:01:07,2.66,38.6%
17,ticketmaster.com.mx,Ecommerce & Shopping > Tickets,=,00:03:39,3.86,32.17%
18,eventbrite.co.uk,Ecommerce & Shopping > Tickets,1,00:02:19,2.81,52.65%
19,biletinial.com,Ecommerce & Shopping > Tickets,6,00:01:57,3.37,53.78%
20,viagogo.com,Ecommerce & Shopping > Tickets,1,00:02:33,4.94,38.92%
21,kassir.ru,Ecommerce & Shopping > Tickets,1,00:02:27,2.64,42.19%
22,ticketmaster.fr,Ecommerce & Shopping > Tickets,8,00:03:30,5.62,35.01%
23,ticketek.com.au,Ecommerce & Shopping > Tickets,2,00:03:52,4.96,35.68%
24,tickets-center.com,Ecommerce & Shopping > Tickets,2,00:01:38,2.89,52.41%
25,seetickets.com,Ecommerce & Shopping > Tickets,1,00:02:29,3.19,39.33%
26,ticketjam.jp,Ecommerce & Shopping > Tickets,2,00:03:25,3.83,45.82%
27,fnacspectacles.com,Ecommerce & Shopping > Tickets,2,00:02:35,3.68,33.8%
28,eventbrite.ca,Ecommerce & Shopping > Tickets,1,00:02:35,3.15,52.32%
29,puntoticket.com,Ecommerce & Shopping > Tickets,8,00:03:28,4.50,36.06%
30,ticketsonsale.com,Ecommerce & Shopping > Tickets,1,00:01:12,2.62,47.95%
31,ticketland.ru,Ecommerce & Shopping > Tickets,5,00:03:03,4.37,31.07%
32,banlek.com,Ecommerce & Shopping > Tickets,3,00:01:51,9.53,22.48%
33,ticketweb.com,Ecommerce & Shopping > Tickets,1,00:02:01,2.81,64.01%
34,ticket.co.jp,Ecommerce & Shopping > Tickets,10,00:04:33,4.23,44.45%
35,ticketmaster.nl,Ecommerce & Shopping > Tickets,17,00:03:24,4.08,41.57%
36,ticketmaster.es,Ecommerce & Shopping > Tickets,21,00:02:46,3.46,42.34%
37,ebilet.pl,Ecommerce & Shopping > Tickets,2,00:01:40,2.61,26.69%
38,humanitix.com,Ecommerce & Shopping > Tickets,10,00:02:29,3.36,39.71%
39,ticketmaster.de,Ecommerce & Shopping > Tickets,15,00:02:47,3.58,43.36%
40,ticketmaster.com.au,Ecommerce & Shopping > Tickets,17,00:02:51,3.20,41.85%
41,ticketmaster.com.br,Ecommerce & Shopping > Tickets,12,00:02:36,2.85,50.08%
42,eventbrite.com.au,Ecommerce & Shopping > Tickets,4,00:02:38,2.93,53.5%
43,atgtickets.com,Ecommerce & Shopping > Tickets,9,00:03:32,5.02,43.08%
44,vivaticket.com,Ecommerce & Shopping > Tickets,2,00:02:58,4.11,29.41%
45,peatix.com,Ecommerce & Shopping > Tickets,5,00:03:51,3.88,49.22%
46,tuboleta.com,Ecommerce & Shopping > Tickets,3,00:05:23,4.80,28.35%
47,livenation.co.uk,Ecommerce & Shopping > Tickets,75,00:02:29,3.75,43.52%
48,entradas.com,Ecommerce & Shopping > Tickets,15,00:02:40,3.61,32.1%
49,ticketmaster.ie,Ecommerce & Shopping > Tickets,=,00:02:55,3.46,38.78%
50,ticketmaster.pl,Ecommerce & Shopping > Tickets,60,00:03:37,5.31,27.53%
