Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,kontur.ru,Finance > Accounting and Auditing,=,00:09:01,9.88,32.53%
2,hrblock.com,Finance > Accounting and Auditing,=,00:19:41,8.08,30.68%
3,cleartax.in,Finance > Accounting and Auditing,=,00:01:56,1.94,56.44%
4,icai.org,Finance > Accounting and Auditing,=,00:04:58,5.78,31.59%
5,podatki.gov.pl,Finance > Accounting and Auditing,21,00:07:55,12.05,31.1%
6,deloitte.com,Finance > Accounting and Auditing,=,00:05:19,5.38,42.25%
7,ottplay.com,Finance > Accounting and Auditing,2,00:01:18,1.76,67.86%
8,paysec-3dssvgw.com,Finance > Accounting and Auditing,=,00:02:13,3.59,23.54%
9,paytmpayments.com,Finance > Accounting and Auditing,2,00:02:13,2.64,35.3%
10,audit-it.ru,Finance > Accounting and Auditing,=,00:01:51,1.73,67.09%
11,teachoo.com,Finance > Accounting and Auditing,2,00:07:37,3.82,44.41%
12,taxact.com,Finance > Accounting and Auditing,8,00:07:14,5.91,39.45%
13,urzadskarbowy.gov.pl,Finance > Accounting and Auditing,65,00:05:39,10.77,20.99%
14,habuild.in,Finance > Accounting and Auditing,=,00:01:06,1.82,54.59%
15,infomart.co.jp,Finance > Accounting and Auditing,4,00:07:37,8.81,19.6%
16,ey.com,Finance > Accounting and Auditing,4,00:02:37,4.72,51.01%
17,taxconcept.net,Finance > Accounting and Auditing,4,00:01:41,1.53,65.81%
18,pwc.com,Finance > Accounting and Auditing,3,00:03:02,3.58,48.21%
19,intuitcdn.net,Finance > Accounting and Auditing,43,00:02:01,1.47,75.73%
20,klerk.ru,Finance > Accounting and Auditing,2,00:01:53,1.57,70.85%
21,studycafe.in,Finance > Accounting and Auditing,3,00:02:07,1.80,59.8%
22,paypay-card.co.jp,Finance > Accounting and Auditing,6,00:03:03,3.58,43.13%
23,mykomon.com,Finance > Accounting and Auditing,2,00:12:12,6.52,20.9%
24,poradnikprzedsiebiorcy.pl,Finance > Accounting and Auditing,5,00:01:51,1.52,67.37%
25,efatura.gov.tr,Finance > Accounting and Auditing,8,00:06:31,6.46,16.2%
26,accaglobal.com,Finance > Accounting and Auditing,2,00:07:01,8.26,35.76%
27,corporatefinanceinstitute.com,Finance > Accounting and Auditing,2,00:03:36,3.35,63.75%
28,taxslayer.com,Finance > Accounting and Auditing,23,00:12:24,22.75,36.96%
29,taxscan.in,Finance > Accounting and Auditing,2,00:01:06,2.16,34.57%
30,buhonline.ru,Finance > Accounting and Auditing,6,00:02:51,3.54,66.7%
31,fakturownia.pl,Finance > Accounting and Auditing,2,00:09:44,8.19,21.37%
32,edmbilisim.com.tr,Finance > Accounting and Auditing,2,00:11:39,9.94,15.2%
33,pacjent.gov.pl,Finance > Accounting and Auditing,5,00:05:20,6.88,38.59%
34,kpmg.com,Finance > Accounting and Auditing,2,00:02:06,2.58,55.16%
35,eej.at,Finance > Accounting and Auditing,12,00:01:17,1.42,77.54%
36,nalog-nalog.ru,Finance > Accounting and Auditing,2,00:01:49,1.75,64.23%
37,sompo-japan.co.jp,Finance > Accounting and Auditing,2,00:02:48,8.29,42.98%
38,action-media.ru,Finance > Accounting and Auditing,9,00:04:52,2.84,55.17%
39,defterbeyan.gov.tr,Finance > Accounting and Auditing,8,00:18:49,32.02,9.29%
40,rzp.io,Finance > Accounting and Auditing,4,00:00:28,1.54,41.1%
41,egov-nsdl.com,Finance > Accounting and Auditing,8,00:07:03,7.49,25.35%
42,onvio.us,Finance > Accounting and Auditing,17,00:08:55,11.24,47.79%
43,vero.fi,Finance > Accounting and Auditing,8,00:05:36,10.56,28.62%
44,jacksonhewitt.com,Finance > Accounting and Auditing,11,00:03:53,5.64,48.44%
45,biznes.gov.pl,Finance > Accounting and Auditing,8,00:05:35,10.37,47.61%
46,assistentus.ru,Finance > Accounting and Auditing,5,00:01:35,1.70,61.3%
47,buhexpert8.ru,Finance > Accounting and Auditing,5,00:03:24,2.08,63.64%
48,gofin.pl,Finance > Accounting and Auditing,8,00:03:20,2.60,53.26%
49,smbcgroup-point.jp,Finance > Accounting and Auditing,7,00:01:56,4.24,20.73%
50,moj.gov.pl,Finance > Accounting and Auditing,35,00:04:47,5.34,19.09%
