Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,paypal.com,Finance > Banking Credit and Lending,=,00:02:45,4.89,20.82%
2,chase.com,Finance > Banking Credit and Lending,=,00:07:18,10.42,17.81%
3,capitalone.com,Finance > Banking Credit and Lending,=,00:05:27,7.75,21.45%
4,citi.com,Finance > Banking Credit and Lending,=,00:09:23,5.05,20.94%
5,bankofamerica.com,Finance > Banking Credit and Lending,=,00:06:25,7.07,18.29%
6,wellsfargo.com,Finance > Banking Credit and Lending,1,00:05:48,10.89,16.48%
7,americanexpress.com,Finance > Banking Credit and Lending,1,00:04:23,5.72,27.33%
8,hdfcbank.com,Finance > Banking Credit and Lending,=,00:05:00,5.64,28.41%
9,tbank.ru,Finance > Banking Credit and Lending,=,00:04:06,4.18,54.37%
10,caixa.gov.br,Finance > Banking Credit and Lending,=,00:06:28,7.12,36.97%
11,wise.com,Finance > Banking Credit and Lending,1,00:02:39,3.48,59.53%
12,creditkarma.com,Finance > Banking Credit and Lending,5,00:02:33,4.95,37.29%
13,icicibank.com,Finance > Banking Credit and Lending,=,00:05:19,8.74,27.43%
14,td.com,Finance > Banking Credit and Lending,=,00:05:03,8.88,22.86%
15,bancoestado.cl,Finance > Banking Credit and Lending,=,00:04:00,6.31,15.02%
16,sberbank.ru,Finance > Banking Credit and Lending,3,00:05:15,6.72,26.9%
17,discover.com,Finance > Banking Credit and Lending,1,00:03:53,5.56,21.81%
18,ideal.nl,Finance > Banking Credit and Lending,4,00:00:52,1.39,68.27%
19,synchrony.com,Finance > Banking Credit and Lending,1,00:03:31,3.90,33.45%
20,alfabank.ru,Finance > Banking Credit and Lending,=,00:03:26,4.36,30.24%
21,syf.com,Finance > Banking Credit and Lending,=,00:02:04,3.11,42.64%
22,serasa.com.br,Finance > Banking Credit and Lending,1,00:02:43,5.26,38.76%
23,banki.ru,Finance > Banking Credit and Lending,1,00:02:01,2.50,53.8%
24,usbank.com,Finance > Banking Credit and Lending,3,00:05:48,7.26,19.8%
25,bb.com.br,Finance > Banking Credit and Lending,=,00:08:08,6.26,27.84%
26,nubank.com.br,Finance > Banking Credit and Lending,3,00:01:40,1.58,66.66%
27,royalbank.com,Finance > Banking Credit and Lending,1,00:06:52,14.91,10.26%
28,rakuten-bank.co.jp,Finance > Banking Credit and Lending,=,00:03:11,5.60,24.23%
29,bmo.com,Finance > Banking Credit and Lending,1,00:05:06,8.14,18.87%
30,pnc.com,Finance > Banking Credit and Lending,3,00:04:34,4.16,18.08%
31,itau.com.br,Finance > Banking Credit and Lending,4,00:02:53,4.78,25.58%
32,rbcroyalbank.com,Finance > Banking Credit and Lending,1,00:03:43,2.06,45.89%
33,interac.ca,Finance > Banking Credit and Lending,1,00:01:57,2.28,49.62%
34,bwanet.ca,Finance > Banking Credit and Lending,2,00:04:45,2.23,46.47%
35,citibankonline.com,Finance > Banking Credit and Lending,3,00:04:04,3.90,32.83%
36,commbank.com.au,Finance > Banking Credit and Lending,3,00:04:35,6.90,18.84%
37,scotiabank.com,Finance > Banking Credit and Lending,=,00:05:10,6.53,27.48%
38,maybank2u.com.my,Finance > Banking Credit and Lending,4,00:06:23,11.76,22.53%
39,cibc.com,Finance > Banking Credit and Lending,1,00:04:37,8.27,23.41%
40,bankid.no,Finance > Banking Credit and Lending,1,00:02:36,4.07,15.61%
41,healthy.kaiserpermanente.org,Finance > Banking Credit and Lending,2,00:06:36,5.41,35.38%
42,ing.nl,Finance > Banking Credit and Lending,2,00:02:33,4.25,16.13%
43,sravni.ru,Finance > Banking Credit and Lending,6,00:01:44,2.03,44.58%
44,rabobank.nl,Finance > Banking Credit and Lending,=,00:03:02,6.04,22.43%
45,sofi.com,Finance > Banking Credit and Lending,2,00:03:48,5.95,25.2%
46,navyfederal.org,Finance > Banking Credit and Lending,=,00:05:50,8.16,20.73%
47,tinkoff.ru,Finance > Banking Credit and Lending,36,00:06:15,10.89,38.22%
48,transbank.cl,Finance > Banking Credit and Lending,3,00:02:23,7.30,4.25%
49,santander.com.br,Finance > Banking Credit and Lending,4,00:03:23,3.77,42.13%
50,axisbank.co.in,Finance > Banking Credit and Lending,2,00:04:54,5.72,25.12%
