Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,intuit.com,Finance > Finance - Other,=,00:11:12,9.66,24.88%
2,trustpilot.com,Finance > Finance - Other,=,00:02:04,2.09,51.75%
3,marketwatch.com,Finance > Finance - Other,1,00:05:04,2.80,56.99%
4,coinbase.com,Finance > Finance - Other,1,00:05:09,5.56,37.51%
5,money.pl,Finance > Finance - Other,1,00:01:21,1.78,35.67%
6,ft.com,Finance > Finance - Other,3,00:02:23,2.23,50.27%
7,mercadopago.com.ar,Finance > Finance - Other,2,00:06:38,4.67,44.07%
8,moneyforward.com,Finance > Finance - Other,4,00:08:50,8.34,43.44%
9,fortune.com,Finance > Finance - Other,4,00:00:43,1.39,43.21%
10,businesstoday.in,Finance > Finance - Other,3,00:00:43,1.60,42.6%
11,foxbusiness.com,Finance > Finance - Other,1,00:02:38,1.96,51.23%
12,ilsole24ore.com,Finance > Finance - Other,4,00:04:04,2.44,50.97%
13,adyen.com,Finance > Finance - Other,1,00:02:02,2.53,36.42%
14,sberbank.com,Finance > Finance - Other,3,00:00:56,1.84,34.73%
15,toyokeizai.net,Finance > Finance - Other,4,00:02:46,2.90,47.78%
16,coingecko.com,Finance > Finance - Other,8,00:03:40,2.83,61.49%
17,xe.com,Finance > Finance - Other,2,00:02:18,3.27,39.9%
18,minepi.com,Finance > Finance - Other,96,00:01:12,2.12,60.49%
19,cafef.vn,Finance > Finance - Other,4,00:01:52,3.19,22.96%
20,gate.io,Finance > Finance - Other,=,00:03:39,2.56,38.3%
21,financialexpress.com,Finance > Finance - Other,7,00:00:40,1.67,47.7%
22,nerdwallet.com,Finance > Finance - Other,4,00:01:45,2.13,62.13%
23,benjaminone.com,Finance > Finance - Other,1,00:01:52,1.62,70.89%
24,pse.com.co,Finance > Finance - Other,5,00:01:44,1.65,48.45%
25,razorpay.com,Finance > Finance - Other,4,00:02:26,3.09,36.28%
26,sber.ru,Finance > Finance - Other,4,00:00:40,1.56,39.73%
27,paycomonline.net,Finance > Finance - Other,2,00:05:36,5.99,30.36%
28,business-standard.com,Finance > Finance - Other,2,00:01:17,1.68,47.38%
29,altin.in,Finance > Finance - Other,7,00:09:30,4.46,56.42%
30,seekingalpha.com,Finance > Finance - Other,=,00:05:46,5.77,39.9%
31,short.gy,Finance > Finance - Other,14,00:03:07,6.08,62.61%
32,paypay.ne.jp,Finance > Finance - Other,5,00:02:19,1.91,59.86%
33,teamblind.com,Finance > Finance - Other,2,00:02:20,3.90,47.73%
34,bkm.com.tr,Finance > Finance - Other,2,00:01:28,2.28,18.61%
35,login.gov.pl,Finance > Finance - Other,23,00:03:28,3.95,10.51%
36,finance.naver.com,Finance > Finance - Other,3,00:08:31,9.41,28.83%
37,ebanx.com,Finance > Finance - Other,3,00:00:16,1.68,11.46%
38,doviz.com,Finance > Finance - Other,2,00:03:24,2.21,66.66%
39,payu.in,Finance > Finance - Other,=,00:03:19,5.41,19.59%
40,vakinha.com.br,Finance > Finance - Other,6,00:01:10,1.59,53.5%
41,infomoney.com.br,Finance > Finance - Other,12,00:03:00,2.02,51.34%
42,haremaltin.com,Finance > Finance - Other,12,00:02:53,2.21,67.35%
43,nequi.com.co,Finance > Finance - Other,1,00:02:35,3.16,33.47%
44,affirm.com,Finance > Finance - Other,9,00:02:31,3.71,44.45%
45,plaid.com,Finance > Finance - Other,8,00:01:23,1.74,52.77%
46,kasikornbank.com,Finance > Finance - Other,4,00:02:52,5.37,18.17%
47,shinhan.com,Finance > Finance - Other,9,00:02:23,3.57,35.07%
48,comenity.net,Finance > Finance - Other,7,00:03:31,5.17,30.18%
49,hangikredi.com,Finance > Finance - Other,1,00:02:37,2.85,29.94%
50,cash.app,Finance > Finance - Other,2,00:04:02,4.92,54.73%
