Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,adp.com,Finance > Financial Planning and Management,=,00:05:12,5.09,22.84%
2,poste.it,Finance > Financial Planning and Management,=,00:04:02,6.55,21.31%
3,nspk.ru,Finance > Financial Planning and Management,=,00:00:38,1.41,22.9%
4,klarna.com,Finance > Financial Planning and Management,=,00:01:58,4.86,23.73%
5,alipay.com,Finance > Financial Planning and Management,=,00:05:16,6.50,29.42%
6,mufg.jp,Finance > Financial Planning and Management,2,00:03:16,5.34,27.86%
7,vtb.ru,Finance > Financial Planning and Management,4,00:04:29,5.20,32.19%
8,experian.com,Finance > Financial Planning and Management,1,00:04:03,5.78,31%
9,rakuten-card.co.jp,Finance > Financial Planning and Management,2,00:02:58,4.25,34.92%
10,credit-agricole.fr,Finance > Financial Planning and Management,=,00:05:26,7.37,16.08%
11,mitid.dk,Finance > Financial Planning and Management,1,00:03:07,3.18,28.91%
12,hometax.go.kr,Finance > Financial Planning and Management,6,00:10:32,10.43,14.89%
13,smbc-card.com,Finance > Financial Planning and Management,2,00:02:09,4.62,22.5%
14,digid.nl,Finance > Financial Planning and Management,1,00:02:25,3.81,13.45%
15,check24.de,Finance > Financial Planning and Management,1,00:07:14,7.02,31.34%
16,moneysavingexpert.com,Finance > Financial Planning and Management,=,00:03:02,2.80,45.99%
17,smbc.co.jp,Finance > Financial Planning and Management,3,00:03:43,5.31,34.41%
18,myna.go.jp,Finance > Financial Planning and Management,38,00:04:25,7.88,20.59%
19,freee.co.jp,Finance > Financial Planning and Management,5,00:11:33,11.13,34.35%
20,labanquepostale.fr,Finance > Financial Planning and Management,3,00:03:52,9.03,16.96%
21,freetaxusa.com,Finance > Financial Planning and Management,40,00:06:26,4.92,32.78%
22,bancolombia.com,Finance > Financial Planning and Management,4,00:02:50,4.79,48.6%
23,redsys.es,Finance > Financial Planning and Management,3,00:02:26,4.02,10.97%
24,billdesk.com,Finance > Financial Planning and Management,5,00:03:08,4.05,21.87%
25,revolut.com,Finance > Financial Planning and Management,2,00:03:53,3.96,43.01%
26,cloud.afip.gob.ar,Finance > Financial Planning and Management,5,00:07:36,4.51,46.54%
27,caf.fr,Finance > Financial Planning and Management,5,00:05:59,10.79,18.4%
28,desjardins.com,Finance > Financial Planning and Management,=,00:05:38,11.10,16.11%
29,gmopg.jp,Finance > Financial Planning and Management,2,00:00:57,2.89,21.55%
30,mizuhobank.co.jp,Finance > Financial Planning and Management,5,00:03:27,5.68,33.46%
31,jcb.co.jp,Finance > Financial Planning and Management,1,00:02:50,4.13,33.73%
32,tokyo.lg.jp,Finance > Financial Planning and Management,=,00:02:51,3.49,44.75%
33,payu.com,Finance > Financial Planning and Management,4,00:01:03,3.04,16.84%
34,fu.do,Finance > Financial Planning and Management,7,00:21:46,37.78,12.79%
35,santander.com.ar,Finance > Financial Planning and Management,4,00:06:17,7.89,30.64%
36,saisoncard.co.jp,Finance > Financial Planning and Management,1,00:03:06,4.03,38.74%
37,kantangame.com,Finance > Financial Planning and Management,3,00:06:55,8.82,50.39%
38,afterpay.com,Finance > Financial Planning and Management,3,00:03:54,5.53,29.93%
39,shinhancard.com,Finance > Financial Planning and Management,1,00:01:48,4.10,31.87%
40,lguplus.com,Finance > Financial Planning and Management,4,00:01:11,3.04,33.12%
41,mt.co.kr,Finance > Financial Planning and Management,8,00:00:52,2.15,37.88%
42,nordea.com,Finance > Financial Planning and Management,=,00:02:40,2.49,53.76%
43,bkash.com,Finance > Financial Planning and Management,14,00:02:49,2.22,64.9%
44,bbva.com.ar,Finance > Financial Planning and Management,1,00:05:33,8.82,31%
45,patria.org.ve,Finance > Financial Planning and Management,6,00:06:16,16.88,16.72%
46,sri.gob.ec,Finance > Financial Planning and Management,7,00:13:23,17.42,17.07%
47,dolarhoy.com,Finance > Financial Planning and Management,7,00:04:41,2.14,53.94%
48,viabcp.com,Finance > Financial Planning and Management,1,00:07:10,5.63,31.44%
49,anser.ne.jp,Finance > Financial Planning and Management,3,00:05:19,12.56,12.92%
50,infocert.it,Finance > Financial Planning and Management,2,00:07:08,8.37,15.42%
