Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bajajfinserv.in,Finance > Insurance,=,00:01:44,3.20,35.38%
2,progressive.com,Finance > Insurance,=,00:04:01,6.39,36.91%
3,kaiserpermanente.org,Finance > Insurance,=,00:06:03,6.27,27.73%
4,healthsafe-id.com,Finance > Insurance,=,00:03:31,5.33,11.45%
5,usaa.com,Finance > Insurance,1,00:06:47,7.03,23.54%
6,uhc.com,Finance > Insurance,1,00:06:02,7.58,27.1%
7,statefarm.com,Finance > Insurance,=,00:04:54,7.45,30.59%
8,policybazaar.com,Finance > Insurance,2,00:03:16,4.78,56.49%
9,cigna.com,Finance > Insurance,2,00:04:57,6.15,44.8%
10,geico.com,Finance > Insurance,3,00:05:13,6.96,34.92%
11,bflcomm.in,Finance > Insurance,3,00:03:31,2.12,66.2%
12,aetna.com,Finance > Insurance,=,00:07:07,9.54,19.22%
13,aok.de,Finance > Insurance,1,00:02:21,3.96,43.96%
14,allstate.com,Finance > Insurance,1,00:03:58,5.27,36.39%
15,comparethemarket.com,Finance > Insurance,1,00:06:36,9.03,27.64%
16,maxlifeinsurance.com,Finance > Insurance,7,00:01:17,2.53,58.98%
17,licindia.in,Finance > Insurance,=,00:06:14,9.38,41.46%
18,progressivedirect.com,Finance > Insurance,1,00:07:31,9.11,21.88%
19,portoseguro.com.br,Finance > Insurance,1,00:09:02,7.51,33.44%
20,humana.com,Finance > Insurance,5,00:05:28,5.56,42.81%
21,monespacesante.fr,Finance > Insurance,1,00:04:10,6.23,31.08%
22,healthcare.gov,Finance > Insurance,13,00:05:16,9.60,36.28%
23,tk.de,Finance > Insurance,5,00:03:15,4.10,45.51%
24,health.aetna.com,Finance > Insurance,3,00:08:23,9.03,13.63%
25,onehealthcareid.com,Finance > Insurance,3,00:02:50,7.01,4.06%
26,lassuranceretraite.fr,Finance > Insurance,1,00:05:10,7.26,18.34%
27,acko.com,Finance > Insurance,6,00:01:41,2.90,42.63%
28,securecafenet.com,Finance > Insurance,4,00:03:27,3.76,29.77%
29,sura.com,Finance > Insurance,2,00:03:44,4.06,53.75%
30,theaa.com,Finance > Insurance,4,00:03:49,4.76,42.93%
31,healthybenefitsplus.com,Finance > Insurance,7,00:06:42,7.21,26.7%
32,optum.com,Finance > Insurance,2,00:03:48,3.97,42.75%
33,iciciprulife.com,Finance > Insurance,12,00:03:07,4.32,53.6%
34,admiral.com,Finance > Insurance,3,00:05:53,8.97,24.79%
35,starhealth.in,Finance > Insurance,=,00:03:31,4.20,38.08%
36,discovery.co.za,Finance > Insurance,6,00:04:13,4.63,30.31%
37,principal.com,Finance > Insurance,1,00:06:13,7.86,23.37%
38,bcbssettlement.com,Finance > Insurance,240,00:03:28,4.48,24.77%
39,jgl.com.au,Finance > Insurance,10,00:04:15,5.87,36.05%
40,super-savings-online.com,Finance > Insurance,43,00:01:36,1.91,49.78%
41,hdfclife.com,Finance > Insurance,1,00:04:37,5.33,45.54%
42,bajajfinservmarkets.in,Finance > Insurance,9,00:01:38,3.44,24.04%
43,hrb.tax,Finance > Insurance,541,00:00:52,1.41,84.21%
44,sharefile.io,Finance > Insurance,17,00:01:28,1.63,72.14%
45,ambetterhealth.com,Finance > Insurance,16,00:05:10,6.66,22%
46,epssura.com,Finance > Insurance,8,00:04:40,4.82,30.91%
47,bfin.in,Finance > Insurance,3,00:01:31,2.68,30.37%
48,lft.to,Finance > Insurance,7,00:03:18,1.69,74.94%
49,metlife.com,Finance > Insurance,10,00:09:37,9.00,29.5%
50,aviva.co.uk,Finance > Insurance,4,00:05:42,6.30,30.27%
