Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,suntory.co.jp,Food and Drink > Beverages,=,00:01:50,5.53,42.67%
2,totalwine.com,Food and Drink > Beverages,=,00:03:36,4.04,47.56%
3,coca-cola.com,Food and Drink > Beverages,=,00:00:56,3.43,32.33%
4,vivino.com,Food and Drink > Beverages,=,00:02:19,2.89,45.47%
5,danmurphys.com.au,Food and Drink > Beverages,=,00:03:04,3.90,41.21%
6,asahibeer.co.jp,Food and Drink > Beverages,2,00:01:58,6.38,44.03%
7,liquor.com,Food and Drink > Beverages,2,00:01:43,1.83,63.37%
8,untappd.com,Food and Drink > Beverages,2,00:02:29,3.33,47.14%
9,wine-searcher.com,Food and Drink > Beverages,2,00:02:51,3.76,45.35%
10,raimktg.com,Food and Drink > Beverages,1,00:02:56,4.44,17.06%
11,lcbo.com,Food and Drink > Beverages,4,00:02:57,4.43,43.02%
12,pepsico.com,Food and Drink > Beverages,2,00:04:15,2.85,44.58%
13,yango.com,Food and Drink > Beverages,1,00:02:30,4.26,51.14%
14,sapporobeer.jp,Food and Drink > Beverages,2,00:01:10,2.02,43.45%
15,dosedaily.co,Food and Drink > Beverages,2,00:01:06,1.61,67.41%
16,kirin.co.jp,Food and Drink > Beverages,2,00:02:05,2.56,50.63%
17,livcheers.com,Food and Drink > Beverages,=,00:02:19,2.72,55.85%
18,hellorayo.co.uk,Food and Drink > Beverages,1,00:02:18,2.17,51.23%
19,cocacola.co.jp,Food and Drink > Beverages,2,00:01:07,3.33,33.83%
20,mikmak.ai,Food and Drink > Beverages,14,00:01:34,1.61,76.37%
21,shop.mikmak.ai,Food and Drink > Beverages,14,00:01:30,1.59,76.72%
22,doutor.co.jp,Food and Drink > Beverages,=,00:01:56,3.50,52.82%
23,lvmh.com,Food and Drink > Beverages,7,00:02:21,3.70,36.79%
24,monsterenergy.com,Food and Drink > Beverages,4,00:01:15,4.03,30.43%
25,pepsico.info,Food and Drink > Beverages,1,00:00:20,1.39,79.61%
26,cellartracker.com,Food and Drink > Beverages,1,00:03:44,5.44,45.98%
27,falstaff.com,Food and Drink > Beverages,4,00:01:40,2.06,58.28%
28,diffordsguide.com,Food and Drink > Beverages,5,00:02:01,3.22,55.54%
29,entertowinprizes.com,Food and Drink > Beverages,12,00:01:33,4.78,14.8%
30,beeradvocate.com,Food and Drink > Beverages,9,00:03:17,3.12,53.27%
31,lupicia.com,Food and Drink > Beverages,3,00:03:15,6.36,36.56%
32,liquorland.com.au,Food and Drink > Beverages,6,00:02:07,2.35,49.99%
33,enoteca.co.jp,Food and Drink > Beverages,6,00:02:07,2.18,49.8%
34,wine.com,Food and Drink > Beverages,13,00:01:47,2.82,58.57%
35,heineken.com,Food and Drink > Beverages,2,00:01:47,2.72,32.31%
36,readyrefresh.com,Food and Drink > Beverages,4,00:03:17,4.95,36.06%
37,dineplan.com,Food and Drink > Beverages,15,00:08:35,4.73,30%
38,alliedbeverage.com,Food and Drink > Beverages,24,00:12:49,16.97,14.57%
39,nescafe.com,Food and Drink > Beverages,1,00:01:08,1.93,59.8%
40,whiskybase.com,Food and Drink > Beverages,3,00:03:03,4.70,45.05%
41,masterofmalt.com,Food and Drink > Beverages,5,00:02:37,3.92,46.06%
42,delhidutyfree.co.in,Food and Drink > Beverages,10,00:01:05,2.49,31.26%
43,home-barista.com,Food and Drink > Beverages,1,00:02:37,2.71,46.24%
44,minibardelivery.com,Food and Drink > Beverages,45,00:02:24,2.28,68.37%
45,guinness.com,Food and Drink > Beverages,21,00:00:55,2.56,45.44%
46,costa.co.uk,Food and Drink > Beverages,3,00:01:21,2.39,57.54%
47,vinepair.com,Food and Drink > Beverages,2,00:00:59,1.50,61.32%
48,brewdog.com,Food and Drink > Beverages,3,00:02:19,4.01,36.14%
49,fellowproducts.com,Food and Drink > Beverages,10,00:01:44,3.37,44.09%
50,finewineandgoodspirits.com,Food and Drink > Beverages,4,00:03:40,4.38,46%
