Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,cookpad.com,Food and Drink > Cooking and Recipes,=,00:01:46,2.32,50.28%
2,allrecipes.com,Food and Drink > Cooking and Recipes,=,00:02:16,1.90,61.24%
3,kurashiru.com,Food and Drink > Cooking and Recipes,=,00:01:17,1.58,69.98%
4,russianfood.com,Food and Drink > Cooking and Recipes,=,00:02:37,2.57,38.59%
5,giallozafferano.it,Food and Drink > Cooking and Recipes,=,00:02:52,2.12,57.41%
6,tudogostoso.com.br,Food and Drink > Cooking and Recipes,1,00:00:50,1.33,46.62%
7,marmiton.org,Food and Drink > Cooking and Recipes,1,00:02:06,2.07,52.9%
8,delishkitchen.tv,Food and Drink > Cooking and Recipes,2,00:01:33,1.67,69.57%
9,bbcgoodfood.com,Food and Drink > Cooking and Recipes,=,00:03:26,2.40,53.55%
10,foodnetwork.com,Food and Drink > Cooking and Recipes,4,00:02:07,2.30,52.45%
11,recipetineats.com,Food and Drink > Cooking and Recipes,=,00:03:32,2.36,58.41%
12,thekitchn.com,Food and Drink > Cooking and Recipes,1,00:01:41,1.77,54.71%
13,chefkoch.de,Food and Drink > Cooking and Recipes,1,00:03:00,2.64,54.09%
14,parade.com,Food and Drink > Cooking and Recipes,1,00:00:53,1.54,57.33%
15,lettuceclub.net,Food and Drink > Cooking and Recipes,1,00:00:49,3.42,36.22%
16,mastertheenglish.com,Food and Drink > Cooking and Recipes,7,00:20:57,7.25,26.5%
17,1000.menu,Food and Drink > Cooking and Recipes,1,00:01:47,2.08,40.59%
18,simplyrecipes.com,Food and Drink > Cooking and Recipes,1,00:01:47,1.67,65.44%
19,nefisyemektarifleri.com,Food and Drink > Cooking and Recipes,7,00:01:41,2.01,54.92%
20,delish.com,Food and Drink > Cooking and Recipes,1,00:02:41,2.16,56.02%
21,eatingwell.com,Food and Drink > Cooking and Recipes,3,00:01:30,2.00,47.72%
22,oceans-nadia.com,Food and Drink > Cooking and Recipes,2,00:02:00,1.80,74.79%
23,macaro-ni.jp,Food and Drink > Cooking and Recipes,4,00:01:24,1.94,58.24%
24,seriouseats.com,Food and Drink > Cooking and Recipes,=,00:02:42,2.13,56.11%
25,tasteofhome.com,Food and Drink > Cooking and Recipes,3,00:02:07,2.20,62.65%
26,aniagotuje.pl,Food and Drink > Cooking and Recipes,1,00:01:11,1.93,38.69%
27,cuisineaz.com,Food and Drink > Cooking and Recipes,1,00:01:46,2.36,51.04%
28,loveandlemons.com,Food and Drink > Cooking and Recipes,3,00:02:04,1.82,59.65%
29,fattoincasadabenedetta.it,Food and Drink > Cooking and Recipes,1,00:01:17,1.88,54.04%
30,thepioneerwoman.com,Food and Drink > Cooking and Recipes,3,00:02:11,1.85,53.26%
31,food.com,Food and Drink > Cooking and Recipes,2,00:01:51,2.01,71.35%
32,sallysbakingaddiction.com,Food and Drink > Cooking and Recipes,2,00:03:29,2.40,57.08%
33,iamcook.ru,Food and Drink > Cooking and Recipes,1,00:01:35,1.76,55.42%
34,foodandwine.com,Food and Drink > Cooking and Recipes,3,00:01:23,1.80,62.4%
35,pysznosci.pl,Food and Drink > Cooking and Recipes,=,00:00:52,1.74,23.74%
36,sirogohan.com,Food and Drink > Cooking and Recipes,=,00:01:47,2.10,66.56%
37,tastesbetterfromscratch.com,Food and Drink > Cooking and Recipes,1,00:02:37,1.79,71.81%
38,einfachbacken.de,Food and Drink > Cooking and Recipes,2,00:02:26,1.94,71.15%
39,kwestiasmaku.com,Food and Drink > Cooking and Recipes,2,00:01:30,2.63,36.88%
40,spendwithpennies.com,Food and Drink > Cooking and Recipes,3,00:02:41,1.97,65.58%
41,housedigest.com,Food and Drink > Cooking and Recipes,24,00:01:56,1.68,62.13%
42,food.ru,Food and Drink > Cooking and Recipes,3,00:06:30,1.36,4.58%
43,eda.ru,Food and Drink > Cooking and Recipes,=,00:01:23,1.57,59.78%
44,kikkoman.co.jp,Food and Drink > Cooking and Recipes,2,00:01:15,1.70,74.45%
45,toprecepty.cz,Food and Drink > Cooking and Recipes,1,00:02:08,2.15,55.4%
46,ricardocuisine.com,Food and Drink > Cooking and Recipes,6,00:03:02,2.12,57.88%
47,natashaskitchen.com,Food and Drink > Cooking and Recipes,=,00:02:43,1.90,68.07%
48,povar.ru,Food and Drink > Cooking and Recipes,2,00:01:17,1.52,62.56%
49,gastronom.ru,Food and Drink > Cooking and Recipes,=,00:00:47,1.72,39.67%
50,82cook.com,Food and Drink > Cooking and Recipes,4,00:05:17,5.67,52.63%
