Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,trilltrill.jp,Food and Drink > Food and Drink - Other,=,00:02:22,1.61,72.36%
2,tabelog.com,Food and Drink > Food and Drink - Other,=,00:04:24,4.75,41.32%
3,hotpepper.jp,Food and Drink > Food and Drink - Other,=,00:04:52,6.52,43.35%
4,recruit.co.jp,Food and Drink > Food and Drink - Other,=,00:01:49,2.31,57.95%
5,dropgame.jp,Food and Drink > Food and Drink - Other,=,00:05:07,15.31,10.38%
6,otzovik.com,Food and Drink > Food and Drink - Other,=,00:02:28,3.03,42.76%
7,tokubai.co.jp,Food and Drink > Food and Drink - Other,=,00:02:15,2.81,46.25%
8,ica.se,Food and Drink > Food and Drink - Other,=,00:05:04,3.87,54.51%
9,news.ntv.co.jp,Food and Drink > Food and Drink - Other,=,00:01:24,1.65,73.95%
10,starbucks.co.jp,Food and Drink > Food and Drink - Other,=,00:02:37,4.10,46.19%
11,retty.me,Food and Drink > Food and Drink - Other,1,00:02:28,2.52,58.04%
12,gnavi.co.jp,Food and Drink > Food and Drink - Other,1,00:02:38,3.58,56.59%
13,wamgame.jp,Food and Drink > Food and Drink - Other,2,00:06:33,15.39,12.57%
14,ah.nl,Food and Drink > Food and Drink - Other,=,00:03:18,5.12,45.02%
15,ajinomoto.co.jp,Food and Drink > Food and Drink - Other,1,00:01:25,1.73,73.06%
16,directoalpaladar.com,Food and Drink > Food and Drink - Other,2,00:00:59,1.54,54.71%
17,nespresso.com,Food and Drink > Food and Drink - Other,=,00:02:39,4.20,39.81%
18,meijer.com,Food and Drink > Food and Drink - Other,3,00:03:39,4.99,35.98%
19,eater.com,Food and Drink > Food and Drink - Other,=,00:01:34,2.06,54.94%
20,family.co.jp,Food and Drink > Food and Drink - Other,=,00:01:21,2.28,50.09%
21,wolt.com,Food and Drink > Food and Drink - Other,1,00:04:42,8.71,29.65%
22,webstaurantstore.com,Food and Drink > Food and Drink - Other,1,00:03:57,4.68,50.34%
23,hellofresh.com,Food and Drink > Food and Drink - Other,1,00:02:20,4.31,37.4%
24,vauva.fi,Food and Drink > Food and Drink - Other,2,00:08:05,5.70,31.8%
25,championcross.jp,Food and Drink > Food and Drink - Other,=,00:04:31,5.43,33.64%
26,k-ruoka.fi,Food and Drink > Food and Drink - Other,4,00:01:14,5.24,24.7%
27,factor75.com,Food and Drink > Food and Drink - Other,6,00:02:16,4.51,30.82%
28,libbyapp.com,Food and Drink > Food and Drink - Other,1,00:04:36,8.22,27.77%
29,ozmall.co.jp,Food and Drink > Food and Drink - Other,5,00:02:16,2.73,64.43%
30,jp.sharp,Food and Drink > Food and Drink - Other,3,00:03:07,5.47,42.02%
31,dianping.com,Food and Drink > Food and Drink - Other,2,00:02:48,2.51,57.33%
32,epark.jp,Food and Drink > Food and Drink - Other,3,00:03:23,3.53,54.39%
33,cookaround.com,Food and Drink > Food and Drink - Other,12,00:01:45,1.84,59.12%
34,vkusvill.ru,Food and Drink > Food and Drink - Other,4,00:05:01,6.13,48.37%
35,kfc.co.jp,Food and Drink > Food and Drink - Other,1,00:01:54,3.22,45.16%
36,eway.in.ua,Food and Drink > Food and Drink - Other,3,00:03:14,2.67,40.42%
37,foodlion.com,Food and Drink > Food and Drink - Other,=,00:04:45,5.10,42.3%
38,napbizblog.jp,Food and Drink > Food and Drink - Other,5,00:04:52,5.96,36.25%
39,cmnw.jp,Food and Drink > Food and Drink - Other,7,00:07:15,5.63,26.93%
40,survey-z.com,Food and Drink > Food and Drink - Other,25,00:02:00,3.45,20.16%
41,mozaikportail.ca,Food and Drink > Food and Drink - Other,16,00:03:20,3.46,35.06%
42,morinaga.co.jp,Food and Drink > Food and Drink - Other,12,00:01:08,1.77,70.18%
43,eatbu.com,Food and Drink > Food and Drink - Other,6,00:01:05,2.01,39.91%
44,sukiya.jp,Food and Drink > Food and Drink - Other,4,00:02:13,4.76,47.24%
45,aumo.jp,Food and Drink > Food and Drink - Other,5,00:00:28,1.34,90.22%
46,hottomotto.com,Food and Drink > Food and Drink - Other,4,00:02:23,3.23,41.06%
47,cotta.jp,Food and Drink > Food and Drink - Other,17,00:03:05,2.85,62.13%
48,meny.no,Food and Drink > Food and Drink - Other,7,00:02:20,3.14,41.69%
49,gorp.jp,Food and Drink > Food and Drink - Other,3,00:01:43,1.68,65.6%
50,willys.se,Food and Drink > Food and Drink - Other,1,00:03:02,4.27,44.1%
