Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,kroger.com,Food and Drink > Groceries,=,00:04:00,4.67,47.02%
2,instacart.com,Food and Drink > Groceries,=,00:05:50,6.76,37.5%
3,asda.com,Food and Drink > Groceries,1,00:05:10,6.05,41.17%
4,tesco.com,Food and Drink > Groceries,1,00:05:14,7.55,38.78%
5,kaufland.de,Food and Drink > Groceries,=,00:02:52,3.42,50.41%
6,sainsburys.co.uk,Food and Drink > Groceries,=,00:04:53,9.48,38.46%
7,carrefour.fr,Food and Drink > Groceries,2,00:03:22,6.51,33.35%
8,woolworths.com.au,Food and Drink > Groceries,1,00:04:09,8.10,37.48%
9,rewe.de,Food and Drink > Groceries,1,00:02:08,3.76,41.14%
10,publix.com,Food and Drink > Groceries,1,00:03:56,4.82,32.5%
11,aldi.us,Food and Drink > Groceries,1,00:03:04,4.46,38.89%
12,coles.com.au,Food and Drink > Groceries,=,00:04:29,6.65,43.7%
13,lidl.fr,Food and Drink > Groceries,=,00:02:06,11.69,21.54%
14,safeway.com,Food and Drink > Groceries,=,00:04:17,5.81,31.24%
15,heb.com,Food and Drink > Groceries,=,00:05:49,6.73,41.79%
16,kaufland.com,Food and Drink > Groceries,1,00:04:13,13.60,25.14%
17,lidl.pl,Food and Drink > Groceries,2,00:02:33,8.53,22.96%
18,morrisons.com,Food and Drink > Groceries,=,00:04:44,7.79,38.81%
19,biedronka.pl,Food and Drink > Groceries,5,00:02:18,8.33,18.65%
20,carrefour.es,Food and Drink > Groceries,4,00:03:22,7.66,40.59%
21,wholefoodsmarket.com,Food and Drink > Groceries,1,00:02:14,3.18,41.07%
22,oisix.com,Food and Drink > Groceries,17,00:02:05,3.05,47.79%
23,lidl.it,Food and Drink > Groceries,2,00:02:01,8.47,21.68%
24,ocado.com,Food and Drink > Groceries,2,00:06:03,10.04,36.27%
25,lidl.nl,Food and Drink > Groceries,2,00:03:19,6.52,38.44%
26,migros.com.tr,Food and Drink > Groceries,1,00:03:45,5.89,44.14%
27,roller.app,Food and Drink > Groceries,1,00:10:41,11.14,34.9%
28,yemeksepeti.com,Food and Drink > Groceries,5,00:06:59,7.42,31.44%
29,aldi-sued.de,Food and Drink > Groceries,4,00:02:14,7.64,35.8%
30,lidl.co.uk,Food and Drink > Groceries,6,00:02:21,4.22,35.67%
31,searcheasytab.com,Food and Drink > Groceries,2,00:13:36,1.80,63.45%
32,aldi.co.uk,Food and Drink > Groceries,1,00:03:33,4.78,41.89%
33,kuper.ru,Food and Drink > Groceries,9,00:04:02,4.77,53.65%
34,waitrose.com,Food and Drink > Groceries,4,00:03:48,5.13,49.41%
35,rewe.co.at,Food and Drink > Groceries,5,00:01:15,2.20,75.89%
36,edeka.de,Food and Drink > Groceries,4,00:01:21,2.42,63.97%
37,inst.cr,Food and Drink > Groceries,7,00:03:21,1.55,70.66%
38,iceland.co.uk,Food and Drink > Groceries,3,00:07:04,7.10,38%
39,hy-vee.com,Food and Drink > Groceries,5,00:03:38,4.66,34.32%
40,coop.se,Food and Drink > Groceries,5,00:03:09,3.75,45.38%
41,netto-online.de,Food and Drink > Groceries,4,00:02:05,3.50,41.32%
42,leclercdrive.fr,Food and Drink > Groceries,5,00:11:44,14.42,21.85%
43,fasteasy.io,Food and Drink > Groceries,17,00:00:42,1.56,28.38%
44,shop.rewe.de,Food and Drink > Groceries,1,00:03:29,5.26,56.37%
45,aldi-nord.de,Food and Drink > Groceries,1,00:02:11,5.14,40.69%
46,intermarche.com,Food and Drink > Groceries,4,00:05:05,10.96,28.54%
47,coop.co.uk,Food and Drink > Groceries,4,00:02:22,3.63,44.24%
48,samokat.ru,Food and Drink > Groceries,1,00:08:19,7.89,38.54%
49,albertsons.com,Food and Drink > Groceries,8,00:03:34,5.07,30.87%
50,perekrestok.ru,Food and Drink > Groceries,2,00:02:41,4.69,41.54%
