Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,harimanga.me,Food and Drink > Restaurants and Delivery,=,00:21:19,10.32,20.42%
2,doordash.com,Food and Drink > Restaurants and Delivery,=,00:07:04,5.48,34.07%
3,toasttab.com,Food and Drink > Restaurants and Delivery,1,00:03:32,4.26,51.98%
4,ubereats.com,Food and Drink > Restaurants and Delivery,1,00:06:31,10.08,29.61%
5,ytmp3.la,Food and Drink > Restaurants and Delivery,2,00:04:07,3.47,56.5%
6,opentable.com,Food and Drink > Restaurants and Delivery,=,00:03:12,4.36,36.04%
7,invl.io,Food and Drink > Restaurants and Delivery,2,00:01:22,1.53,82.54%
8,dominos.com,Food and Drink > Restaurants and Delivery,1,00:06:39,5.81,36.73%
9,ifood.com.br,Food and Drink > Restaurants and Delivery,1,00:09:08,6.67,31.91%
10,square.site,Food and Drink > Restaurants and Delivery,1,00:02:20,3.94,51.22%
11,shoptastic.io,Food and Drink > Restaurants and Delivery,1,00:00:20,1.40,70.66%
12,swiggy.com,Food and Drink > Restaurants and Delivery,=,00:10:06,6.54,33.2%
13,tvwiki13.com,Food and Drink > Restaurants and Delivery,=,00:06:38,5.40,35.54%
14,mcdonalds.com,Food and Drink > Restaurants and Delivery,1,00:01:11,2.58,51.02%
15,starbucks.com,Food and Drink > Restaurants and Delivery,1,00:01:57,3.48,52.65%
16,zomato.com,Food and Drink > Restaurants and Delivery,1,00:06:29,4.11,37.48%
17,resy.com,Food and Drink > Restaurants and Delivery,3,00:03:04,4.76,26.47%
18,sevenrooms.com,Food and Drink > Restaurants and Delivery,3,00:02:29,3.03,51.63%
19,order.online,Food and Drink > Restaurants and Delivery,2,00:02:49,3.14,39.61%
20,grubhub.com,Food and Drink > Restaurants and Delivery,4,00:05:51,7.46,39.3%
21,bttn.io,Food and Drink > Restaurants and Delivery,2,00:00:57,1.71,66.31%
22,just-eat.co.uk,Food and Drink > Restaurants and Delivery,4,00:07:50,8.98,28.03%
23,mcdonalds.co.jp,Food and Drink > Restaurants and Delivery,1,00:01:39,3.06,61.55%
24,pizzahut.com,Food and Drink > Restaurants and Delivery,=,00:05:06,5.94,39.42%
25,wongnai.com,Food and Drink > Restaurants and Delivery,=,00:01:06,2.06,41.4%
26,inline.app,Food and Drink > Restaurants and Delivery,3,00:02:00,2.07,44.8%
27,tablecheck.com,Food and Drink > Restaurants and Delivery,=,00:04:10,2.76,55.47%
28,sej.co.jp,Food and Drink > Restaurants and Delivery,=,00:01:48,2.78,59.28%
29,papajohns.com,Food and Drink > Restaurants and Delivery,=,00:05:31,6.90,28.13%
30,mitiendanube.com,Food and Drink > Restaurants and Delivery,4,00:07:15,9.40,45.78%
31,skylark.co.jp,Food and Drink > Restaurants and Delivery,1,00:02:55,4.00,47.12%
32,tacobell.com,Food and Drink > Restaurants and Delivery,=,00:02:47,4.35,41.16%
33,chick-fil-a.com,Food and Drink > Restaurants and Delivery,2,00:02:23,4.69,42.05%
34,panerabread.com,Food and Drink > Restaurants and Delivery,3,00:03:19,4.60,34.59%
35,subway.com,Food and Drink > Restaurants and Delivery,3,00:03:19,5.43,40.44%
36,chipotle.com,Food and Drink > Restaurants and Delivery,3,00:02:56,3.75,33.45%
37,lieferando.de,Food and Drink > Restaurants and Delivery,1,00:06:16,8.25,35.56%
38,trendndaily.com,Food and Drink > Restaurants and Delivery,1,00:02:59,3.14,35.31%
39,demae-can.com,Food and Drink > Restaurants and Delivery,4,00:03:33,6.23,22.14%
40,accurx.nhs.uk,Food and Drink > Restaurants and Delivery,=,00:04:23,4.44,35.32%
41,crumblcookies.com,Food and Drink > Restaurants and Delivery,6,00:01:54,2.44,72.34%
42,deliveroo.co.uk,Food and Drink > Restaurants and Delivery,1,00:06:26,7.69,32.81%
43,olivegarden.com,Food and Drink > Restaurants and Delivery,5,00:04:15,8.05,40.48%
44,dodopizza.ru,Food and Drink > Restaurants and Delivery,2,00:05:31,5.35,33.24%
45,wingstop.com,Food and Drink > Restaurants and Delivery,12,00:03:30,3.92,49.63%
46,littlecaesars.com,Food and Drink > Restaurants and Delivery,1,00:03:30,5.20,38.13%
47,matsuyafoods.co.jp,Food and Drink > Restaurants and Delivery,6,00:01:55,4.18,40.69%
48,exploretock.com,Food and Drink > Restaurants and Delivery,2,00:02:26,4.55,35.76%
49,restaurantguru.com,Food and Drink > Restaurants and Delivery,2,00:01:11,2.15,49.14%
50,menudino.com,Food and Drink > Restaurants and Delivery,3,00:02:50,2.31,43.96%
