Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,twinfoo.com,Food and Drink > Vegetarian and Vegan,=,00:07:45,18.06,24.71%
2,peta.org,Food and Drink > Vegetarian and Vegan,1,00:01:10,2.23,52.35%
3,itdoesnttastelikechicken.com,Food and Drink > Vegetarian and Vegan,1,00:02:30,2.08,48.55%
4,elavegan.com,Food and Drink > Vegetarian and Vegan,1,00:01:45,1.97,54.34%
5,happycow.net,Food and Drink > Vegetarian and Vegan,1,00:02:00,4.30,49.14%
6,mediafyre.net,Food and Drink > Vegetarian and Vegan,4,00:02:05,2.36,60.11%
7,eatwithclarity.com,Food and Drink > Vegetarian and Vegan,=,00:02:21,2.24,59.25%
8,theconsciousplantkitchen.com,Food and Drink > Vegetarian and Vegan,1,00:01:35,1.90,52.23%
9,zuckerjagdwurst.com,Food and Drink > Vegetarian and Vegan,3,00:02:18,2.15,44.59%
10,plantbasednews.org,Food and Drink > Vegetarian and Vegan,2,00:01:09,1.76,46.68%
11,frommybowl.com,Food and Drink > Vegetarian and Vegan,5,00:02:58,2.39,54.49%
12,pickuplimes.com,Food and Drink > Vegetarian and Vegan,2,00:03:01,3.32,44.66%
13,thefoodietakesflight.com,Food and Drink > Vegetarian and Vegan,2,00:01:41,2.08,48.43%
14,theplantbasedschool.com,Food and Drink > Vegetarian and Vegan,2,00:04:25,2.64,49.62%
15,plantyou.com,Food and Drink > Vegetarian and Vegan,4,00:02:37,2.45,60.01%
16,vegnews.com,Food and Drink > Vegetarian and Vegan,2,00:01:47,2.05,54.76%
17,lovingitvegan.com,Food and Drink > Vegetarian and Vegan,=,00:02:22,2.12,50.36%
18,veganricha.com,Food and Drink > Vegetarian and Vegan,1,00:02:54,2.45,50.67%
19,eat-this.org,Food and Drink > Vegetarian and Vegan,6,00:02:26,2.23,47.02%
20,qopla.com,Food and Drink > Vegetarian and Vegan,2,00:03:51,2.96,55.94%
21,plantbasedrdblog.com,Food and Drink > Vegetarian and Vegan,1,00:05:06,2.75,48.9%
22,danzadefogones.com,Food and Drink > Vegetarian and Vegan,7,00:01:07,1.48,70.57%
23,thebananadiaries.com,Food and Drink > Vegetarian and Vegan,5,00:01:20,1.91,59.13%
24,wodup.com,Food and Drink > Vegetarian and Vegan,3,00:01:56,2.52,60.36%
25,planthood.co.uk,Food and Drink > Vegetarian and Vegan,=,00:12:27,5.18,32.6%
26,makeitdairyfree.com,Food and Drink > Vegetarian and Vegan,=,00:02:54,2.82,50.75%
27,satvicmovement.org,Food and Drink > Vegetarian and Vegan,4,00:01:01,2.13,44.92%
28,nashgogogo.tw,Food and Drink > Vegetarian and Vegan,4,00:01:54,1.54,70.02%
29,sweetsimplevegan.com,Food and Drink > Vegetarian and Vegan,3,00:01:38,1.79,51.15%
30,abillion.com,Food and Drink > Vegetarian and Vegan,5,00:00:46,1.66,52.16%
31,fairment.de,Food and Drink > Vegetarian and Vegan,2,00:01:42,2.21,59.11%
32,sarahsvegankitchen.com,Food and Drink > Vegetarian and Vegan,1,00:02:20,2.58,42.74%
33,rainbownourishments.com,Food and Drink > Vegetarian and Vegan,1,00:01:54,2.01,46.47%
34,schoolnightvegan.com,Food and Drink > Vegetarian and Vegan,4,00:01:29,1.88,57.57%
35,plantbasedonabudget.com,Food and Drink > Vegetarian and Vegan,11,00:01:46,2.80,52.57%
36,shaneandsimple.com,Food and Drink > Vegetarian and Vegan,8,00:02:01,2.64,57.62%
37,plantbaes.com,Food and Drink > Vegetarian and Vegan,1,00:02:11,2.30,53.8%
38,farmfreshtoyou.com,Food and Drink > Vegetarian and Vegan,7,00:03:31,5.89,30.35%
39,myquietkitchen.com,Food and Drink > Vegetarian and Vegan,4,00:02:01,2.07,55.7%
40,cucinabotanica.com,Food and Drink > Vegetarian and Vegan,7,00:01:20,1.79,61.02%
41,thelittleblogofvegan.com,Food and Drink > Vegetarian and Vegan,=,00:01:11,1.45,56.57%
42,namawell.com,Food and Drink > Vegetarian and Vegan,10,00:02:44,3.19,41.73%
43,onegreenplanet.org,Food and Drink > Vegetarian and Vegan,1,00:00:50,1.54,52.73%
44,beyondmeat.com,Food and Drink > Vegetarian and Vegan,4,00:00:44,1.97,45.91%
45,soupersage.com,Food and Drink > Vegetarian and Vegan,14,00:01:04,1.64,47.63%
46,addictedtodates.com,Food and Drink > Vegetarian and Vegan,9,00:02:57,2.61,42.3%
47,theeburgerdude.com,Food and Drink > Vegetarian and Vegan,9,00:02:45,2.60,46.12%
48,veganuary.com,Food and Drink > Vegetarian and Vegan,12,00:01:18,1.99,55.36%
49,upbeetandkaleingitblog.com,Food and Drink > Vegetarian and Vegan,132,00:03:44,1.87,52.16%
50,crowdedkitchen.com,Food and Drink > Vegetarian and Vegan,11,00:01:05,1.59,54.62%
