Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bitlabs.link,Gambling > Bingo,=,00:02:34,1.54,72.1%
2,mplgames.com,Gambling > Bingo,=,00:01:08,1.37,75.6%
3,go2jackpotraider.com,Gambling > Bingo,=,00:00:48,1.24,85.29%
4,tombola.co.uk,Gambling > Bingo,1,00:13:02,8.37,15.1%
5,jackpotjoy.com,Gambling > Bingo,1,00:10:24,6.67,26.59%
6,foxybingo.com,Gambling > Bingo,1,00:07:21,5.34,24.23%
7,galabingo.com,Gambling > Bingo,1,00:05:57,6.78,25.27%
8,usmoney.com.br,Gambling > Bingo,1,00:01:48,1.76,64.43%
9,aixbofhe.com,Gambling > Bingo,1,00:05:19,3.73,45.4%
10,espnbet.com,Gambling > Bingo,2,00:07:40,6.17,33.23%
11,goldenheartsgames.com,Gambling > Bingo,2,00:03:38,4.38,24.06%
12,seekadvantage.com,Gambling > Bingo,4,00:00:46,1.74,60.23%
13,mrq.com,Gambling > Bingo,1,00:06:19,6.57,28.72%
14,meccabingo.com,Gambling > Bingo,3,00:08:51,6.80,28.64%
15,tombola.com,Gambling > Bingo,10,00:01:26,1.79,68.35%
16,gl6lo9pe7r.xyz,Gambling > Bingo,=,00:02:48,1.76,33.14%
17,buzzbingo.com,Gambling > Bingo,2,00:04:06,3.77,35.8%
18,thatprizeguy.co.uk,Gambling > Bingo,1,00:05:39,4.04,28.28%
19,finrings.com,Gambling > Bingo,10,00:04:17,1.75,50.77%
20,ballycasino.co.uk,Gambling > Bingo,1,00:09:27,4.68,30.11%
21,fim7.com,Gambling > Bingo,1,00:00:46,1.28,75.46%
22,sunbingo.co.uk,Gambling > Bingo,4,00:04:50,6.43,50.16%
23,varimeslaskou.sk,Gambling > Bingo,4,00:01:32,1.36,77.9%
24,rainbowrichescasino.com,Gambling > Bingo,1,00:02:49,5.10,42.92%
25,skybingo.com,Gambling > Bingo,3,00:04:27,5.16,36.38%
26,crumb.pet,Gambling > Bingo,=,00:04:58,5.65,50.62%
27,payloro.ph,Gambling > Bingo,=,00:03:03,2.23,65.31%
28,heartbingo.co.uk,Gambling > Bingo,4,00:09:17,6.67,32.7%
29,vegasmoose.com,Gambling > Bingo,1,00:08:02,7.10,6.16%
30,fulsarfullzzar.blogspot.com,Gambling > Bingo,10,00:00:38,1.18,84.43%
31,wildwestwins.com,Gambling > Bingo,25,00:10:37,4.37,67.41%
32,baoding68d.net,Gambling > Bingo,19,00:04:34,2.04,60.88%
33,allente.dk,Gambling > Bingo,1,00:04:35,4.45,33.48%
34,doublebubblebingo.com,Gambling > Bingo,13,00:02:42,5.10,48.72%
35,payzilch.com,Gambling > Bingo,4,00:03:44,5.58,30.09%
36,techiteration.com,Gambling > Bingo,8,00:00:09,1.05,92.55%
37,bingosys.net,Gambling > Bingo,1,00:11:17,7.97,27.19%
38,tradu.com,Gambling > Bingo,10,00:00:45,1.98,51.23%
39,bingomania.com,Gambling > Bingo,10,00:02:59,5.78,21.07%
40,toolwaly.com,Gambling > Bingo,1,00:17:40,14.98,15.16%
41,nakinu.com,Gambling > Bingo,8,00:01:03,1.81,50.52%
42,ssbet77.net,Gambling > Bingo,6,00:07:49,10.03,22.52%
43,inboxpounds.co.uk,Gambling > Bingo,=,00:09:27,33.09,22.91%
44,ninetyninesec.com,Gambling > Bingo,9,00:00:06,1.06,90.77%
45,some-waste-rule-construction.run,Gambling > Bingo,=,00:00:17,1.71,31.46%
46,tombola.it,Gambling > Bingo,11,00:21:46,16.44,12.35%
47,gamingrealms.net,Gambling > Bingo,23,00:04:00,2.71,20.42%
48,redtiger.cash,Gambling > Bingo,11,00:12:26,1.61,73.91%
49,ltroute.com,Gambling > Bingo,10,00:00:36,1.29,72.83%
50,chumbacard.com,Gambling > Bingo,3,00:04:37,2.95,27.3%
