Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,pari-matchin.com,Gambling > Casinos,=,00:02:26,1.89,62.64%
2,casinoplus.com.ph,Gambling > Casinos,=,00:08:38,10.32,49.07%
3,batery-bet.in,Gambling > Casinos,=,00:01:29,1.56,77.8%
4,bet.ar,Gambling > Casinos,1,00:01:24,2.89,13.58%
5,bovada.lv,Gambling > Casinos,1,00:05:02,4.16,53.42%
6,roobet.com,Gambling > Casinos,18,00:02:31,3.19,57.13%
7,bd33fgabh.com,Gambling > Casinos,1,00:06:51,2.69,55.91%
8,realprize.com,Gambling > Casinos,=,00:03:40,3.34,46.94%
9,888casino.it,Gambling > Casinos,2,00:02:29,2.08,50.04%
10,chumbacasino.com,Gambling > Casinos,2,00:07:11,5.44,21.25%
11,evo-games.com,Gambling > Casinos,2,00:04:14,7.36,19.71%
12,tadagaming.com,Gambling > Casinos,3,00:02:41,1.16,41.04%
13,ganamos.co,Gambling > Casinos,1,00:09:24,7.94,53.68%
14,d10x.co,Gambling > Casinos,17,00:01:22,1.50,73.04%
15,crowncoinscasino.com,Gambling > Casinos,3,00:07:24,3.85,48.29%
16,22onlinegames.com,Gambling > Casinos,1,00:09:25,3.76,11.39%
17,s.to,Gambling > Casinos,1,00:06:37,4.50,39.45%
18,gameassists.co.uk,Gambling > Casinos,2,00:08:57,7.40,29.89%
19,secure-browse.com,Gambling > Casinos,9,00:03:45,2.75,24.59%
20,brabet.com,Gambling > Casinos,2,00:04:38,2.96,16.15%
21,pluffty.com,Gambling > Casinos,14,00:01:56,1.70,69.38%
22,bet88.ph,Gambling > Casinos,5,00:09:48,8.80,43.03%
23,456movie.com,Gambling > Casinos,19,00:03:05,2.28,54.9%
24,ybgaming777.net,Gambling > Casinos,9,00:05:14,3.89,64.86%
25,casino.ua,Gambling > Casinos,13,00:03:40,3.23,29.54%
26,pulsz.com,Gambling > Casinos,3,00:07:08,5.14,40.31%
27,betsson.co,Gambling > Casinos,9,00:01:03,1.86,82.21%
28,acrpoker.eu,Gambling > Casinos,7,00:01:37,1.57,78.11%
29,aimukreegee.net,Gambling > Casinos,10,00:04:11,2.73,35.21%
30,zulacasino.com,Gambling > Casinos,2,00:05:47,7.40,12.58%
31,partnerbcgame.com,Gambling > Casinos,141,00:00:41,1.13,93.56%
32,dingdingding.com,Gambling > Casinos,7,00:04:09,4.71,40.8%
33,truelayerpayments.com,Gambling > Casinos,17,00:11:40,8.43,1.56%
34,luckylandslots.com,Gambling > Casinos,9,00:02:36,2.12,46.84%
35,stipepay.com,Gambling > Casinos,11,00:10:25,2.18,56.68%
36,betano.pt,Gambling > Casinos,5,00:08:22,3.69,40.72%
37,piokok.com,Gambling > Casinos,8,00:09:20,13.84,30.07%
38,hype34fn.com,Gambling > Casinos,23,00:01:31,1.55,71.94%
39,servsserverz.com,Gambling > Casinos,34,00:01:38,1.32,80.9%
40,pudapi.click,Gambling > Casinos,22,00:00:46,1.19,80.35%
41,ug396-api.com,Gambling > Casinos,16,00:00:25,4.52,34.74%
42,777.ua,Gambling > Casinos,8,00:02:50,2.42,61.65%
43,bet30.click,Gambling > Casinos,12,00:06:58,2.31,58.45%
44,mcluck.com,Gambling > Casinos,=,00:09:10,6.35,38.76%
45,platincasino.com,Gambling > Casinos,=,00:01:19,2.31,50.81%
46,skyvegas.com,Gambling > Casinos,6,00:07:43,5.95,35.24%
47,pulsaojk.com,Gambling > Casinos,26,00:01:29,1.16,87.02%
48,modo.us,Gambling > Casinos,=,00:08:52,8.87,29.13%
49,doubledowncasino2.com,Gambling > Casinos,3,00:07:19,3.59,42.06%
50,celuapuestas.io,Gambling > Casinos,3,00:09:46,4.40,47.76%
