Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,stake.bet,Gambling > Gambling - Other,1,00:02:46,2.88,71.74%
2,stake.games,Gambling > Gambling - Other,102,00:02:35,1.96,68.1%
3,animego.me,Gambling > Gambling - Other,2,00:03:47,2.41,56.2%
4,stake.com,Gambling > Gambling - Other,=,00:02:53,5.35,36.91%
5,netkeiba.com,Gambling > Gambling - Other,=,00:12:38,13.81,22.08%
6,betika.com,Gambling > Gambling - Other,3,00:18:06,18.80,20.02%
7,melbet.com,Gambling > Gambling - Other,1,00:03:10,2.33,51%
8,jra.go.jp,Gambling > Gambling - Other,1,00:15:12,15.73,21.02%
9,fon.bet,Gambling > Gambling - Other,1,00:08:54,4.90,58.64%
10,caliente.mx,Gambling > Gambling - Other,1,00:04:05,3.01,43.22%
11,p-world.co.jp,Gambling > Gambling - Other,1,00:04:38,4.91,45.45%
12,ojogodobicho.com,Gambling > Gambling - Other,1,00:01:02,1.25,63.79%
13,stake.us,Gambling > Gambling - Other,1,00:05:29,6.70,45.12%
14,boatrace.jp,Gambling > Gambling - Other,1,00:13:05,11.33,22.03%
15,spribegaming.com,Gambling > Gambling - Other,1,00:06:41,7.52,10.55%
16,1geki.jp,Gambling > Gambling - Other,2,00:05:40,2.74,53.56%
17,jra.jp,Gambling > Gambling - Other,3,00:12:28,9.61,25.1%
18,bet365.it,Gambling > Gambling - Other,4,00:18:18,10.17,36.44%
19,keirin.jp,Gambling > Gambling - Other,2,00:14:03,10.53,19.6%
20,sportinglife.com,Gambling > Gambling - Other,3,00:09:45,4.59,47.37%
21,paypay-bank.co.jp,Gambling > Gambling - Other,9,00:03:48,4.82,28.41%
22,racingpost.com,Gambling > Gambling - Other,6,00:08:26,8.28,32.87%
23,bridgebase.com,Gambling > Gambling - Other,4,00:05:13,3.51,26.12%
24,juegosonce.es,Gambling > Gambling - Other,3,00:01:38,3.85,27.96%
25,1cupis.ru,Gambling > Gambling - Other,4,00:03:14,3.85,32.63%
26,vbet.ua,Gambling > Gambling - Other,5,00:11:45,6.56,55.82%
27,adjarabet.com,Gambling > Gambling - Other,1,00:09:46,11.86,25.06%
28,1xbet.ng,Gambling > Gambling - Other,4,00:03:01,3.48,41.28%
29,veikkaus.fi,Gambling > Gambling - Other,5,00:07:19,6.63,23.02%
30,wisetoto.com,Gambling > Gambling - Other,10,00:12:43,7.13,36.6%
31,bet365.gr,Gambling > Gambling - Other,5,00:24:11,9.14,26.34%
32,unibet.co.uk,Gambling > Gambling - Other,31,00:05:39,6.08,53.06%
33,spat4.jp,Gambling > Gambling - Other,=,00:16:56,9.54,15.38%
34,novibet.gr,Gambling > Gambling - Other,2,00:14:20,5.50,29.71%
35,ge.movie,Gambling > Gambling - Other,6,00:05:14,4.36,41.96%
36,mykadri.tv,Gambling > Gambling - Other,2,00:07:54,5.04,29.21%
37,747ph.live,Gambling > Gambling - Other,=,00:20:01,20.99,24.03%
38,keiba.go.jp,Gambling > Gambling - Other,1,00:13:17,10.42,26.69%
39,hdmovie2.is,Gambling > Gambling - Other,=,00:03:50,3.35,49.46%
40,stream.ne.jp,Gambling > Gambling - Other,4,00:07:32,2.52,56.71%
41,supergra.ua,Gambling > Gambling - Other,21,00:11:42,7.23,24.88%
42,oddspark.com,Gambling > Gambling - Other,7,00:16:50,20.60,19%
43,sistemabarao.com.br,Gambling > Gambling - Other,12,00:02:13,3.09,2.15%
44,keibalab.jp,Gambling > Gambling - Other,2,00:07:57,8.17,31.28%
45,playdoit.mx,Gambling > Gambling - Other,1,00:07:08,3.91,22.47%
46,lausd.net,Gambling > Gambling - Other,11,00:11:34,9.01,18.91%
47,tweetsoku.news,Gambling > Gambling - Other,22,00:00:33,1.34,79%
48,odibets.com,Gambling > Gambling - Other,12,00:12:12,12.91,24.28%
49,betway.com.gh,Gambling > Gambling - Other,=,00:09:18,6.72,39.12%
50,tds-spark.com,Gambling > Gambling - Other,=,00:01:07,1.43,83.75%
