Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bingoplus.com,Gambling > Lottery,=,00:10:49,9.47,29.84%
2,xosodaiphat.com,Gambling > Lottery,1,00:00:59,1.52,29.73%
3,minhngoc.net.vn,Gambling > Lottery,1,00:02:32,2.97,44.93%
4,lu88.com,Gambling > Lottery,2,00:02:23,1.48,76.94%
5,dhlottery.co.kr,Gambling > Lottery,6,00:00:55,6.98,10.08%
6,xsmn.mobi,Gambling > Lottery,1,00:04:33,2.92,55.2%
7,netmirror.app,Gambling > Lottery,=,00:00:57,1.93,58.98%
8,nettruyenvie.com,Gambling > Lottery,=,00:20:55,9.76,28.69%
9,access-88.com,Gambling > Lottery,8,00:11:42,2.13,52.11%
10,minhngoc.net,Gambling > Lottery,11,00:02:06,3.47,37.74%
11,conectate.com.do,Gambling > Lottery,1,00:00:51,1.51,20.98%
12,xskt.com.vn,Gambling > Lottery,1,00:02:41,2.30,44.66%
13,xoso.com.vn,Gambling > Lottery,6,00:01:14,1.81,30.59%
14,national-lottery.co.uk,Gambling > Lottery,4,00:03:33,6.22,34.53%
15,sisal.it,Gambling > Lottery,7,00:03:46,5.61,51.64%
16,tvmon15.org,Gambling > Lottery,6,00:05:49,5.29,35.16%
17,atclauncheran.com,Gambling > Lottery,=,00:02:25,2.15,30.07%
18,hit.club,Gambling > Lottery,6,00:01:51,2.45,76.63%
19,freebitco.in,Gambling > Lottery,4,00:02:31,2.80,63.64%
20,loteriasyapuestas.es,Gambling > Lottery,6,00:01:56,3.81,36.08%
21,lannycucujus.top,Gambling > Lottery,12,00:03:27,2.90,42.24%
22,resultadofacil.com.br,Gambling > Lottery,5,00:02:19,2.07,42.72%
23,vb88.com,Gambling > Lottery,2,00:01:42,1.39,81.57%
24,stoloto.ru,Gambling > Lottery,14,00:06:19,4.72,35.74%
25,takarakuji-official.jp,Gambling > Lottery,9,00:02:48,6.33,36.55%
26,bullx.io,Gambling > Lottery,3,00:30:04,21.76,19.87%
27,fdj.fr,Gambling > Lottery,4,00:03:31,4.35,39.99%
28,lotterysambadresult.in,Gambling > Lottery,2,00:02:12,3.04,23.41%
29,red88.com,Gambling > Lottery,28,00:02:02,1.34,68.15%
30,betizinha.com,Gambling > Lottery,=,00:00:28,1.52,11.57%
31,nloto.ru,Gambling > Lottery,3,00:03:37,2.32,61.36%
32,television-libre.net,Gambling > Lottery,22,00:06:57,5.83,24.96%
33,thelott.com,Gambling > Lottery,1,00:03:30,3.67,36.18%
34,lotterypost.com,Gambling > Lottery,1,00:05:20,3.58,55.41%
35,cheddar.tv,Gambling > Lottery,6,01:19:16,12.52,16.23%
36,ketqua04.net,Gambling > Lottery,11,00:04:16,2.61,42.43%
37,lotto.pl,Gambling > Lottery,4,00:03:24,3.70,36.21%
38,notube.re,Gambling > Lottery,6,00:05:37,6.89,26.71%
39,xocoupon.com,Gambling > Lottery,1,00:02:39,1.46,74.07%
40,toto.nl,Gambling > Lottery,=,00:06:38,7.84,44.68%
41,lotoquebec.com,Gambling > Lottery,=,00:03:11,3.17,29.52%
42,mketqua.net,Gambling > Lottery,10,00:02:19,1.56,63.91%
43,szerencsejatek.hu,Gambling > Lottery,=,00:03:22,5.14,29.48%
44,eurowine8.com,Gambling > Lottery,7,00:10:47,6.34,14.8%
45,tuazar.com,Gambling > Lottery,6,00:00:59,2.31,78.11%
46,svenskaspel.se,Gambling > Lottery,1,00:06:14,7.70,32.77%
47,9bet.net,Gambling > Lottery,22,00:02:18,1.57,67.65%
48,norsk-tipping.no,Gambling > Lottery,6,00:07:49,4.53,32.88%
49,shopr.tv,Gambling > Lottery,23,00:05:33,4.35,41.76%
50,ketqua.vn,Gambling > Lottery,2,00:00:21,1.53,28.34%
