Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,m8geqpm2kpnf78dkfxp9ksg94ndx9weaoa39.com,Gambling > Poker,=,00:09:24,3.98,22.39%
2,zyngapoker.com,Gambling > Poker,1,00:01:09,2.16,35.43%
3,globalpoker.com,Gambling > Poker,1,00:04:00,3.56,18.1%
4,rophim.net,Gambling > Poker,2,00:02:35,3.01,68.89%
5,auth.poker,Gambling > Poker,2,00:01:14,1.43,72.75%
6,winamax.fr,Gambling > Poker,=,00:11:34,6.88,35.3%
7,ignitioncasino.eu,Gambling > Poker,2,00:05:45,6.63,51.17%
8,cardplayer.com,Gambling > Poker,3,00:00:53,1.40,77.03%
9,zyngaplay.com,Gambling > Poker,5,00:01:19,2.33,38.44%
10,kormovie.com,Gambling > Poker,3,00:07:00,5.16,47.07%
11,betsport22.com,Gambling > Poker,1,00:09:03,10.23,5.81%
12,relaxg.com,Gambling > Poker,2,00:05:30,2.31,40.22%
13,ssgportal.com,Gambling > Poker,5,00:06:03,2.69,52.56%
14,pokernews.com,Gambling > Poker,5,00:01:25,2.00,57.21%
15,pokerbaazi.com,Gambling > Poker,5,00:01:34,1.62,64.71%
16,goyssucrier.top,Gambling > Poker,2,00:03:37,1.84,68.15%
17,clubspoker.com,Gambling > Poker,17,00:05:19,4.55,25.64%
18,x8.games,Gambling > Poker,13,00:04:31,2.56,52.65%
19,mtt.xyz,Gambling > Poker,3,00:11:15,10.30,50.46%
20,pokernow.club,Gambling > Poker,2,00:05:45,6.32,38.53%
21,gtowizard.com,Gambling > Poker,=,00:13:27,42.42,23.63%
22,sports.mtt.xyz,Gambling > Poker,5,00:11:32,10.45,50.59%
23,lsmapi.net,Gambling > Poker,8,00:05:56,1.79,61.01%
24,navigation-center.com,Gambling > Poker,1,00:03:22,1.62,73.88%
25,playwsop.com,Gambling > Poker,1,00:02:41,2.24,41.36%
26,monobank.com.ua,Gambling > Poker,2,00:01:46,2.96,15.57%
27,247freepoker.com,Gambling > Poker,3,00:01:44,1.70,66.61%
28,winamax.es,Gambling > Poker,1,00:08:22,6.42,25.75%
29,sharkscope.com,Gambling > Poker,2,00:10:15,6.14,26.23%
30,pokerscout.com,Gambling > Poker,4,00:02:00,1.71,55.13%
31,pokerstars.com,Gambling > Poker,6,00:02:22,4.13,46.35%
32,safe-cashier.com,Gambling > Poker,=,00:03:54,4.78,20.77%
33,clubs.poker,Gambling > Poker,3,00:03:29,5.86,61.6%
34,thehendonmob.com,Gambling > Poker,4,00:01:51,3.71,48.81%
35,pokerstrategy.com,Gambling > Poker,2,00:03:10,3.76,35.37%
36,gamemaker.io,Gambling > Poker,1,00:03:13,2.98,45.6%
37,pokercraft.com,Gambling > Poker,4,00:03:15,3.63,13.07%
38,kooralive.live,Gambling > Poker,=,00:01:52,1.78,62.84%
39,quizfoto.com,Gambling > Poker,6,00:01:53,7.31,28.51%
40,twoplustwo.com,Gambling > Poker,1,00:02:35,3.29,24.95%
41,admiral.hr,Gambling > Poker,7,00:02:53,5.85,55.59%
42,backgammongalaxy.com,Gambling > Poker,1,00:17:52,9.91,20.92%
43,pokerfirma.com,Gambling > Poker,55,00:01:26,1.49,62.46%
44,888poker.com,Gambling > Poker,3,00:04:22,4.36,37.84%
45,clubwpt.com,Gambling > Poker,5,00:02:40,3.37,38.97%
46,capress.kr,Gambling > Poker,88,00:00:30,1.39,84.89%
47,wsop.com,Gambling > Poker,21,00:01:47,3.53,50.94%
48,pokerstars.it,Gambling > Poker,4,00:06:14,8.60,41.48%
49,ggpoker.com,Gambling > Poker,4,00:00:58,2.29,44.66%
50,nlop.com,Gambling > Poker,2,00:05:48,4.36,17.35%
