Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bet.br,Gambling > Sports Betting,=,00:14:28,15.56,21.53%
2,sportybet.com,Gambling > Sports Betting,6,00:15:45,16.02,22.29%
3,brdbuxte.com,Gambling > Sports Betting,7,00:05:06,3.09,19.34%
4,bet365.com,Gambling > Sports Betting,2,00:07:52,5.84,44.19%
5,hollywoodbets.net,Gambling > Sports Betting,=,00:05:57,15.79,21.4%
6,bet9ja.com,Gambling > Sports Betting,3,00:15:01,11.65,28.78%
7,1asb.com,Gambling > Sports Betting,5,00:01:59,1.41,73.92%
8,affpa.top,Gambling > Sports Betting,1,00:02:53,1.68,61.11%
9,esportesdasorte.com,Gambling > Sports Betting,6,00:06:44,5.56,35.67%
10,shimmeyenfonce.top,Gambling > Sports Betting,2,00:02:38,2.09,68.45%
11,betway.co.za,Gambling > Sports Betting,2,00:08:21,4.59,42.06%
12,dltv.org,Gambling > Sports Betting,3,00:09:20,4.22,19.79%
13,1rajbet.in,Gambling > Sports Betting,29,00:02:08,1.90,60.74%
14,arenaplus.net,Gambling > Sports Betting,11,00:11:14,12.50,43.01%
15,flashscore.mobi,Gambling > Sports Betting,6,00:13:11,10.37,28.68%
16,rovno.xyz,Gambling > Sports Betting,7,00:01:30,1.29,76.31%
17,gippyzhmud.shop,Gambling > Sports Betting,=,00:04:33,2.50,64.08%
18,nesine.com,Gambling > Sports Betting,9,00:17:35,17.35,22.08%
19,overninetalesor.com,Gambling > Sports Betting,=,00:04:53,2.58,32.61%
20,redecanais.ps,Gambling > Sports Betting,=,00:07:04,5.30,34.63%
21,gml-grp.com,Gambling > Sports Betting,1,00:00:55,1.28,83.46%
22,betonline.ag,Gambling > Sports Betting,21,00:02:41,3.50,67.38%
23,voe.sx,Gambling > Sports Betting,5,00:04:05,2.16,55.6%
24,refpa7921972.top,Gambling > Sports Betting,52,00:00:31,1.07,96.34%
25,chiasseeress.top,Gambling > Sports Betting,5,00:03:48,2.02,57.75%
26,refpaikgai.top,Gambling > Sports Betting,=,00:01:41,1.63,60.33%
27,emaktab.uz,Gambling > Sports Betting,25,00:17:08,17.52,17.56%
28,bheestybaulk.top,Gambling > Sports Betting,24,00:03:28,2.67,53.2%
29,favbet.ua,Gambling > Sports Betting,12,00:05:39,4.51,45.43%
30,vlr.gg,Gambling > Sports Betting,29,00:04:35,6.79,28.15%
31,ungirthfraple.top,Gambling > Sports Betting,13,00:06:13,2.73,53.53%
32,forebet.com,Gambling > Sports Betting,=,00:07:58,5.73,40.57%
33,thscore.mobi,Gambling > Sports Betting,4,00:11:52,12.10,32.95%
34,shrijebat.top,Gambling > Sports Betting,94,00:04:37,3.09,48.82%
35,refpamjeql.top,Gambling > Sports Betting,16,00:00:49,1.53,48.31%
36,d3pvfi6m7bxu71.cloudfront.net,Gambling > Sports Betting,37,00:08:08,3.70,33.35%
37,winline.ru,Gambling > Sports Betting,9,00:04:24,5.12,28.9%
38,lupsushuns.com,Gambling > Sports Betting,"9,309",00:01:50,2.76,31.66%
39,apuestatotal.com,Gambling > Sports Betting,44,00:12:11,9.57,38.96%
40,duelledeyelet.shop,Gambling > Sports Betting,16,00:00:56,2.27,35.34%
41,noolt.com,Gambling > Sports Betting,5,00:00:14,1.09,93.62%
42,winzogames.com,Gambling > Sports Betting,36,00:01:40,1.58,66.57%
43,dpuplet.net,Gambling > Sports Betting,6,00:01:39,1.45,78.09%
44,crackstreams.cx,Gambling > Sports Betting,23,00:05:13,3.95,36.96%
45,betano.pe,Gambling > Sports Betting,24,00:05:13,4.23,60.15%
46,futemax.mn,Gambling > Sports Betting,=,00:04:10,3.14,21.02%
47,okbet.com,Gambling > Sports Betting,8,00:09:28,8.02,32.93%
48,tpi.li,Gambling > Sports Betting,8,00:05:01,4.47,29.31%
49,sportradar.com,Gambling > Sports Betting,19,00:09:16,14.48,32.73%
50,pteleaspiring.top,Gambling > Sports Betting,11,00:04:41,4.29,59.8%
