Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,chess.com,Games > Board and Card Games,=,00:14:32,19.76,18.51%
2,lichess.org,Games > Board and Card Games,=,00:16:32,25.16,18.4%
3,solitaired.com,Games > Board and Card Games,2,00:20:07,6.33,27.81%
4,cardgames.io,Games > Board and Card Games,1,00:15:37,6.95,33.33%
5,boardgamegeek.com,Games > Board and Card Games,1,00:04:59,6.80,33.77%
6,cardmarket.com,Games > Board and Card Games,=,00:08:56,13.45,21.69%
7,playingcards.jp,Games > Board and Card Games,1,00:07:34,3.61,48.66%
8,solitr.com,Games > Board and Card Games,1,00:04:54,1.86,58.67%
9,worldofsolitaire.com,Games > Board and Card Games,2,00:02:27,1.30,82.05%
10,scryfall.com,Games > Board and Card Games,2,00:07:42,8.30,25.11%
11,moxfield.com,Games > Board and Card Games,3,00:06:18,4.97,48.13%
12,free-spider-solitaire.com,Games > Board and Card Games,1,00:05:03,2.14,50.26%
13,cdromance.org,Games > Board and Card Games,4,00:02:34,4.24,42.84%
14,edhrec.com,Games > Board and Card Games,2,00:06:32,5.11,38.17%
15,bloxfruitsvalues.com,Games > Board and Card Games,5,00:02:47,2.36,46.4%
16,warhammer.com,Games > Board and Card Games,1,00:02:56,4.38,49.84%
17,chess-results.com,Games > Board and Card Games,=,00:06:05,6.22,30.49%
18,free-freecell-solitaire.com,Games > Board and Card Games,=,00:04:52,2.21,39.14%
19,247solitaire.com,Games > Board and Card Games,=,00:03:16,1.69,66.06%
20,solitairebliss.com,Games > Board and Card Games,1,00:15:24,4.62,38.64%
21,sanguosha.com,Games > Board and Card Games,1,00:02:57,4.31,11.78%
22,yugioh-card.com,Games > Board and Card Games,2,00:04:05,3.66,52.77%
23,shogi.or.jp,Games > Board and Card Games,4,00:03:25,4.53,37.96%
24,colonist.io,Games > Board and Card Games,1,00:13:39,6.60,19.48%
25,jeu-du-solitaire.com,Games > Board and Card Games,1,00:02:35,1.28,83.21%
26,gamefound.com,Games > Board and Card Games,5,00:05:00,10.61,27.74%
27,nothing.tech,Games > Board and Card Games,3,00:02:35,3.52,38.13%
28,deepwoken.co,Games > Board and Card Games,3,00:04:43,2.55,52.56%
29,tactics.tools,Games > Board and Card Games,9,00:04:20,3.93,36.37%
30,flyordie.com,Games > Board and Card Games,1,00:08:54,6.00,23.41%
31,archidekt.com,Games > Board and Card Games,1,00:05:24,4.77,35.02%
32,fide.com,Games > Board and Card Games,4,00:02:12,4.07,39.79%
33,scryfall.io,Games > Board and Card Games,2,00:03:21,3.70,43.65%
34,soritia.jp,Games > Board and Card Games,3,00:09:27,3.28,34.75%
35,chessbase.com,Games > Board and Card Games,2,00:03:26,2.80,42.23%
36,cardtrader.com,Games > Board and Card Games,2,00:06:45,7.97,29.12%
37,greenfelt.net,Games > Board and Card Games,3,00:05:30,2.41,59.42%
38,sudokupad.app,Games > Board and Card Games,2,00:10:10,3.17,50.72%
39,similarsearch.net,Games > Board and Card Games,2,00:00:47,2.41,40.4%
40,rummycircle.com,Games > Board and Card Games,4,00:03:01,3.75,57.85%
41,mahjon.gg,Games > Board and Card Games,5,00:02:17,1.44,74.96%
42,247backgammon.org,Games > Board and Card Games,10,00:03:28,1.56,64.02%
43,wahapedia.ru,Games > Board and Card Games,4,00:05:49,5.37,32.64%
44,spider-solitaire-game.com,Games > Board and Card Games,1,00:01:49,1.39,78.96%
45,spotle.io,Games > Board and Card Games,5,00:02:26,2.03,60.66%
46,newrecruit.eu,Games > Board and Card Games,5,00:07:13,8.35,46.31%
47,nextchessmove.com,Games > Board and Card Games,=,00:01:47,3.53,54.29%
48,draftsim.com,Games > Board and Card Games,14,00:02:19,2.08,47.77%
49,aide-scrabble.fr,Games > Board and Card Games,3,00:06:54,6.97,32.72%
50,trickstercards.com,Games > Board and Card Games,6,00:20:49,6.31,20.64%
