Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,truyenqqto.com,Games > Games - Other,=,00:22:29,9.43,26.14%
2,5ch.net,Games > Games - Other,=,00:07:47,4.16,36.81%
3,douyu.com,Games > Games - Other,=,00:07:11,4.79,22.6%
4,sng.link,Games > Games - Other,=,00:00:40,1.35,80.42%
5,kemono.su,Games > Games - Other,1,00:07:17,13.09,29.84%
6,huya.com,Games > Games - Other,1,00:05:28,3.40,27.92%
7,atwiki.jp,Games > Games - Other,=,00:06:30,3.96,47.13%
8,nga.cn,Games > Games - Other,=,00:10:59,15.79,14.16%
9,platoboost.com,Games > Games - Other,6,00:02:38,3.23,22.39%
10,wcofun.net,Games > Games - Other,2,00:14:04,4.91,34.89%
11,lego.com,Games > Games - Other,1,00:03:19,5.67,34.39%
12,answers.yahoo.com,Games > Games - Other,2,00:02:04,1.52,63.54%
13,u.gg,Games > Games - Other,2,00:06:28,4.29,33.17%
14,suruga-ya.jp,Games > Games - Other,1,00:06:01,9.52,35.97%
15,pch.com,Games > Games - Other,1,00:17:54,24.15,13.41%
16,boardgamearena.com,Games > Games - Other,1,00:16:23,13.03,22.1%
17,tcgplayer.com,Games > Games - Other,2,00:06:45,10.68,29.2%
18,mobalytics.gg,Games > Games - Other,9,00:04:02,3.39,47.13%
19,tanki.su,Games > Games - Other,1,00:02:32,3.67,45.05%
20,notube.si,Games > Games - Other,3,00:05:52,7.58,23.4%
21,rik.vip,Games > Games - Other,11,00:01:10,1.36,80.25%
22,games.yahoo.co.jp,Games > Games - Other,2,00:04:20,1.87,56.47%
23,fortnite.com,Games > Games - Other,2,00:02:33,3.73,55.66%
24,point-ad-game.com,Games > Games - Other,=,00:01:08,3.00,18.44%
25,sololevelingmangafree.com,Games > Games - Other,12,00:25:42,7.34,31.29%
26,kickstarter.com,Games > Games - Other,5,00:02:45,3.62,46.38%
27,pokemonshowdown.com,Games > Games - Other,1,00:15:39,9.35,24.9%
28,9anime.org.lv,Games > Games - Other,6,00:09:35,4.97,31.29%
29,dndbeyond.com,Games > Games - Other,2,00:08:28,7.04,38.23%
30,steamdb.info,Games > Games - Other,3,00:03:07,4.25,33.35%
31,devilhard.com,Games > Games - Other,1,00:00:42,1.16,88.76%
32,perchance.org,Games > Games - Other,3,00:03:37,3.86,53.34%
33,freecash.com,Games > Games - Other,4,00:05:01,4.04,48.43%
34,triviatoday.com,Games > Games - Other,2,00:02:17,4.56,13.18%
35,worldoftanks.eu,Games > Games - Other,10,00:02:02,2.29,37.66%
36,netmarble.com,Games > Games - Other,6,00:02:15,4.10,62.46%
37,razlozhi.ru,Games > Games - Other,1,00:07:03,2.38,51.44%
38,pricecharting.com,Games > Games - Other,2,00:05:02,6.41,38.43%
39,modrinth.com,Games > Games - Other,2,00:06:17,11.75,35.39%
40,fischipedia.org,Games > Games - Other,27,00:06:33,5.67,38.54%
41,doodles.google,Games > Games - Other,7,00:03:30,2.54,58.18%
42,granbluefantasy.jp,Games > Games - Other,14,00:32:42,56.02,18.58%
43,yt1s.com.co,Games > Games - Other,10,00:04:07,4.99,33.6%
44,gamebanana.com,Games > Games - Other,5,00:14:00,10.26,29.11%
45,g2a.com,Games > Games - Other,2,00:03:09,5.26,31.75%
46,pokemondb.net,Games > Games - Other,1,00:06:27,5.28,46.87%
47,web-jong.com,Games > Games - Other,1,00:03:10,1.93,52.24%
48,wizards.com,Games > Games - Other,11,00:02:47,3.19,43.67%
49,wargaming.net,Games > Games - Other,5,00:03:48,7.35,25.89%
50,pockettactics.com,Games > Games - Other,3,00:01:52,1.92,66.55%
