Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,sudoku.com,Games > Puzzles and Brainteasers,=,00:07:33,2.95,47.72%
2,games.aarp.org,Games > Puzzles and Brainteasers,=,00:14:32,4.11,35.83%
3,wordplays.com,Games > Puzzles and Brainteasers,=,00:06:30,4.43,42.91%
4,thejigsawpuzzles.com,Games > Puzzles and Brainteasers,=,00:10:52,4.10,20.3%
5,minutecryptic.com,Games > Puzzles and Brainteasers,2,00:05:16,2.52,47.63%
6,wordunscrambler.me,Games > Puzzles and Brainteasers,1,00:05:36,4.20,40.98%
7,wafflegame.net,Games > Puzzles and Brainteasers,1,00:02:38,2.27,46.79%
8,danword.com,Games > Puzzles and Brainteasers,1,00:06:47,4.30,49.49%
9,scrabblewordfinder.org,Games > Puzzles and Brainteasers,1,00:06:27,7.87,47.02%
10,thewordfinder.com,Games > Puzzles and Brainteasers,=,00:03:39,3.63,62.23%
11,crosswordsolver.com,Games > Puzzles and Brainteasers,=,00:02:57,3.20,50.41%
12,websudoku.com,Games > Puzzles and Brainteasers,=,00:05:10,1.87,62.83%
13,wordunscrambler.net,Games > Puzzles and Brainteasers,=,00:02:30,2.81,64.15%
14,wort-suchen.de,Games > Puzzles and Brainteasers,1,00:07:44,5.04,35.74%
15,jigsawexplorer.com,Games > Puzzles and Brainteasers,1,00:08:39,5.36,23.23%
16,arealme.com,Games > Puzzles and Brainteasers,6,00:04:21,3.58,54.89%
17,freedom.to,Games > Puzzles and Brainteasers,1,00:05:50,6.83,44.64%
18,games.usatoday.com,Games > Puzzles and Brainteasers,4,00:06:25,2.77,52.93%
19,sbsolver.com,Games > Puzzles and Brainteasers,=,00:02:35,3.64,52.69%
20,pie.org,Games > Puzzles and Brainteasers,3,00:01:19,2.45,53.19%
21,makeitmeme.com,Games > Puzzles and Brainteasers,2,00:08:44,7.44,40.14%
22,crosswordsolver.org,Games > Puzzles and Brainteasers,1,00:03:41,4.45,50.46%
23,zistop.com,Games > Puzzles and Brainteasers,1,00:00:44,1.76,58.95%
24,sudoku.game,Games > Puzzles and Brainteasers,4,00:01:59,1.83,57.79%
25,nerdlegame.com,Games > Puzzles and Brainteasers,=,00:04:06,5.78,47.21%
26,geogridgame.com,Games > Puzzles and Brainteasers,8,00:06:44,5.38,43.65%
27,boatloadpuzzles.com,Games > Puzzles and Brainteasers,=,00:05:24,1.84,63.73%
28,247sudoku.com,Games > Puzzles and Brainteasers,5,00:03:17,1.74,62.82%
29,jigidi.com,Games > Puzzles and Brainteasers,3,00:08:20,14.42,21.08%
30,kids.lego.com,Games > Puzzles and Brainteasers,1,00:02:29,2.04,68.5%
31,quordle.com,Games > Puzzles and Brainteasers,=,00:00:45,1.17,81.36%
32,codycross.info,Games > Puzzles and Brainteasers,5,00:03:36,3.14,51.63%
33,terrayou.com,Games > Puzzles and Brainteasers,1,00:06:09,20.90,35.03%
34,lumosity.com,Games > Puzzles and Brainteasers,6,00:08:11,7.69,27.77%
35,rachacuca.com.br,Games > Puzzles and Brainteasers,1,00:08:15,3.71,43.88%
36,6mal5.com,Games > Puzzles and Brainteasers,1,00:05:30,2.15,57.65%
37,themahjong.com,Games > Puzzles and Brainteasers,7,00:08:19,2.22,53.62%
38,puzzlebaron.com,Games > Puzzles and Brainteasers,=,00:15:47,11.47,18.8%
39,puzzle-nonograms.com,Games > Puzzles and Brainteasers,3,00:12:28,6.20,28.35%
40,flagle-game.com,Games > Puzzles and Brainteasers,19,00:02:48,2.68,38.19%
41,lovattspuzzles.com,Games > Puzzles and Brainteasers,5,00:04:30,2.61,48.77%
42,si-coding.net,Games > Puzzles and Brainteasers,1,00:08:34,2.73,39.81%
43,numberplace.net,Games > Puzzles and Brainteasers,13,00:08:14,2.85,43.36%
44,korsordsvar.com,Games > Puzzles and Brainteasers,4,00:09:55,3.42,46.08%
45,ultimatesuccesspuzzle.com,Games > Puzzles and Brainteasers,4,00:05:52,4.13,49.28%
46,farmville3.com,Games > Puzzles and Brainteasers,11,00:01:01,2.43,36.94%
47,unscramble.me,Games > Puzzles and Brainteasers,8,00:01:25,2.38,59.19%
48,culturequizz.com,Games > Puzzles and Brainteasers,2,00:09:17,4.70,41.91%
49,nonograms.org,Games > Puzzles and Brainteasers,4,00:10:51,6.90,21.21%
50,heywise.com,Games > Puzzles and Brainteasers,1,00:03:17,8.73,37.19%
