Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,animego.ong,Games > Roleplaying Games,=,00:07:50,2.40,54.15%
2,yatv3.net,Games > Roleplaying Games,=,00:10:05,22.96,21.36%
3,roll20.net,Games > Roleplaying Games,1,00:07:07,4.86,27.54%
4,secondlife.com,Games > Roleplaying Games,1,00:09:29,10.50,21.37%
5,igg.com,Games > Roleplaying Games,4,00:01:50,2.86,53.93%
6,lanzoup.com,Games > Roleplaying Games,1,00:01:39,2.54,41.29%
7,deeplol.gg,Games > Roleplaying Games,4,00:06:24,5.08,25.81%
8,5e.tools,Games > Roleplaying Games,4,00:10:13,13.60,28.84%
9,fantasynamegenerators.com,Games > Roleplaying Games,1,00:02:14,2.33,55.81%
10,dnd.su,Games > Roleplaying Games,3,00:09:40,6.91,37.59%
11,heroforge.com,Games > Roleplaying Games,4,00:02:44,2.44,54.26%
12,aonprd.com,Games > Roleplaying Games,10,00:08:31,6.58,37.78%
13,imgchest.com,Games > Roleplaying Games,8,00:04:32,3.39,44.83%
14,nxbrew.net,Games > Roleplaying Games,3,00:02:52,5.06,42.42%
15,f-list.net,Games > Roleplaying Games,4,00:12:45,9.97,30.13%
16,aniwave.lv,Games > Roleplaying Games,10,00:13:05,6.11,31.14%
17,mejortorrent.eu,Games > Roleplaying Games,1,00:03:02,5.37,35.69%
18,rusticotvhd.com,Games > Roleplaying Games,=,00:04:28,2.62,36.54%
19,giantitp.com,Games > Roleplaying Games,6,00:02:10,2.81,48.49%
20,poppyplaytime.com,Games > Roleplaying Games,57,00:01:48,3.31,53.97%
21,aidedd.org,Games > Roleplaying Games,7,00:04:38,4.06,49.01%
22,probuildstats.com,Games > Roleplaying Games,2,00:02:12,1.82,54.36%
23,gam.onl,Games > Roleplaying Games,4,00:05:47,8.18,26.06%
24,drivethrurpg.com,Games > Roleplaying Games,2,00:03:10,4.95,36.38%
25,worldanvil.com,Games > Roleplaying Games,4,00:03:02,3.78,52.51%
26,movies.7xtream.com,Games > Roleplaying Games,=,00:03:11,2.41,56.63%
27,swudb.com,Games > Roleplaying Games,12,00:07:06,5.13,33.71%
28,rpgbot.net,Games > Roleplaying Games,2,00:05:54,1.86,42.76%
29,owlbear.rodeo,Games > Roleplaying Games,6,00:05:23,3.79,49.21%
30,eveonline.com,Games > Roleplaying Games,6,00:03:00,5.82,38.95%
31,fallenlondon.com,Games > Roleplaying Games,8,00:04:46,5.32,41.24%
32,inkarnate.com,Games > Roleplaying Games,=,00:04:58,6.30,33.06%
33,uniteapi.dev,Games > Roleplaying Games,19,00:04:45,2.74,46.17%
34,marketplace.dndbeyond.com,Games > Roleplaying Games,7,00:02:26,3.81,34.44%
35,sabbat.su,Games > Roleplaying Games,15,00:00:44,1.06,91.68%
36,7fz7efcr.click,Games > Roleplaying Games,2,00:01:39,2.99,42.49%
37,anichin.fun,Games > Roleplaying Games,=,00:09:36,3.00,48.09%
38,enworld.org,Games > Roleplaying Games,2,00:02:42,2.76,61.96%
39,acgyyg.ru,Games > Roleplaying Games,8,00:04:18,6.50,41.09%
40,tribalwars.net,Games > Roleplaying Games,30,00:09:50,39.24,17.76%
41,wfwf367.com,Games > Roleplaying Games,=,00:09:09,5.69,42.16%
42,url-advertisement.org,Games > Roleplaying Games,=,00:00:31,1.16,91.12%
43,123912.com,Games > Roleplaying Games,=,00:01:14,2.82,32.77%
44,archero2.com,Games > Roleplaying Games,13,00:01:27,1.68,77.86%
45,gmbinder.com,Games > Roleplaying Games,=,00:01:34,2.16,56.74%
46,forge-vtt.com,Games > Roleplaying Games,2,00:05:27,5.01,28.56%
47,vaycasino279.com,Games > Roleplaying Games,=,00:06:39,3.81,47.85%
48,rpg.net,Games > Roleplaying Games,5,00:04:00,3.51,49.32%
49,beacon.tv,Games > Roleplaying Games,8,00:03:02,3.15,41.94%
50,torrent911.lol,Games > Roleplaying Games,42,00:01:28,2.00,71.99%
