Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,twitch.tv,Games > Video Games Consoles and Accessories,=,00:08:42,4.92,28.7%
2,roblox.com,Games > Video Games Consoles and Accessories,=,00:10:16,8.18,23.66%
3,asuracomic.net,Games > Video Games Consoles and Accessories,=,00:12:36,4.80,37.7%
4,steampowered.com,Games > Video Games Consoles and Accessories,=,00:02:43,3.96,47.15%
5,steamcommunity.com,Games > Video Games Consoles and Accessories,=,00:03:47,3.66,53.96%
6,poki.com,Games > Video Games Consoles and Accessories,=,00:09:03,5.68,29.81%
7,ign.com,Games > Video Games Consoles and Accessories,1,00:01:46,1.90,63.96%
8,game8.jp,Games > Video Games Consoles and Accessories,1,00:04:38,3.39,54.7%
9,gamewith.jp,Games > Video Games Consoles and Accessories,2,00:04:44,3.01,51.59%
10,gamer.com.tw,Games > Video Games Consoles and Accessories,1,00:06:05,5.41,40.55%
11,epicgames.com,Games > Video Games Consoles and Accessories,1,00:03:01,4.62,34.09%
12,crazygames.com,Games > Video Games Consoles and Accessories,4,00:08:16,4.30,31.62%
13,gamerant.com,Games > Video Games Consoles and Accessories,=,00:00:51,1.52,59.65%
14,nexusmods.com,Games > Video Games Consoles and Accessories,=,00:10:42,15.95,22.18%
15,playstation.com,Games > Video Games Consoles and Accessories,7,00:02:56,3.46,47.69%
16,ea.com,Games > Video Games Consoles and Accessories,1,00:03:02,3.68,41.36%
17,jeuxvideo.com,Games > Video Games Consoles and Accessories,7,00:05:16,5.87,32.43%
18,xbox.com,Games > Video Games Consoles and Accessories,1,00:03:46,4.35,37.59%
19,kahoot.it,Games > Video Games Consoles and Accessories,9,00:09:07,22.51,26.13%
20,hltv.org,Games > Video Games Consoles and Accessories,11,00:06:16,6.75,23.97%
21,op.gg,Games > Video Games Consoles and Accessories,4,00:06:30,4.09,30.41%
22,sooplive.co.kr,Games > Video Games Consoles and Accessories,1,00:14:42,12.19,21.73%
23,gamespot.com,Games > Video Games Consoles and Accessories,2,00:03:02,2.80,61.36%
24,inven.co.kr,Games > Video Games Consoles and Accessories,3,00:11:29,10.92,34.21%
25,3dmgame.com,Games > Video Games Consoles and Accessories,2,00:03:04,4.08,44.05%
26,ruliweb.com,Games > Video Games Consoles and Accessories,=,00:16:58,17.66,28.08%
27,nintendo.com,Games > Video Games Consoles and Accessories,7,00:03:36,4.75,37.75%
28,otnolatrnup.com,Games > Video Games Consoles and Accessories,4,00:02:34,1.89,53.24%
29,g123.jp,Games > Video Games Consoles and Accessories,18,00:01:29,1.61,60.39%
30,arca.live,Games > Video Games Consoles and Accessories,3,00:10:14,16.33,26.45%
31,itch.io,Games > Video Games Consoles and Accessories,7,00:03:56,5.83,40.68%
32,gutefrage.net,Games > Video Games Consoles and Accessories,3,00:01:53,2.17,60.79%
33,futbin.com,Games > Video Games Consoles and Accessories,5,00:07:08,8.91,25.95%
34,nexon.com,Games > Video Games Consoles and Accessories,5,00:05:23,6.15,28.81%
35,spicychat.ai,Games > Video Games Consoles and Accessories,1,00:13:20,9.44,40.67%
36,mediago.io,Games > Video Games Consoles and Accessories,1,00:00:58,1.35,71.33%
37,gamesradar.com,Games > Video Games Consoles and Accessories,13,00:00:57,1.47,55.33%
38,gamersky.com,Games > Video Games Consoles and Accessories,4,00:04:17,4.32,39.56%
39,faceit.com,Games > Video Games Consoles and Accessories,5,00:08:47,9.53,13.95%
40,liquipedia.net,Games > Video Games Consoles and Accessories,19,00:03:09,3.90,39.22%
41,pathofexile.com,Games > Video Games Consoles and Accessories,24,00:15:09,18.84,11.37%
42,fanbox.cc,Games > Video Games Consoles and Accessories,3,00:02:32,5.42,40.98%
43,supercell.com,Games > Video Games Consoles and Accessories,29,00:01:30,3.17,54.76%
44,vtubermatomerevival.com,Games > Video Games Consoles and Accessories,6,00:09:12,4.52,13.62%
45,kamigame.jp,Games > Video Games Consoles and Accessories,2,00:04:39,3.08,55.06%
46,riotgames.com,Games > Video Games Consoles and Accessories,5,00:02:18,3.10,57.09%
47,aternos.org,Games > Video Games Consoles and Accessories,1,00:07:07,7.38,31.32%
48,pcgamer.com,Games > Video Games Consoles and Accessories,20,00:01:01,1.62,45.93%
49,hoyolab.com,Games > Video Games Consoles and Accessories,9,00:03:09,5.45,45.15%
50,curseforge.com,Games > Video Games Consoles and Accessories,6,00:06:33,10.12,30.28%
