Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,blocksite.co,Health > Addictions,=,00:01:34,2.76,27.6%
2,trulieve.com,Health > Addictions,=,00:05:39,7.42,32.21%
3,kipuworks.com,Health > Addictions,5,00:25:23,15.73,20.53%
4,nofap.com,Health > Addictions,1,00:02:59,4.34,37.45%
5,curaleaf.com,Health > Addictions,1,00:04:32,4.98,39.14%
6,kipu-11004.s3.amazonaws.com,Health > Addictions,3,00:03:33,1.72,68.04%
7,notdrink.ru,Health > Addictions,=,00:35:16,22.65,14.45%
8,0x3.com,Health > Addictions,5,00:02:50,1.51,74.01%
9,americanaddictioncenters.org,Health > Addictions,2,00:00:48,1.38,69.67%
10,dea.gov,Health > Addictions,3,00:00:48,1.74,64.76%
11,iheartjane.com,Health > Addictions,5,00:03:21,3.49,49.35%
12,advmd.co,Health > Addictions,3,00:00:32,1.20,82.19%
13,zamnesia.com,Health > Addictions,3,00:03:05,4.59,46.91%
14,aa.org,Health > Addictions,2,00:01:27,1.88,62.44%
15,allbud.com,Health > Addictions,1,00:01:53,2.01,64.1%
16,rehabfamily.com,Health > Addictions,2,00:00:27,1.29,52.82%
17,zenleafdispensaries.com,Health > Addictions,2,00:02:34,3.32,44.77%
18,joyous.team,Health > Addictions,2,00:03:35,3.45,32.18%
19,localplan.co,Health > Addictions,2,00:01:17,2.04,46.95%
20,grower.ch,Health > Addictions,5,00:09:00,4.61,45.41%
21,addictioncenter.com,Health > Addictions,5,00:00:35,1.40,66.03%
22,therecoveryvillage.com,Health > Addictions,2,00:00:43,1.32,66.05%
23,jftna.org,Health > Addictions,1,00:01:41,2.10,60.87%
24,behavioralhealth-centers.com,Health > Addictions,6,00:01:42,1.77,73.83%
25,psychonautwiki.org,Health > Addictions,4,00:03:33,3.66,38.39%
26,shroomery.org,Health > Addictions,1,00:03:12,3.09,47.04%
27,erowid.org,Health > Addictions,7,00:04:36,4.98,41.11%
28,well-net.org,Health > Addictions,5,00:05:29,5.27,23.71%
29,watchasia.is,Health > Addictions,25,00:03:43,2.21,66.59%
30,hapvidandi.com.br,Health > Addictions,8,00:01:20,1.91,56.7%
31,laakeinfo.fi,Health > Addictions,3,00:00:52,1.38,66.32%
32,adf.org.au,Health > Addictions,8,00:00:33,1.45,66.26%
33,growdiaries.com,Health > Addictions,6,00:03:47,7.17,36.26%
34,kinoscan.com,Health > Addictions,1,00:00:48,1.18,72.99%
35,cerebellumacademy.com,Health > Addictions,45,00:07:23,5.70,44.18%
36,saa-recovery.org,Health > Addictions,3,00:02:11,2.28,43.41%
37,beyond-hello.com,Health > Addictions,5,00:03:58,2.34,50.39%
38,liki.uz,Health > Addictions,22,00:00:37,1.62,60.47%
39,samsa.org.in,Health > Addictions,=,00:01:29,1.50,64.68%
40,zinniahealth.com,Health > Addictions,13,00:00:38,1.52,60.43%
41,internetaddictsanonymous.org,Health > Addictions,8,00:04:30,2.30,47.17%
42,employersolutions.com,Health > Addictions,5,00:05:23,3.79,21.48%
43,jomo.so,Health > Addictions,5,00:06:58,3.27,44.37%
44,icmag.com,Health > Addictions,12,00:03:39,3.44,36.86%
45,ggplus.pro,Health > Addictions,1,00:54:21,23.17,5.28%
46,dmed.uz,Health > Addictions,17,00:26:55,26.72,13.84%
47,hazeldenbettyford.org,Health > Addictions,2,00:00:40,1.36,66.17%
48,jellinek.nl,Health > Addictions,3,00:00:48,1.53,62.27%
49,calmark.io,Health > Addictions,8,00:02:51,2.12,56.17%
50,verimed.ru,Health > Addictions,6,00:00:30,1.24,56.98%
