Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,mevosaude.com.br,Health > Biotechnology and Pharmaceuticals,=,00:00:35,1.55,39.54%
2,daiichisankyo-hc.co.jp,Health > Biotechnology and Pharmaceuticals,1,00:01:14,1.62,74.82%
3,veevavault.com,Health > Biotechnology and Pharmaceuticals,3,00:14:21,29.71,22.32%
4,oracleindustry.com,Health > Biotechnology and Pharmaceuticals,3,00:10:40,4.27,24.89%
5,cytamins.ru,Health > Biotechnology and Pharmaceuticals,3,00:01:10,1.50,40.41%
6,sawai.co.jp,Health > Biotechnology and Pharmaceuticals,2,00:00:31,1.21,79.23%
7,farmazon.com.tr,Health > Biotechnology and Pharmaceuticals,1,00:12:10,15.93,16.92%
8,drmax.pl,Health > Biotechnology and Pharmaceuticals,1,00:00:56,1.79,42.74%
9,9meters.com,Health > Biotechnology and Pharmaceuticals,1,00:00:51,1.29,67.54%
10,pfizerforall.com,Health > Biotechnology and Pharmaceuticals,75,00:01:07,1.48,74.83%
11,rohto.com,Health > Biotechnology and Pharmaceuticals,5,00:01:12,1.99,74.54%
12,pfizer.com,Health > Biotechnology and Pharmaceuticals,=,00:02:26,3.23,53.39%
13,kenei-pharm.com,Health > Biotechnology and Pharmaceuticals,8,00:00:25,1.37,45.28%
14,medical-care.net,Health > Biotechnology and Pharmaceuticals,5,00:11:45,4.82,30.86%
15,alinamin-kenko.jp,Health > Biotechnology and Pharmaceuticals,2,00:00:35,1.13,84.31%
16,roche.com,Health > Biotechnology and Pharmaceuticals,2,00:03:11,3.74,46.01%
17,mt-pharma.co.jp,Health > Biotechnology and Pharmaceuticals,3,00:00:38,1.41,37.99%
18,abbvie.com,Health > Biotechnology and Pharmaceuticals,3,00:03:54,3.85,41.68%
19,taisho-kenko.com,Health > Biotechnology and Pharmaceuticals,5,00:00:52,1.70,73.46%
20,otsuka.co.jp,Health > Biotechnology and Pharmaceuticals,3,00:01:15,1.60,72.32%
21,iqvia.com,Health > Biotechnology and Pharmaceuticals,3,00:04:40,4.22,48.57%
22,webdiet.com.br,Health > Biotechnology and Pharmaceuticals,=,00:20:05,10.00,27.75%
23,ryukakusan.co.jp,Health > Biotechnology and Pharmaceuticals,5,00:01:04,1.58,76.17%
24,prevnar20.com,Health > Biotechnology and Pharmaceuticals,8,00:00:57,1.27,80.22%
25,zutool.jp,Health > Biotechnology and Pharmaceuticals,2,00:01:36,1.41,84%
26,novartis.com,Health > Biotechnology and Pharmaceuticals,3,00:01:46,2.88,54.08%
27,bayer.com,Health > Biotechnology and Pharmaceuticals,3,00:01:33,2.63,60.23%
28,chahwa.com.tw,Health > Biotechnology and Pharmaceuticals,1,00:08:38,8.15,15.6%
29,kamimutsukawa.com,Health > Biotechnology and Pharmaceuticals,18,00:00:34,1.60,47.63%
30,imedidata.com,Health > Biotechnology and Pharmaceuticals,4,00:12:00,11.90,25.23%
31,otelixio.com,Health > Biotechnology and Pharmaceuticals,=,00:00:04,1.24,75.38%
32,merck.com,Health > Biotechnology and Pharmaceuticals,1,00:05:03,3.94,44.91%
33,ratiopharm.de,Health > Biotechnology and Pharmaceuticals,3,00:00:35,1.32,80.76%
34,sberhealth.ru,Health > Biotechnology and Pharmaceuticals,15,00:02:48,3.55,48.74%
35,merckgroup.com,Health > Biotechnology and Pharmaceuticals,4,00:03:28,3.65,43.32%
36,kowa.co.jp,Health > Biotechnology and Pharmaceuticals,11,00:01:02,1.92,55.61%
37,fiercebiotech.com,Health > Biotechnology and Pharmaceuticals,2,00:01:21,1.59,66.32%
38,rohto.co.jp,Health > Biotechnology and Pharmaceuticals,3,00:01:16,2.51,48.51%
39,astrazeneca.com,Health > Biotechnology and Pharmaceuticals,2,00:02:29,3.25,44.96%
40,redcare-apotheke.ch,Health > Biotechnology and Pharmaceuticals,=,00:03:37,3.89,55.78%
41,endpts.com,Health > Biotechnology and Pharmaceuticals,=,00:02:24,2.15,49.96%
42,news.popyard.space,Health > Biotechnology and Pharmaceuticals,59,00:10:43,7.10,9.77%
43,fit.clinic,Health > Biotechnology and Pharmaceuticals,5,00:00:25,1.29,70.67%
44,takeda.com,Health > Biotechnology and Pharmaceuticals,2,00:01:23,2.74,51.53%
45,careers.lilly.com,Health > Biotechnology and Pharmaceuticals,1,00:03:17,4.37,39.81%
46,eurofarma.com.br,Health > Biotechnology and Pharmaceuticals,1,00:01:03,1.37,73.84%
47,symbion.com.au,Health > Biotechnology and Pharmaceuticals,=,00:09:04,5.18,28.69%
48,center-dental-clinic.com,Health > Biotechnology and Pharmaceuticals,=,00:02:00,1.14,87.44%
49,amgen.com,Health > Biotechnology and Pharmaceuticals,4,00:01:34,2.64,46.72%
50,prescriberpoint.com,Health > Biotechnology and Pharmaceuticals,16,00:01:08,1.36,78.79%
