Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,babycenter.com,Health > Childrens Health,=,00:01:35,2.15,62.63%
2,babyblog.ru,Health > Childrens Health,=,00:04:12,3.18,28.77%
3,parenting.pl,Health > Childrens Health,=,00:00:48,1.59,38.37%
4,parents.com,Health > Childrens Health,=,00:01:03,1.66,69.87%
5,kidshealth.org,Health > Childrens Health,=,00:01:00,1.52,81.23%
6,baby.ru,Health > Childrens Health,2,00:04:34,1.17,39.85%
7,u-mama.ru,Health > Childrens Health,1,00:07:10,5.65,39.7%
8,sibmama.ru,Health > Childrens Health,3,00:02:30,4.63,50.72%
9,guiainfantil.com,Health > Childrens Health,1,00:02:02,1.83,62.78%
10,7ya.ru,Health > Childrens Health,1,00:05:32,3.18,35.6%
11,stanfordchildrens.org,Health > Childrens Health,4,00:02:24,2.57,69.86%
12,littleone.ru,Health > Childrens Health,=,00:09:59,11.77,30.57%
13,mom.life,Health > Childrens Health,6,00:01:40,1.19,49.63%
14,party.pl,Health > Childrens Health,1,00:00:53,1.51,51.65%
15,happiestbaby.com,Health > Childrens Health,1,00:01:37,1.99,59.95%
16,huckleberrycare.com,Health > Childrens Health,2,00:01:21,2.12,56.71%
17,raisingchildren.net.au,Health > Childrens Health,1,00:01:01,1.63,68.55%
18,gdemoideti.ru,Health > Childrens Health,1,00:01:07,1.54,59.97%
19,childmind.org,Health > Childrens Health,2,00:01:04,1.69,59.87%
20,perfactive.fr,Health > Childrens Health,3,00:04:42,9.06,37.83%
21,bebemamae.com,Health > Childrens Health,4,00:00:55,1.33,61.86%
22,attractivenesstest.com,Health > Childrens Health,4,00:05:33,10.29,22.55%
23,madeformums.com,Health > Childrens Health,1,00:01:01,1.57,66.26%
24,babyhome.com.tw,Health > Childrens Health,=,00:02:05,1.98,65.33%
25,healthify.nz,Health > Childrens Health,6,00:01:26,1.62,57.29%
26,parents.ru,Health > Childrens Health,6,00:01:13,1.48,43.23%
27,serpadres.es,Health > Childrens Health,=,00:01:12,1.70,67.4%
28,kinderaerzte-im-netz.de,Health > Childrens Health,1,00:00:50,1.71,77.19%
29,dodot.es,Health > Childrens Health,4,00:00:36,1.91,75.9%
30,medela.com,Health > Childrens Health,2,00:01:08,2.13,63.78%
31,clinics-app.com,Health > Childrens Health,1,00:01:16,1.67,75.43%
32,huggies.ru,Health > Childrens Health,3,00:00:42,1.70,61.62%
33,ilkadimlarim.com,Health > Childrens Health,5,00:00:41,1.68,69.36%
34,pinmed.co,Health > Childrens Health,14,00:00:54,1.44,72.36%
35,materinstvo.ru,Health > Childrens Health,19,00:03:41,3.83,42.46%
36,mamotoja.pl,Health > Childrens Health,4,00:01:12,1.86,47.97%
37,kindergesundheit-info.de,Health > Childrens Health,5,00:00:49,1.46,82.24%
38,mjakmama24.pl,Health > Childrens Health,1,00:00:50,1.55,44.15%
39,period-calendar.com,Health > Childrens Health,2,00:01:43,2.86,59.87%
40,wosp.org.pl,Health > Childrens Health,33,00:01:26,2.17,42.56%
41,kimbino.hu,Health > Childrens Health,5,00:04:30,14.49,40.77%
42,bebesymas.com,Health > Childrens Health,8,00:01:19,1.48,69.2%
43,cps.ca,Health > Childrens Health,3,00:01:04,1.52,67.79%
44,sickkids.ca,Health > Childrens Health,1,00:02:52,3.06,43.56%
45,intelite.com.br,Health > Childrens Health,6,01:11:53,23.51,12.59%
46,childcare.co.uk,Health > Childrens Health,1,00:03:54,6.81,45.52%
47,kita.de,Health > Childrens Health,2,00:01:14,1.60,71.32%
48,llli.org,Health > Childrens Health,4,00:01:01,1.50,59.57%
49,mamanoko.jp,Health > Childrens Health,8,00:01:30,1.77,56.44%
50,todopapas.com,Health > Childrens Health,5,00:01:29,1.78,65.58%
