Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,nih.gov,Health > Health - Other,=,00:04:34,3.26,55.48%
2,healthline.com,Health > Health - Other,=,00:01:58,3.44,38.1%
3,walgreens.com,Health > Health - Other,=,00:03:39,4.47,38.7%
4,1mg.com,Health > Health - Other,1,00:02:30,2.66,52.51%
5,medicalnewstoday.com,Health > Health - Other,1,00:01:18,2.98,57.62%
6,nhs.uk,Health > Health - Other,=,00:01:42,2.11,61.49%
7,aarp.org,Health > Health - Other,1,00:08:07,5.47,46.48%
8,doctolib.fr,Health > Health - Other,1,00:05:26,7.00,36.14%
9,nhathuoclongchau.com.vn,Health > Health - Other,5,00:03:38,1.49,23.82%
10,alodokter.com,Health > Health - Other,1,00:01:37,1.78,70.41%
11,athenahealth.com,Health > Health - Other,2,00:05:09,8.49,30.28%
12,altibbi.com,Health > Health - Other,=,00:01:14,1.77,34.01%
13,tuasaude.com,Health > Health - Other,2,00:01:28,1.49,65.26%
14,v2i8b.com,Health > Health - Other,4,00:00:35,1.09,92.3%
15,cdc.gov,Health > Health - Other,1,00:02:05,2.27,65.52%
16,medlineplus.gov,Health > Health - Other,1,00:00:55,1.43,84.87%
17,prodoctorov.ru,Health > Health - Other,2,00:03:10,3.34,36.84%
18,janeapp.com,Health > Health - Other,4,00:09:38,10.92,25.49%
19,abczdrowie.pl,Health > Health - Other,1,00:00:58,1.59,31.96%
20,webteb.com,Health > Health - Other,3,00:01:02,1.59,43.7%
21,athena.io,Health > Health - Other,3,00:01:43,2.43,59.84%
22,doctoralia.com.br,Health > Health - Other,2,00:03:18,2.41,57.68%
23,halodoc.com,Health > Health - Other,=,00:01:41,1.98,63.57%
24,phreesia.net,Health > Health - Other,1,00:03:17,5.08,26.13%
25,sprosivracha.com,Health > Health - Other,4,00:01:17,1.86,33.28%
26,vinmec.com,Health > Health - Other,2,00:01:50,1.64,73.33%
27,memorial.com.tr,Health > Health - Other,=,00:01:29,1.61,74.15%
28,imss.gob.mx,Health > Health - Other,1,00:06:59,8.24,34.24%
29,medonet.pl,Health > Health - Other,3,00:00:41,1.52,30.64%
30,health.mail.ru,Health > Health - Other,1,00:02:16,3.46,40.13%
31,uworld.com,Health > Health - Other,3,00:08:24,5.98,21.12%
32,suckhoedoisong.vn,Health > Health - Other,3,00:00:20,1.53,26.79%
33,uteka.ru,Health > Health - Other,3,00:03:19,2.26,32.79%
34,chemistwarehouse.com.au,Health > Health - Other,4,00:03:27,3.67,47.74%
35,shop-apotheke.com,Health > Health - Other,3,00:03:12,4.13,47.19%
36,ecwcloud.com,Health > Health - Other,3,00:13:40,6.73,32.67%
37,questdiagnostics.com,Health > Health - Other,5,00:05:40,6.49,25.54%
38,rxinform.org,Health > Health - Other,3,00:01:40,2.49,40.63%
39,who.int,Health > Health - Other,1,00:02:24,2.31,65.92%
40,labcorp.com,Health > Health - Other,1,00:04:25,6.37,27.77%
41,wlgrn.com,Health > Health - Other,4,00:00:59,1.27,85.59%
42,practo.com,Health > Health - Other,1,00:02:22,2.78,56.11%
43,hesaplama.net,Health > Health - Other,3,00:01:59,2.89,42.98%
44,doctolib.de,Health > Health - Other,=,00:03:54,6.06,40.4%
45,memed.com.br,Health > Health - Other,1,00:01:17,1.91,46.51%
46,gemotest.ru,Health > Health - Other,3,00:01:46,3.21,44.94%
47,doctoralia.com.mx,Health > Health - Other,1,00:02:37,3.00,64.29%
48,gsuplementos.com.br,Health > Health - Other,2,00:02:54,6.25,29.81%
49,healthgrades.com,Health > Health - Other,4,00:01:59,1.83,71.22%
50,uptodate.com,Health > Health - Other,3,00:05:10,5.16,28.8%
