Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,webmd.com,Health > Health Conditions and Concerns,=,00:01:17,1.52,70.93%
2,analdin.xxx,Health > Health Conditions and Concerns,1,00:03:19,2.83,41.94%
3,verywellhealth.com,Health > Health Conditions and Concerns,1,00:01:10,1.46,70.79%
4,health.clevelandclinic.org,Health > Health Conditions and Concerns,=,00:00:46,1.41,77.3%
5,mobcup.com.co,Health > Health Conditions and Concerns,=,00:01:54,2.91,45.87%
6,cancer.gov,Health > Health Conditions and Concerns,1,00:01:28,1.91,69.68%
7,healthdirect.gov.au,Health > Health Conditions and Concerns,1,00:00:58,1.72,65.43%
8,sleepfoundation.org,Health > Health Conditions and Concerns,=,00:00:47,1.46,60.98%
9,cancer.org,Health > Health Conditions and Concerns,1,00:01:45,1.94,70.02%
10,nhsinform.scot,Health > Health Conditions and Concerns,1,00:01:06,1.61,69.86%
11,news-medical.net,Health > Health Conditions and Concerns,3,00:00:58,1.43,68.14%
12,mdanderson.org,Health > Health Conditions and Concerns,1,00:02:00,3.17,61.29%
13,cancerresearchuk.org,Health > Health Conditions and Concerns,1,00:01:35,1.96,67.05%
14,freestyle.abbott,Health > Health Conditions and Concerns,1,00:01:34,2.41,42.51%
15,bhf.org.uk,Health > Health Conditions and Concerns,2,00:01:45,2.35,61.6%
16,dermnetnz.org,Health > Health Conditions and Concerns,=,00:01:28,1.84,60.24%
17,cancer.ca,Health > Health Conditions and Concerns,2,00:01:11,1.55,66.31%
18,merckmanuals.com,Health > Health Conditions and Concerns,=,00:01:52,3.58,57.1%
19,getsmartinsights.com,Health > Health Conditions and Concerns,4,00:02:23,1.89,63.96%
20,dexcom.com,Health > Health Conditions and Concerns,3,00:01:55,3.45,45.48%
21,kidney.org,Health > Health Conditions and Concerns,1,00:01:11,1.64,73.16%
22,healthmatch.io,Health > Health Conditions and Concerns,=,00:03:07,11.92,35.48%
23,kff.org,Health > Health Conditions and Concerns,13,00:01:31,2.25,63.32%
24,lung.org,Health > Health Conditions and Concerns,1,00:00:54,1.61,64.4%
25,herzstiftung.de,Health > Health Conditions and Concerns,5,00:01:25,1.53,76.39%
26,cdc.gov.tw,Health > Health Conditions and Concerns,16,00:01:50,2.09,62.21%
27,spine-health.com,Health > Health Conditions and Concerns,=,00:01:26,1.79,64.87%
28,answers.mawdoo3.com,Health > Health Conditions and Concerns,4,00:01:00,1.35,79.06%
29,sanego.de,Health > Health Conditions and Concerns,2,00:01:13,1.76,65.07%
30,usenourish.com,Health > Health Conditions and Concerns,9,00:03:55,4.85,55.29%
31,diabetes.org,Health > Health Conditions and Concerns,1,00:01:33,2.35,58.98%
32,lakartidningen.se,Health > Health Conditions and Concerns,3,00:02:49,2.08,60.72%
33,kohi.or.kr,Health > Health Conditions and Concerns,138,00:20:30,25.25,15.89%
34,orpha.net,Health > Health Conditions and Concerns,=,00:00:52,1.59,73.35%
35,diabetes.org.uk,Health > Health Conditions and Concerns,6,00:01:53,2.46,59.33%
36,farmasiet.no,Health > Health Conditions and Concerns,3,00:03:17,4.58,30.36%
37,libreview.com,Health > Health Conditions and Concerns,6,00:03:05,3.79,27.65%
38,omnipod.com,Health > Health Conditions and Concerns,30,00:02:38,2.51,52.45%
39,alz.org,Health > Health Conditions and Concerns,2,00:01:25,2.13,56.49%
40,nanbyou.or.jp,Health > Health Conditions and Concerns,12,00:01:58,1.69,79.12%
41,arthritis.org,Health > Health Conditions and Concerns,2,00:00:44,1.53,63.42%
42,mohw.go.kr,Health > Health Conditions and Concerns,7,00:03:57,6.51,57.52%
43,duodecimlehti.fi,Health > Health Conditions and Concerns,3,00:01:08,1.83,28.99%
44,macmillan.org.uk,Health > Health Conditions and Concerns,18,00:01:38,2.71,60.81%
45,alzheimers.org.uk,Health > Health Conditions and Concerns,7,00:01:54,2.09,62.23%
46,amsterdamumc.nl,Health > Health Conditions and Concerns,2,00:03:44,3.45,29.78%
47,hug.ch,Health > Health Conditions and Concerns,2,00:01:15,2.23,59.45%
48,davita.com,Health > Health Conditions and Concerns,1,00:03:11,5.42,45.59%
49,felleskatalogen.no,Health > Health Conditions and Concerns,9,00:02:46,2.80,55.01%
50,ourfuturehealth.org.uk,Health > Health Conditions and Concerns,5,00:07:57,11.46,35.91%
