Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,mayoclinic.org,Health > Medicine,=,00:01:01,1.54,79.71%
2,clevelandclinic.org,Health > Medicine,=,00:01:19,1.78,65.49%
3,msdmanuals.com,Health > Medicine,=,00:01:45,2.83,61.71%
4,vidal.ru,Health > Medicine,=,00:01:23,1.59,72.57%
5,invitro.ru,Health > Medicine,1,00:04:04,4.30,46.08%
6,hopkinsmedicine.org,Health > Medicine,1,00:01:31,2.16,63.46%
7,rlsnet.ru,Health > Medicine,=,00:01:39,1.65,66.93%
8,znanylekarz.pl,Health > Medicine,=,00:03:03,3.15,35.22%
9,mp.pl,Health > Medicine,=,00:01:23,1.80,41.05%
10,medscape.com,Health > Medicine,=,00:02:12,2.91,47.13%
11,doccheck.com,Health > Medicine,=,00:03:07,2.15,54.64%
12,lww.com,Health > Medicine,=,00:02:52,3.19,52.93%
13,amboss.com,Health > Medicine,=,00:15:00,13.22,25.48%
14,103.by,Health > Medicine,4,00:03:07,2.86,53.3%
15,humanitas.it,Health > Medicine,6,00:01:01,1.62,70.38%
16,providence.org,Health > Medicine,=,00:05:15,6.06,34.91%
17,health.usnews.com,Health > Medicine,2,00:01:36,1.94,69.44%
18,bmj.com,Health > Medicine,6,00:02:05,2.12,57.56%
19,kp.org,Health > Medicine,3,00:05:35,5.72,32.2%
20,m3.com,Health > Medicine,3,00:05:29,9.26,30.65%
21,acibadem.com.tr,Health > Medicine,2,00:01:11,3.10,61.66%
22,doximity.com,Health > Medicine,2,00:03:54,2.93,49.29%
23,jamanetwork.com,Health > Medicine,5,00:01:43,1.89,62.34%
24,libvio.fun,Health > Medicine,5,00:06:18,5.01,38.13%
25,adventhealth.com,Health > Medicine,5,00:05:13,6.32,35.31%
26,sutterhealth.org,Health > Medicine,1,00:06:45,6.73,24.06%
27,uclahealth.org,Health > Medicine,1,00:03:25,3.73,46.4%
28,emias.info,Health > Medicine,16,00:04:33,4.31,32.85%
29,mailsuite.com,Health > Medicine,9,00:03:53,2.72,53.85%
30,aamc.org,Health > Medicine,4,00:05:24,6.73,28.09%
31,massgeneralbrigham.org,Health > Medicine,=,00:05:46,6.18,29.11%
32,passmedicine.com,Health > Medicine,3,00:08:47,5.17,25.28%
33,iqhealth.com,Health > Medicine,1,00:04:07,4.92,31.83%
34,upmc.com,Health > Medicine,20,00:03:13,3.64,50.1%
35,physio-pedia.com,Health > Medicine,4,00:02:01,2.09,59.04%
36,health.kr,Health > Medicine,3,00:02:03,2.24,52.45%
37,thewom.it,Health > Medicine,10,00:01:58,1.79,70.1%
38,kenhub.com,Health > Medicine,8,00:02:56,2.63,58.55%
39,med.or.jp,Health > Medicine,3,00:02:17,2.49,72.51%
40,amc.seoul.kr,Health > Medicine,1,00:00:50,1.91,58.39%
41,uchealth.org,Health > Medicine,1,00:04:50,5.76,31.87%
42,doctornow.co.kr,Health > Medicine,5,00:01:09,1.52,77.43%
43,nm.org,Health > Medicine,8,00:04:02,4.69,41.28%
44,nrmp.org,Health > Medicine,192,00:03:41,2.69,64.6%
45,uhhospitals.org,Health > Medicine,2,00:03:03,4.87,48.91%
46,apollohospitals.com,Health > Medicine,8,00:02:17,3.09,53.25%
47,mskcc.org,Health > Medicine,7,00:03:47,3.76,53.49%
48,studentdoctor.net,Health > Medicine,1,00:02:54,2.82,53.68%
49,cedars-sinai.org,Health > Medicine,1,00:01:51,2.65,64.92%
50,aafp.org,Health > Medicine,2,00:01:42,2.26,59.04%
