Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,my-personaltrainer.it,Health > Nutrition Diets and Fitness,=,00:01:48,1.84,46.82%
2,menshealth.com,Health > Nutrition Diets and Fitness,=,00:00:52,1.48,69.43%
3,myfitnesspal.com,Health > Nutrition Diets and Fitness,=,00:04:09,6.87,32.84%
4,health.com,Health > Nutrition Diets and Fitness,=,00:00:53,1.53,57.4%
5,prevention.com,Health > Nutrition Diets and Fitness,=,00:01:13,1.49,61.01%
6,eatthis.com,Health > Nutrition Diets and Fitness,1,00:00:52,1.38,70.75%
7,gympass.com,Health > Nutrition Diets and Fitness,2,00:09:02,5.31,40.49%
8,alfemminile.com,Health > Nutrition Diets and Fitness,2,00:02:54,2.45,65.88%
9,planetfitness.com,Health > Nutrition Diets and Fitness,1,00:02:35,4.34,47.99%
10,unimeal.com,Health > Nutrition Diets and Fitness,4,00:01:28,3.25,67.42%
11,myprotein.com,Health > Nutrition Diets and Fitness,2,00:02:32,4.61,42.82%
12,nutritionix.com,Health > Nutrition Diets and Fitness,=,00:01:29,2.22,62.92%
13,classpass.com,Health > Nutrition Diets and Fitness,1,00:03:11,5.50,36.17%
14,basic-fit.com,Health > Nutrition Diets and Fitness,3,00:01:51,2.87,47.93%
15,framar.bg,Health > Nutrition Diets and Fitness,=,00:01:30,1.27,69.62%
16,weightwatchers.com,Health > Nutrition Diets and Fitness,5,00:02:06,3.23,54.93%
17,w12app.com.br,Health > Nutrition Diets and Fitness,6,00:29:06,30.44,25.73%
18,verywellfit.com,Health > Nutrition Diets and Fitness,=,00:00:55,1.51,66.2%
19,self.com,Health > Nutrition Diets and Fitness,5,00:00:59,1.53,63.98%
20,stips.co.il,Health > Nutrition Diets and Fitness,=,00:04:33,5.18,50.33%
21,totalpass.com,Health > Nutrition Diets and Fitness,4,00:09:03,3.24,43.96%
22,smartfit.com.br,Health > Nutrition Diets and Fitness,1,00:02:46,4.67,30.96%
23,muscleandstrength.com,Health > Nutrition Diets and Fitness,1,00:02:44,3.52,45.21%
24,livestrong.com,Health > Nutrition Diets and Fitness,5,00:00:59,1.60,53.66%
25,trans-returnsummarycard-images-na.s3.amazonaws.com,Health > Nutrition Diets and Fitness,9,00:01:54,2.07,55.5%
26,tutorplace.ru,Health > Nutrition Diets and Fitness,6,00:01:55,2.06,76.42%
27,ouraring.com,Health > Nutrition Diets and Fitness,1,00:02:04,3.84,43.65%
28,sopharmacy.bg,Health > Nutrition Diets and Fitness,=,00:01:55,2.42,51.71%
29,bulk.com,Health > Nutrition Diets and Fitness,=,00:04:35,5.66,42.37%
30,puregym.com,Health > Nutrition Diets and Fitness,=,00:02:45,4.19,44.42%
31,healthy.thewom.it,Health > Nutrition Diets and Fitness,4,00:01:59,1.63,72.69%
32,cronometer.com,Health > Nutrition Diets and Fitness,3,00:03:12,2.54,42.58%
33,vitaminshoppe.com,Health > Nutrition Diets and Fitness,6,00:02:47,4.16,44.28%
34,gnc.com,Health > Nutrition Diets and Fitness,=,00:02:27,4.21,50.03%
35,roguefitness.com,Health > Nutrition Diets and Fitness,6,00:02:26,3.73,45%
36,yoga-lava.com,Health > Nutrition Diets and Fitness,9,00:07:11,6.18,34.04%
37,wellnessliving.com,Health > Nutrition Diets and Fitness,6,00:04:41,5.66,31.07%
38,lafitness.com,Health > Nutrition Diets and Fitness,2,00:02:44,3.38,42.81%
39,lifetime.life,Health > Nutrition Diets and Fitness,7,00:02:37,4.58,36.64%
40,eatthismuch.com,Health > Nutrition Diets and Fitness,10,00:01:12,2.55,55.49%
41,voedingscentrum.nl,Health > Nutrition Diets and Fitness,4,00:01:53,2.52,49.24%
42,tdeecalculator.net,Health > Nutrition Diets and Fitness,7,00:01:36,2.62,33.24%
43,nativepath.com,Health > Nutrition Diets and Fitness,5,00:01:51,2.04,57.52%
44,bryanjohnson.com,Health > Nutrition Diets and Fitness,11,00:04:12,4.08,40.07%
45,mfitpersonal.com.br,Health > Nutrition Diets and Fitness,17,00:08:50,9.47,35.36%
46,crunch.com,Health > Nutrition Diets and Fitness,6,00:02:02,2.82,43.72%
47,calorizator.ru,Health > Nutrition Diets and Fitness,40,00:01:42,2.27,61.45%
48,athleanx.com,Health > Nutrition Diets and Fitness,7,00:03:01,3.58,50.37%
49,muscleblaze.com,Health > Nutrition Diets and Fitness,24,00:01:46,3.18,31.44%
50,mynetdiary.com,Health > Nutrition Diets and Fitness,6,00:01:22,2.11,51.86%
