Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,cvs.com,Health > Pharmacy,=,00:03:07,4.88,35.08%
2,apteka.ru,Health > Pharmacy,1,00:03:50,4.39,45.86%
3,drugs.com,Health > Pharmacy,1,00:01:34,2.22,67.54%
4,tabletki.ua,Health > Pharmacy,1,00:03:07,5.43,33.67%
5,goodrx.com,Health > Pharmacy,1,00:01:57,2.62,55.83%
6,eapteka.ru,Health > Pharmacy,=,00:01:33,2.84,39.45%
7,drogasil.com.br,Health > Pharmacy,2,00:02:31,2.95,61.11%
8,apollopharmacy.in,Health > Pharmacy,=,00:01:03,4.18,41.15%
9,drogaraia.com.br,Health > Pharmacy,2,00:02:04,2.70,63.34%
10,consultaremedios.com.br,Health > Pharmacy,1,00:01:23,1.89,58.77%
11,doz.pl,Health > Pharmacy,1,00:01:35,2.86,41.52%
12,fda.gov,Health > Pharmacy,=,00:02:01,2.37,60.84%
13,paguemenos.com.br,Health > Pharmacy,1,00:02:19,2.87,60.23%
14,fahorro.com,Health > Pharmacy,1,00:01:50,2.44,64.46%
15,drogariasaopaulo.com.br,Health > Pharmacy,4,00:02:21,2.66,65.59%
16,netmeds.com,Health > Pharmacy,1,00:01:30,2.84,48.12%
17,asna.ru,Health > Pharmacy,3,00:01:00,2.03,34.74%
18,apotea.se,Health > Pharmacy,1,00:04:58,5.39,38.53%
19,planetazdorovo.ru,Health > Pharmacy,2,00:03:45,5.37,21.37%
20,pharmeasy.in,Health > Pharmacy,2,00:01:31,2.54,38.85%
21,gorzdrav.org,Health > Pharmacy,6,00:01:43,3.32,33.13%
22,stolichki.ru,Health > Pharmacy,4,00:02:50,3.39,43.13%
23,farmaciasguadalajara.com,Health > Pharmacy,1,00:01:51,3.40,48.73%
24,zdravcity.ru,Health > Pharmacy,1,00:02:21,2.46,61.42%
25,kusurinomadoguchi.com,Health > Pharmacy,9,00:01:44,1.60,67.83%
26,shoppersdrugmart.ca,Health > Pharmacy,3,00:03:16,4.35,39.38%
27,apteka911.ua,Health > Pharmacy,7,00:02:53,3.39,59.55%
28,apteka-april.ru,Health > Pharmacy,2,00:02:51,3.52,41.84%
29,selcukecza.com.tr,Health > Pharmacy,5,00:07:04,3.02,26.07%
30,medex.com.bd,Health > Pharmacy,1,00:03:05,3.29,52.75%
31,drogariaspacheco.com.br,Health > Pharmacy,4,00:02:43,3.30,54.61%
32,apoteket.se,Health > Pharmacy,4,00:03:10,3.15,40.3%
33,secom-owel.jp,Health > Pharmacy,=,00:09:23,14.60,7.26%
34,kegg.jp,Health > Pharmacy,2,00:01:49,1.78,73.85%
35,redcare.it,Health > Pharmacy,4,00:04:14,4.16,48.58%
36,mintmanga.one,Health > Pharmacy,7,00:24:31,14.92,32.07%
37,apotekhjartat.se,Health > Pharmacy,=,00:03:46,3.75,42.41%
38,366.ru,Health > Pharmacy,2,00:01:06,2.36,28.56%
39,panvel.com,Health > Pharmacy,1,00:01:52,2.40,63.11%
40,cruzverde.cl,Health > Pharmacy,1,00:02:05,3.54,50.83%
41,farmaciasdesimilares.com,Health > Pharmacy,=,00:02:13,2.89,60.07%
42,salcobrand.cl,Health > Pharmacy,=,00:02:37,2.26,66.37%
43,apteka.net.ua,Health > Pharmacy,13,00:02:52,5.24,31.25%
44,gelbe-liste.de,Health > Pharmacy,=,00:01:22,1.81,60.03%
45,erx.com.au,Health > Pharmacy,1,00:03:33,3.03,48.68%
46,riteaid.com,Health > Pharmacy,1,00:01:50,3.50,35.48%
47,singlecare.com,Health > Pharmacy,2,00:01:28,1.85,68.11%
48,farmaciasanpablo.com.mx,Health > Pharmacy,2,00:01:58,3.11,53.31%
49,helsi.me,Health > Pharmacy,=,00:03:02,4.34,27.44%
50,kronansapotek.se,Health > Pharmacy,4,00:02:54,2.77,56.08%
