Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,rynekzdrowia.pl,Health > Public Health and Safety,=,00:00:53,1.59,24.36%
2,helsenorge.no,Health > Public Health and Safety,=,00:05:14,5.28,34.56%
3,mp3juice.ninja,Health > Public Health and Safety,=,00:02:57,2.99,60.1%
4,esosuite.net,Health > Public Health and Safety,=,00:08:11,7.76,20.34%
5,jrc.or.jp,Health > Public Health and Safety,=,00:02:04,2.67,58.23%
6,aladtec.com,Health > Public Health and Safety,=,00:03:44,5.12,18.05%
7,nfz.gov.pl,Health > Public Health and Safety,=,00:02:45,3.67,31.68%
8,rivm.nl,Health > Public Health and Safety,=,00:01:20,1.82,63.65%
9,leki.pl,Health > Public Health and Safety,2,00:01:24,1.40,79.28%
10,health.state.mn.us,Health > Public Health and Safety,=,00:02:31,2.67,41.32%
11,hvzeeland.nl,Health > Public Health and Safety,2,00:03:01,2.54,53.25%
12,ortecapps.com,Health > Public Health and Safety,=,00:01:10,2.85,43.92%
13,myeyedr.com,Health > Public Health and Safety,=,00:03:14,5.19,44.11%
14,vghtpe.gov.tw,Health > Public Health and Safety,2,00:03:10,4.77,57.93%
15,wam.go.jp,Health > Public Health and Safety,=,00:03:42,3.88,49.24%
16,traumasoft.com,Health > Public Health and Safety,2,00:11:37,10.10,15.79%
17,medfile.pl,Health > Public Health and Safety,1,00:17:33,10.63,27.87%
18,ezdrowie.gov.pl,Health > Public Health and Safety,6,00:05:07,8.19,18.9%
19,johanniter.de,Health > Public Health and Safety,3,00:02:50,4.12,44.64%
20,swiatzdrowia.pl,Health > Public Health and Safety,3,00:01:21,1.92,73.06%
21,ndmctsgh.edu.tw,Health > Public Health and Safety,1,00:02:41,3.72,47.02%
22,ons-ehr.nl,Health > Public Health and Safety,3,00:04:13,2.48,31.96%
23,nremt.org,Health > Public Health and Safety,=,00:05:03,6.34,31.11%
24,saintfrancis.com,Health > Public Health and Safety,4,00:04:43,4.68,35.8%
25,imagetrendelite.com,Health > Public Health and Safety,=,00:07:59,7.03,19%
26,gabinet.gov.pl,Health > Public Health and Safety,=,00:05:29,10.22,9.25%
27,pzh.gov.pl,Health > Public Health and Safety,=,00:01:53,2.39,43.61%
28,inspq.qc.ca,Health > Public Health and Safety,3,00:01:06,1.75,63.24%
29,cri.it,Health > Public Health and Safety,6,00:06:33,7.31,34.19%
30,lshtm.ac.uk,Health > Public Health and Safety,2,00:03:30,4.71,46.24%
31,112meldingen.nl,Health > Public Health and Safety,10,00:01:37,1.86,66.34%
32,besoeglaegen.dk,Health > Public Health and Safety,3,00:04:04,5.27,22.75%
33,sygeforsikring.dk,Health > Public Health and Safety,=,00:03:12,5.94,32.61%
34,santepubliquefrance.fr,Health > Public Health and Safety,4,00:01:08,1.82,62.64%
35,remedium.md,Health > Public Health and Safety,13,00:04:54,4.83,45.71%
36,dlrg.de,Health > Public Health and Safety,=,00:03:00,4.06,35.14%
37,healthdata.org,Health > Public Health and Safety,1,00:02:01,2.73,47.15%
38,receptomat.pl,Health > Public Health and Safety,7,00:02:18,1.97,66.65%
39,easypractice.net,Health > Public Health and Safety,2,00:05:45,7.09,30.54%
40,mijnafspraakmaken.nl,Health > Public Health and Safety,15,00:02:15,2.25,60.76%
41,whentohelp.com,Health > Public Health and Safety,1,00:04:01,4.81,31.38%
42,meretusa.com,Health > Public Health and Safety,129,00:00:11,1.09,94.26%
43,ezdrav.si,Health > Public Health and Safety,7,00:04:54,6.94,31.82%
44,inrs.fr,Health > Public Health and Safety,3,00:02:57,3.01,60.48%
45,rm.dk,Health > Public Health and Safety,11,00:02:25,4.30,40.2%
46,cowzdrowiu.pl,Health > Public Health and Safety,14,00:05:42,2.68,57.29%
47,firehouse.com,Health > Public Health and Safety,10,00:01:15,1.63,58.52%
48,regionh.dk,Health > Public Health and Safety,8,00:02:04,2.85,49.8%
49,healthaffairs.org,Health > Public Health and Safety,15,00:01:17,1.80,57.02%
50,gelsenkirchen.de,Health > Public Health and Safety,24,00:02:43,3.51,56.74%
