Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,airbus.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:05:22,8.81,33.69%
2,boeing.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:05:28,5.74,35.24%
3,lockheedmartin.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:01:12,1.94,59.68%
4,baesystems.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:02:02,3.30,48.12%
5,thalesgroup.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:02:17,3.98,49.37%
6,empowermx.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:06:28,5.78,21.19%
7,northropgrumman.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:01:55,3.91,48.28%
8,geaerospace.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:03:00,3.99,39.22%
9,imbank.co.kr,Heavy Industry and Engineering > Aerospace and Defense,2,00:02:03,3.15,47.8%
10,rocket.com,Heavy Industry and Engineering > Aerospace and Defense,10,00:01:27,3.65,72.39%
11,bombardier.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:03:04,5.06,40.35%
12,rosatom.ru,Heavy Industry and Engineering > Aerospace and Defense,1,00:03:56,4.93,42.92%
13,aircraftspruce.com,Heavy Industry and Engineering > Aerospace and Defense,3,00:04:15,4.95,39.4%
14,leonardo.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:01:58,2.85,43.31%
15,bravocompanyusa.com,Heavy Industry and Engineering > Aerospace and Defense,4,00:02:12,3.93,39.13%
16,ulkm.ru,Heavy Industry and Engineering > Aerospace and Defense,5,00:15:11,20.48,27.39%
17,accuristech.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:02:03,2.58,47.55%
18,ooo-nemo.ru,Heavy Industry and Engineering > Aerospace and Defense,3,00:06:01,6.44,13.93%
19,aeroexpo.online,Heavy Industry and Engineering > Aerospace and Defense,3,00:01:02,2.33,50.7%
20,avia-pro.net,Heavy Industry and Engineering > Aerospace and Defense,6,00:00:21,1.67,54.91%
21,textron.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:18:15,7.26,32.67%
22,ga.com,Heavy Industry and Engineering > Aerospace and Defense,5,00:05:48,6.29,35.57%
23,paluba.media,Heavy Industry and Engineering > Aerospace and Defense,=,00:00:27,1.37,63.29%
24,aerocourse.com,Heavy Industry and Engineering > Aerospace and Defense,12,00:02:25,1.33,84.16%
25,boeingdistribution.com,Heavy Industry and Engineering > Aerospace and Defense,7,00:10:50,5.07,46.15%
26,embraer.com,Heavy Industry and Engineering > Aerospace and Defense,9,00:01:19,2.49,44.96%
27,kongsberg.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:01:34,2.98,53.64%
28,sita.aero,Heavy Industry and Engineering > Aerospace and Defense,4,00:01:18,3.29,47.8%
29,collinsaerospace.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:01:20,2.21,49.81%
30,pilottraining.ca,Heavy Industry and Engineering > Aerospace and Defense,3,00:19:33,42.15,30.54%
31,dassault-aviation.com,Heavy Industry and Engineering > Aerospace and Defense,4,00:01:58,3.69,43.63%
32,airship.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:03:08,3.44,45.45%
33,ilsmart.com,Heavy Industry and Engineering > Aerospace and Defense,1,00:12:44,8.67,20.8%
34,diehl.com,Heavy Industry and Engineering > Aerospace and Defense,22,00:02:36,4.10,41.99%
35,ball.com,Heavy Industry and Engineering > Aerospace and Defense,20,00:01:13,3.04,46.21%
36,parttarget.com,Heavy Industry and Engineering > Aerospace and Defense,4,00:02:37,2.51,42.09%
37,guns.club,Heavy Industry and Engineering > Aerospace and Defense,12,00:00:58,1.95,61.81%
38,aviationid.com,Heavy Industry and Engineering > Aerospace and Defense,107,00:02:15,5.90,20.28%
39,gd.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:02:12,5.09,41.17%
40,wbparts.com,Heavy Industry and Engineering > Aerospace and Defense,3,00:02:02,2.19,51.22%
41,m14forum.com,Heavy Industry and Engineering > Aerospace and Defense,10,00:01:24,1.81,52.01%
42,jetinsight.com,Heavy Industry and Engineering > Aerospace and Defense,6,00:05:52,5.45,23.09%
43,airbushelicopters.com,Heavy Industry and Engineering > Aerospace and Defense,2,00:02:48,4.40,21.52%
44,careers.ford.com,Heavy Industry and Engineering > Aerospace and Defense,6,00:00:52,1.80,65.09%
45,jobyaviation.com,Heavy Industry and Engineering > Aerospace and Defense,4,00:00:59,2.01,44.58%
46,comac.cc,Heavy Industry and Engineering > Aerospace and Defense,7,00:04:40,6.89,29.52%
47,dassaultfalcon.com,Heavy Industry and Engineering > Aerospace and Defense,12,00:01:52,3.61,38.49%
48,fireflyspace.com,Heavy Industry and Engineering > Aerospace and Defense,13,00:01:02,2.55,43.8%
49,bellflight.com,Heavy Industry and Engineering > Aerospace and Defense,=,00:00:54,2.16,45.37%
50,rockwellcollins.com,Heavy Industry and Engineering > Aerospace and Defense,22,00:02:29,3.76,25.31%
